gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won
0022101217,1610612766,Charlotte,Hornets,CHA,hornets,240:00,626.3,125.3,540.0,108.0,86.3,17.3,0.708,1.7,22.8,0.372,0.667,0.54,20.202,20.2,0.64,0.652,1.0,0.965,19.9,99.5,82.92,99.0,0.578,W,1
0022101217,1610612764,Washington,Wizards,WAS,wizards,240:00,540.0,108.0,626.3,125.3,-86.3,-17.3,0.595,2.27,17.4,0.333,0.628,0.46,11.0,11.0,0.489,0.512,1.0,0.966,19.9,99.5,82.92,100.0,0.422,L,0
0022101222,1610612746,LA,Clippers,LAC,clippers,240:00,697.0,139.4,444.4,88.9,252.5,50.5,0.63,3.78,23.0,0.341,0.762,0.589,9.091,9.1,0.649,0.669,1.0,0.982,19.8,99.0,82.5,99.0,0.751,W,1
0022101222,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,444.4,88.9,697.0,139.4,-252.5,-50.5,0.459,1.7,13.0,0.238,0.659,0.411,10.101,10.1,0.423,0.432,1.0,0.965,19.8,99.0,82.5,99.0,0.249,L,0
0022101224,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,582.5,116.5,601.9,120.4,-19.4,-3.9,0.652,2.31,20.8,0.261,0.548,0.398,12.621,12.6,0.566,0.596,1.0,0.991,20.6,103.0,85.83,103.0,0.494,L,0
0022101224,1610612741,Chicago,Bulls,CHI,bulls,240:00,601.9,120.4,582.5,116.5,19.4,3.9,0.5,0.96,15.3,0.452,0.739,0.602,22.33,22.3,0.59,0.636,1.0,0.967,20.6,103.0,85.83,103.0,0.506,W,1
0022101226,1610612752,New York,Knicks,NYK,knicks,240:00,546.9,109.4,489.6,97.9,57.3,11.5,0.8,1.88,22.7,0.271,0.714,0.51,17.708,17.7,0.546,0.569,1.0,0.972,19.2,96.0,80.0,96.0,0.561,W,1
0022101226,1610612761,Toronto,Raptors,TOR,raptors,240:00,489.6,97.9,546.9,109.4,-57.3,-11.5,0.75,1.93,19.4,0.286,0.729,0.49,14.583,14.6,0.457,0.485,1.0,0.973,19.2,96.0,80.0,96.0,0.439,L,0
0022101219,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,650.0,130.0,600.0,120.0,50.0,10.0,0.739,2.13,23.1,0.31,0.783,0.557,16.0,16.0,0.659,0.683,1.0,0.982,20.0,100.0,83.33,100.0,0.519,W,1
0022101219,1610612759,San Antonio,Spurs,SAS,spurs,240:00,600.0,120.0,650.0,130.0,-50.0,-10.0,0.605,3.25,19.1,0.217,0.69,0.443,8.0,8.0,0.545,0.605,1.0,0.982,20.0,100.0,83.33,100.0,0.481,L,0
0022101218,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,639.4,127.9,547.6,109.5,91.8,18.4,0.765,3.25,25.5,0.222,0.769,0.515,11.538,11.5,0.644,0.655,1.0,0.974,20.9,104.5,87.08,104.0,0.565,W,1
0022101218,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,547.6,109.5,639.4,127.9,-91.8,-18.4,0.692,2.25,18.9,0.231,0.778,0.485,11.429,11.4,0.511,0.563,1.0,0.983,20.9,104.5,87.08,105.0,0.435,L,0
0022101221,1610612745,Houston,Rockets,HOU,rockets,240:00,581.6,116.3,670.1,134.0,-88.5,-17.7,0.585,3.0,18.0,0.216,0.674,0.433,8.163,8.2,0.556,0.583,1.0,0.945,19.5,97.5,81.25,98.0,0.423,L,0
0022101221,1610612737,Atlanta,Hawks,ATL,hawks,240:00,670.1,134.0,581.6,116.3,88.5,17.7,0.644,2.23,20.6,0.326,0.784,0.567,13.402,13.4,0.638,0.666,1.0,0.982,19.5,97.5,81.25,97.0,0.577,W,1
0022101230,1610612757,Portland,Trail Blazers,POR,blazers,240:00,408.2,81.6,560.6,112.1,-152.4,-30.5,0.677,1.31,16.7,0.132,0.58,0.35,16.327,16.3,0.428,0.453,1.0,0.971,19.7,98.5,82.08,98.0,0.303,L,0
0022101230,1610612762,Utah,Jazz,UTA,jazz,240:00,560.6,112.1,408.2,81.6,152.4,30.5,0.622,1.35,16.1,0.42,0.868,0.65,17.172,17.2,0.506,0.562,1.0,0.975,19.7,98.5,82.08,99.0,0.697,W,1
0022101223,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,539.2,107.8,674.8,135.0,-135.5,-27.1,0.692,2.7,17.9,0.324,0.578,0.425,9.804,9.8,0.456,0.483,1.0,0.992,20.5,102.5,85.42,102.0,0.372,L,0
0022101223,1610612738,Boston,Celtics,BOS,celtics,240:00,674.8,135.0,539.2,107.8,135.5,27.1,0.63,2.27,21.8,0.422,0.676,0.575,14.563,14.6,0.636,0.664,1.0,0.975,20.5,102.5,85.42,103.0,0.628,W,1
0022101220,1610612743,Denver,Nuggets,DEN,nuggets,265:00,613.0,122.6,646.0,129.2,-33.0,-6.6,0.673,2.36,20.1,0.296,0.673,0.481,12.174,12.2,0.565,0.609,1.0,0.969,20.65,103.25,86.04,115.0,0.479,L,0
0022101220,1610612747,Los Angeles,Lakers,LAL,lakers,265:00,646.0,129.2,613.0,122.6,33.0,6.6,0.591,2.0,16.7,0.327,0.704,0.519,11.504,11.5,0.553,0.637,1.0,0.985,20.65,103.25,86.04,113.0,0.521,W,1
0022101225,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,557.3,111.5,673.7,134.7,-116.4,-23.3,0.571,2.0,17.0,0.379,0.727,0.505,12.5,12.5,0.495,0.513,1.0,0.983,19.1,95.5,79.58,96.0,0.38,L,0
0022101225,1610612744,Golden State,Warriors,GSW,warriors,240:00,673.7,134.7,557.3,111.5,116.4,23.3,0.673,1.94,24.1,0.273,0.621,0.495,17.895,17.9,0.722,0.738,1.0,0.99,19.1,95.5,79.58,95.0,0.62,W,1
