gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,240:00,476.6,95.3,570.1,114.0,-93.5,-18.7,0.556,1.33,14.2,0.233,0.661,0.445,14.019,14.0,0.447,0.494,1.0,0.975,21.4,107.0,89.17,107.0,0.405
0022401191,1610612741,Chicago,Bulls,CHI,bulls,240:00,570.1,114.0,476.6,95.3,93.5,18.7,0.617,2.23,18.6,0.339,0.767,0.555,12.15,12.1,0.519,0.546,1.0,0.976,21.4,107.0,89.17,107.0,0.595
0022401186,1610612737,Atlanta,Hawks,ATL,hawks,240:00,590.9,118.2,530.3,106.1,60.6,12.1,0.681,2.0,22.5,0.262,0.735,0.516,16.162,16.2,0.631,0.633,1.0,0.973,19.8,99.0,82.5,99.0,0.538
0022401186,1610612753,Orlando,Magic,ORL,magic,240:00,530.3,106.1,590.9,118.2,-60.6,-12.1,0.625,1.67,18.2,0.265,0.738,0.484,15.152,15.2,0.54,0.555,1.0,0.973,19.8,99.0,82.5,99.0,0.462
0022401194,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,647.1,129.4,475.5,95.1,171.6,34.3,0.596,2.58,20.0,0.423,0.725,0.573,11.765,11.8,0.572,0.597,1.0,0.984,20.4,102.0,85.0,102.0,0.665
0022401194,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,475.5,95.1,647.1,129.4,-171.6,-34.3,0.526,1.11,14.7,0.275,0.577,0.427,17.647,17.6,0.466,0.502,1.0,0.991,20.4,102.0,85.0,102.0,0.335
0022401189,1610612739,Cleveland,Cavaliers,CLE,cavaliers,290:00,475.8,95.2,496.1,99.2,-20.3,-4.1,0.477,0.95,12.4,0.316,0.736,0.52,17.742,17.7,0.461,0.473,1.0,0.986,20.77,103.86,86.55,124.0,0.397
0022401189,1610612754,Indiana,Pacers,IND,pacers,290:00,496.1,99.2,475.8,95.2,20.3,4.1,0.563,2.08,16.0,0.264,0.684,0.48,10.236,10.2,0.445,0.49,1.0,0.993,20.77,103.86,86.55,127.0,0.603
0022401193,1610612745,Houston,Rockets,HOU,rockets,240:00,566.3,113.3,636.4,127.3,-70.0,-14.0,0.711,3.2,21.5,0.328,0.682,0.48,10.204,10.2,0.51,0.523,1.0,0.991,19.7,98.5,82.08,98.0,0.407
0022401193,1610612743,Denver,Nuggets,DEN,nuggets,240:00,636.4,127.3,566.3,113.3,70.0,14.0,0.622,3.11,20.0,0.318,0.672,0.52,9.091,9.1,0.568,0.62,1.0,0.991,19.7,98.5,82.08,99.0,0.593
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,240:00,598.9,119.8,445.1,89.0,153.8,30.8,0.643,1.69,18.2,0.492,0.627,0.554,17.582,17.6,0.516,0.518,1.0,0.967,18.2,91.0,75.83,91.0,0.616
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,445.1,89.0,598.9,119.8,-153.8,-30.8,0.677,1.0,16.0,0.373,0.508,0.446,23.077,23.1,0.444,0.47,1.0,0.973,18.2,91.0,75.83,91.0,0.384
0022401198,1610612744,Golden State,Warriors,GSW,warriors,265:00,595.0,119.0,626.3,125.3,-31.3,-6.3,0.721,1.94,22.5,0.175,0.667,0.418,16.0,16.0,0.639,0.668,1.0,0.963,18.02,90.11,75.09,100.0,0.473
0022401198,1610612746,LA,Clippers,LAC,clippers,265:00,626.3,125.3,595.0,119.0,31.3,6.3,0.583,1.75,20.0,0.333,0.825,0.582,16.162,16.2,0.64,0.66,1.0,0.982,18.02,90.11,75.09,99.0,0.527
0022401187,1610612738,Boston,Celtics,BOS,celtics,240:00,516.7,103.3,477.8,95.6,38.9,7.8,0.629,1.69,16.5,0.375,0.655,0.518,14.444,14.4,0.467,0.486,1.0,0.982,18.0,90.0,75.0,90.0,0.55
0022401187,1610612766,Charlotte,Hornets,CHA,hornets,240:00,477.8,95.6,516.7,103.3,-38.9,-7.8,0.719,1.35,17.4,0.345,0.625,0.482,18.889,18.9,0.441,0.463,1.0,1.0,18.0,90.0,75.0,90.0,0.45
0022401196,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,495.0,99.0,575.0,115.0,-80.0,-16.0,0.629,1.69,15.8,0.298,0.644,0.474,12.871,12.9,0.423,0.48,1.0,0.983,20.1,100.5,83.75,101.0,0.455
0022401196,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,575.0,115.0,495.0,99.0,80.0,16.0,0.39,1.6,11.7,0.356,0.702,0.526,10.0,10.0,0.464,0.523,1.0,0.992,20.1,100.5,83.75,100.0,0.545
0022401200,1610612758,Sacramento,Kings,SAC,kings,240:00,605.6,121.1,544.4,108.9,61.1,12.2,0.674,2.38,23.1,0.31,0.761,0.545,14.444,14.4,0.602,0.61,1.0,0.961,18.0,90.0,75.0,90.0,0.564
0022401200,1610612756,Phoenix,Suns,PHX,suns,240:00,544.4,108.9,605.6,121.1,-61.1,-12.2,0.7,2.15,21.9,0.239,0.69,0.455,14.444,14.4,0.565,0.566,1.0,0.98,18.0,90.0,75.0,90.0,0.436
0022401188,1610612751,Brooklyn,Nets,BKN,nets,240:00,541.2,108.2,576.5,115.3,-35.3,-7.1,0.553,1.11,16.7,0.2,0.725,0.495,19.588,19.6,0.595,0.618,1.0,0.981,19.5,97.5,81.25,97.0,0.46
0022401188,1610612752,New York,Knicks,NYK,knicks,240:00,576.5,115.3,541.2,108.2,35.3,7.1,0.73,2.25,19.4,0.275,0.8,0.505,12.245,12.2,0.523,0.58,1.0,0.964,19.5,97.5,81.25,98.0,0.54
0022401192,1610612749,Milwaukee,Bucks,MIL,bucks,265:00,642.2,128.4,610.1,122.0,32.1,6.4,0.6,1.43,20.5,0.184,0.678,0.485,19.266,19.3,0.715,0.732,1.0,0.974,19.74,98.72,82.26,109.0,0.527
0022401192,1610612765,Detroit,Pistons,DET,pistons,265:00,610.1,122.0,642.2,128.4,-32.1,-6.4,0.686,2.69,21.5,0.322,0.816,0.515,11.927,11.9,0.579,0.588,1.0,0.977,19.74,98.72,82.26,109.0,0.473
