GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,SEASON
0022301192,2024-04-14,1610612755,PHI,PHI vs. BKN,W,2023-24
0022301197,2024-04-14,1610612759,SAS,SAS vs. DET,W,2023-24
0022301190,2024-04-14,1610612752,NYK,NYK vs. CHI,W,2023-24
0022301194,2024-04-14,1610612756,PHX,PHX @ MIN,W,2023-24
0022301199,2024-04-14,1610612746,LAC,LAC vs. HOU,L,2023-24
0022301186,2024-04-14,1610612764,WAS,WAS @ BOS,L,2023-24
0022301196,2024-04-14,1610612760,OKC,OKC vs. DAL,W,2023-24
0022301193,2024-04-14,1610612743,DEN,DEN @ MEM,W,2023-24
0022301200,2024-04-14,1610612758,SAC,SAC vs. POR,W,2023-24
0022301195,2024-04-14,1610612740,NOP,NOP vs. LAL,L,2023-24
0022301188,2024-04-14,1610612737,ATL,ATL @ IND,L,2023-24
0022301198,2024-04-14,1610612762,UTA,UTA @ GSW,L,2023-24
0022301189,2024-04-14,1610612748,MIA,MIA vs. TOR,W,2023-24
0022301191,2024-04-14,1610612753,ORL,ORL vs. MIL,W,2023-24
0022301187,2024-04-14,1610612766,CHA,CHA @ CLE,W,2023-24
0022301172,2024-04-12,1610612764,WAS,WAS vs. CHI,L,2023-24
0022301182,2024-04-12,1610612740,NOP,NOP @ GSW,W,2023-24
0022301176,2024-04-12,1610612748,MIA,MIA vs. TOR,W,2023-24
0022301181,2024-04-12,1610612742,DAL,DAL vs. DET,L,2023-24
0022301174,2024-04-12,1610612739,CLE,CLE vs. IND,W,2023-24
0022301177,2024-04-12,1610612763,MEM,MEM vs. LAL,L,2023-24
0022301180,2024-04-12,1610612743,DEN,DEN @ SAS,L,2023-24
0022301185,2024-04-12,1610612758,SAC,SAC vs. PHX,L,2023-24
0022301183,2024-04-12,1610612757,POR,POR vs. HOU,L,2023-24
0022301179,2024-04-12,1610612749,MIL,MIL @ OKC,L,2023-24
0022301175,2024-04-12,1610612751,BKN,BKN @ NYK,L,2023-24
0022301178,2024-04-12,1610612750,MIN,MIN vs. ATL,W,2023-24
0022301171,2024-04-12,1610612755,PHI,PHI vs. ORL,W,2023-24
0022301184,2024-04-12,1610612762,UTA,UTA @ LAC,W,2023-24
0022301173,2024-04-12,1610612738,BOS,BOS vs. CHA,W,2023-24
0022301167,2024-04-11,1610612752,NYK,NYK @ BOS,W,2023-24
0022301166,2024-04-11,1610612765,DET,DET vs. CHI,L,2023-24
0022301168,2024-04-11,1610612762,UTA,UTA vs. HOU,W,2023-24
0022301170,2024-04-11,1610612758,SAC,SAC vs. NOP,L,2023-24
0022301169,2024-04-11,1610612757,POR,POR vs. GSW,L,2023-24
0022301164,2024-04-10,1610612743,DEN,DEN vs. MIN,W,2023-24
0022301163,2024-04-10,1610612759,SAS,SAS @ OKC,L,2023-24
0022301165,2024-04-10,1610612756,PHX,PHX @ LAC,W,2023-24
0022301160,2024-04-10,1610612751,BKN,BKN vs. TOR,W,2023-24
0022301158,2024-04-10,1610612763,MEM,MEM @ CLE,L,2023-24
0022301161,2024-04-10,1610612748,MIA,MIA vs. DAL,L,2023-24
0022301162,2024-04-10,1610612753,ORL,ORL @ MIL,L,2023-24
0022301159,2024-04-10,1610612766,CHA,CHA @ ATL,W,2023-24
0022301154,2024-04-09,1610612762,UTA,UTA vs. DEN,L,2023-24
0022301153,2024-04-09,1610612760,OKC,OKC vs. SAC,W,2023-24
0022301145,2024-04-09,1610612755,PHI,PHI vs. DET,W,2023-24
0022301149,2024-04-09,1610612741,CHI,CHI vs. NYK,L,2023-24
0022301146,2024-04-09,1610612761,TOR,TOR vs. IND,L,2023-24
0022301150,2024-04-09,1610612753,ORL,ORL @ HOU,L,2023-24
0022301147,2024-04-09,1610612737,ATL,ATL vs. MIA,L,2023-24
0022301148,2024-04-09,1610612749,MIL,MIL vs. BOS,W,2023-24
0022301152,2024-04-09,1610612764,WAS,WAS @ MIN,L,2023-24
0022301151,2024-04-09,1610612763,MEM,MEM vs. SAS,L,2023-24
0022301144,2024-04-09,1610612742,DAL,DAL @ CHA,W,2023-24
0022301156,2024-04-09,1610612756,PHX,PHX vs. LAC,L,2023-24
0022301155,2024-04-09,1610612744,GSW,GSW @ LAL,W,2023-24
0022301157,2024-04-09,1610612740,NOP,NOP @ POR,W,2023-24
0022301140,2024-04-07,1610612755,PHI,PHI @ SAS,W,2023-24
0022301131,2024-04-07,1610612745,HOU,HOU @ DAL,L,2023-24
0022301134,2024-04-07,1610612738,BOS,BOS vs. POR,W,2023-24
