gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500239,1610612737,Atlanta,Hawks,ATL,hawks,240:00,607.8,121.6,598.0,119.6,9.8,2.0,0.778,2.06,23.6,0.256,0.585,0.438,16.667,16.7,0.612,0.649,1.0,0.973,20.4,102.0,85.0,102.0,0.541,W,1,2025-26
22500227,1610612737,Atlanta,Hawks,ATL,hawks,240:00,611.1,122.2,564.8,113.0,46.3,9.3,0.783,2.0,23.2,0.234,0.66,0.46,16.667,16.7,0.644,0.662,1.0,0.975,21.6,108.0,90.0,108.0,0.548,W,1,2025-26
22500223,1610612737,Atlanta,Hawks,ATL,hawks,240:00,610.1,122.0,463.0,92.6,147.1,29.4,0.857,2.0,26.1,0.282,0.768,0.568,19.266,19.3,0.676,0.702,1.0,0.958,21.7,108.5,90.42,109.0,0.714,W,1,2025-26
22500206,1610612737,Atlanta,Hawks,ATL,hawks,240:00,558.5,111.7,554.3,110.9,4.2,0.8,0.789,2.5,21.6,0.306,0.74,0.525,12.766,12.8,0.53,0.566,1.0,0.954,18.6,93.0,77.5,94.0,0.525,W,1,2025-26
22500185,1610612737,Atlanta,Hawks,ATL,hawks,240:00,622.4,124.5,515.2,103.0,107.3,21.5,0.771,3.36,25.3,0.239,0.681,0.462,11.224,11.2,0.602,0.623,1.0,0.991,19.7,98.5,82.08,98.0,0.586,W,1,2025-26
22500030,1610612737,Atlanta,Hawks,ATL,hawks,240:00,480.2,96.0,539.6,107.9,-59.4,-11.9,0.727,1.26,15.9,0.413,0.691,0.542,18.812,18.8,0.391,0.457,1.0,0.953,20.2,101.0,84.17,101.0,0.435,L,0,2025-26
22500166,1610612737,Atlanta,Hawks,ATL,hawks,240:00,628.7,125.7,560.0,112.0,68.7,13.7,0.575,1.15,17.2,0.27,0.646,0.482,19.802,19.8,0.646,0.702,1.0,0.955,20.1,100.5,83.75,101.0,0.577,W,1,2025-26
22500151,1610612737,Atlanta,Hawks,ATL,hawks,240:00,509.3,101.9,546.7,109.3,-37.4,-7.5,0.718,1.22,19.4,0.244,0.707,0.515,21.495,21.5,0.545,0.59,1.0,0.974,21.4,107.0,89.17,107.0,0.508,L,0,2025-26
22500020,1610612737,Atlanta,Hawks,ATL,hawks,240:00,633.7,126.7,534.7,106.9,99.0,19.8,0.588,3.0,20.8,0.289,0.623,0.491,9.901,9.9,0.596,0.623,1.0,0.982,20.2,101.0,84.17,101.0,0.64,W,1,2025-26
22500130,1610612737,Atlanta,Hawks,ATL,hawks,240:00,603.1,120.6,577.3,115.5,25.8,5.2,0.75,4.13,22.8,0.288,0.604,0.448,8.247,8.2,0.543,0.57,1.0,0.982,19.4,97.0,80.83,97.0,0.548,W,1,2025-26
22500115,1610612737,Atlanta,Hawks,ATL,hawks,240:00,585.7,117.1,615.4,123.1,-29.7,-5.9,0.653,5.33,22.1,0.192,0.644,0.402,5.714,5.7,0.556,0.576,1.0,1.0,20.9,104.5,87.08,105.0,0.483,L,0,2025-26
22500101,1610612737,Atlanta,Hawks,ATL,hawks,240:00,520.8,104.2,615.8,123.2,-95.0,-19.0,0.714,1.47,18.0,0.333,0.627,0.476,17.708,17.7,0.506,0.531,1.0,0.965,19.1,95.5,79.58,96.0,0.406,L,0,2025-26
22500090,1610612737,Atlanta,Hawks,ATL,hawks,240:00,549.5,109.9,519.4,103.9,30.1,6.0,0.634,1.63,18.7,0.255,0.642,0.46,15.842,15.8,0.529,0.57,1.0,1.0,20.4,102.0,85.0,101.0,0.566,W,1,2025-26
22500082,1610612737,Atlanta,Hawks,ATL,hawks,240:00,522.1,104.4,610.6,122.1,-88.5,-17.7,0.658,1.56,16.7,0.214,0.667,0.416,14.159,14.2,0.478,0.555,1.0,0.968,22.6,113.0,94.17,113.0,0.384,L,0,2025-26
