gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401186,1610612737,Atlanta,Hawks,ATL,hawks,240:00,590.9,118.2,530.3,106.1,60.6,12.1,0.681,2.0,22.5,0.262,0.735,0.516,16.162,16.2,0.631,0.633,1.0,0.973,19.8,99.0,82.5,99.0,0.538,W,1,2024-25
22401173,1610612737,Atlanta,Hawks,ATL,hawks,240:00,620.0,124.0,539.2,107.8,80.8,16.2,0.622,1.87,19.0,0.358,0.655,0.509,15.0,15.0,0.564,0.593,1.0,0.992,20.2,101.0,84.17,100.0,0.558,W,1,2024-25
22401169,1610612737,Atlanta,Hawks,ATL,hawks,240:00,621.5,124.3,504.6,100.9,116.9,23.4,0.75,2.4,23.8,0.195,0.763,0.53,14.019,14.0,0.661,0.675,1.0,0.991,21.5,107.5,89.58,107.0,0.65,W,1,2024-25
22401149,1610612737,Atlanta,Hawks,ATL,hawks,240:00,577.3,115.5,613.4,122.7,-36.1,-7.2,0.625,1.39,17.7,0.4,0.622,0.505,18.557,18.6,0.534,0.573,1.0,0.991,19.4,97.0,80.83,97.0,0.439,L,0,2024-25
22401136,1610612737,Atlanta,Hawks,ATL,hawks,240:00,720.6,144.1,663.4,132.7,57.2,11.4,0.796,3.58,26.7,0.381,0.791,0.588,11.765,11.8,0.684,0.708,1.0,0.966,20.3,101.5,84.58,102.0,0.553,W,1,2024-25
22401128,1610612737,Atlanta,Hawks,ATL,hawks,240:00,535.7,107.1,623.7,124.7,-88.0,-17.6,0.585,1.6,17.8,0.271,0.775,0.5,15.306,15.3,0.545,0.563,1.0,0.973,19.5,97.5,81.25,98.0,0.421,L,0,2024-25
22401109,1610612737,Atlanta,Hawks,ATL,hawks,240:00,572.8,114.6,582.5,116.5,-9.7,-1.9,0.69,2.64,19.6,0.286,0.833,0.52,10.68,10.7,0.51,0.553,1.0,0.983,20.6,103.0,85.83,103.0,0.457,L,0,2024-25
22401097,1610612737,Atlanta,Hawks,ATL,hawks,240:00,513.6,102.7,577.3,115.5,-63.6,-12.7,0.634,1.3,17.2,0.288,0.6,0.455,18.182,18.2,0.484,0.542,1.0,0.984,22.0,110.0,91.67,110.0,0.449,L,0,2024-25
22401083,1610612737,Atlanta,Hawks,ATL,hawks,240:00,697.1,139.4,596.2,119.2,101.0,20.2,0.72,4.0,23.1,0.333,0.717,0.521,8.654,8.7,0.622,0.663,1.0,0.975,20.8,104.0,86.67,104.0,0.601,W,1,2024-25
22401062,1610612737,Atlanta,Hawks,ATL,hawks,240:00,571.4,114.3,628.9,125.8,-57.4,-11.5,0.628,1.69,20.1,0.22,0.795,0.5,16.327,16.3,0.627,0.638,1.0,0.963,19.5,97.5,81.25,98.0,0.473,L,0,2024-25
