gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500235,1610612751,Brooklyn,Nets,BKN,nets,240:00,651.5,130.3,540.8,108.2,110.7,22.1,0.762,2.13,22.5,0.268,0.837,0.578,15.152,15.2,0.639,0.683,1.0,0.964,19.7,98.5,82.08,99.0,0.621,W,1,2025-26
22500040,1610612751,Brooklyn,Nets,BKN,nets,240:00,532.6,106.5,570.7,114.1,-38.0,-7.6,0.605,3.29,18.1,0.222,0.622,0.404,7.609,7.6,0.483,0.51,1.0,0.962,18.4,92.0,76.67,92.0,0.464,L,0,2025-26
22500207,1610612751,Brooklyn,Nets,BKN,nets,240:00,567.7,113.5,613.4,122.7,-45.7,-9.1,0.75,1.85,18.2,0.24,0.66,0.443,13.542,13.5,0.481,0.573,1.0,0.981,19.3,96.5,80.42,96.0,0.439,L,0,2025-26
22500192,1610612751,Brooklyn,Nets,BKN,nets,240:00,510.4,102.1,705.3,141.1,-194.8,-39.0,0.636,1.11,15.6,0.353,0.558,0.447,19.792,19.8,0.488,0.529,1.0,0.974,19.1,95.5,79.58,96.0,0.316,L,0,2025-26
22500031,1610612751,Brooklyn,Nets,BKN,nets,240:00,540.4,108.1,625.0,125.0,-84.6,-16.9,0.765,1.3,19.1,0.245,0.61,0.411,20.202,20.2,0.531,0.585,1.0,0.991,19.9,99.5,82.92,99.0,0.343,L,0,2025-26
22500173,1610612751,Brooklyn,Nets,BKN,nets,240:00,560.0,112.0,509.9,102.0,50.1,10.0,0.722,1.86,18.6,0.255,0.607,0.44,14.0,14.0,0.5,0.552,1.0,0.982,20.1,100.5,83.75,100.0,0.541,W,1,2025-26
22500156,1610612751,Brooklyn,Nets,BKN,nets,240:00,567.7,113.5,637.8,127.6,-70.0,-14.0,0.694,2.08,17.5,0.361,0.561,0.441,12.5,12.5,0.472,0.516,1.0,1.0,19.4,97.0,80.83,96.0,0.376,L,0,2025-26
22500149,1610612751,Brooklyn,Nets,BKN,nets,240:00,514.7,102.9,632.4,126.5,-117.6,-23.5,0.538,1.11,14.7,0.37,0.646,0.5,18.627,18.6,0.472,0.518,1.0,0.967,20.4,102.0,85.0,102.0,0.403,L,0,2025-26
22500130,1610612751,Brooklyn,Nets,BKN,nets,240:00,577.3,115.5,603.1,120.6,-25.8,-5.2,0.575,1.44,16.4,0.396,0.712,0.552,16.495,16.5,0.517,0.561,1.0,0.983,19.4,97.0,80.83,97.0,0.452,L,0,2025-26
22500116,1610612751,Brooklyn,Nets,BKN,nets,240:00,586.0,117.2,744.6,148.9,-158.5,-31.7,0.537,1.57,16.7,0.392,0.605,0.483,15.054,15.1,0.564,0.58,1.0,0.955,18.5,92.5,77.08,93.0,0.339,L,0,2025-26
22500105,1610612751,Brooklyn,Nets,BKN,nets,240:00,563.2,112.6,621.1,124.2,-57.9,-11.6,0.647,1.83,16.5,0.302,0.605,0.438,12.632,12.6,0.483,0.548,1.0,0.973,19.0,95.0,79.17,95.0,0.408,L,0,2025-26
22500091,1610612751,Brooklyn,Nets,BKN,nets,240:00,596.2,119.2,623.8,124.8,-27.7,-5.5,0.612,1.5,20.1,0.319,0.705,0.505,19.231,19.2,0.609,0.626,1.0,0.983,20.9,104.5,87.08,104.0,0.441,L,0,2025-26
22500080,1610612751,Brooklyn,Nets,BKN,nets,240:00,551.9,110.4,641.5,128.3,-89.6,-17.9,0.641,1.47,17.1,0.268,0.591,0.41,16.038,16.0,0.523,0.568,1.0,0.992,21.2,106.0,88.33,106.0,0.391,L,0,2025-26
