gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401188,1610612751,Brooklyn,Nets,BKN,nets,240:00,541.2,108.2,576.5,115.3,-35.3,-7.1,0.553,1.11,16.7,0.2,0.725,0.495,19.588,19.6,0.595,0.618,1.0,0.981,19.5,97.5,81.25,97.0,0.46,L,0,2024-25
22401179,1610612751,Brooklyn,Nets,BKN,nets,240:00,494.6,98.9,635.9,127.2,-141.3,-28.3,0.727,2.4,18.0,0.283,0.711,0.449,10.87,10.9,0.433,0.467,1.0,0.972,18.4,92.0,76.67,92.0,0.324,L,0,2024-25
22401169,1610612751,Brooklyn,Nets,BKN,nets,240:00,504.6,100.9,621.5,124.3,-116.9,-23.4,0.861,1.63,20.3,0.237,0.805,0.47,17.593,17.6,0.522,0.547,1.0,0.959,21.5,107.5,89.58,108.0,0.35,L,0,2024-25
22401150,1610612751,Brooklyn,Nets,BKN,nets,240:00,583.3,116.7,553.4,110.7,29.9,6.0,0.732,1.88,21.3,0.209,0.739,0.483,15.686,15.7,0.596,0.636,1.0,0.991,20.5,102.5,85.42,102.0,0.52,W,1,2024-25
22401134,1610612751,Brooklyn,Nets,BKN,nets,240:00,495.5,99.1,545.5,109.1,-50.0,-10.0,0.641,1.04,17.2,0.222,0.75,0.505,21.818,21.8,0.537,0.581,1.0,0.975,22.0,110.0,91.67,110.0,0.46,L,0,2024-25
22401113,1610612751,Brooklyn,Nets,BKN,nets,240:00,494.5,98.9,570.7,114.1,-76.1,-15.2,0.789,2.5,22.4,0.255,0.651,0.436,13.187,13.2,0.489,0.496,1.0,0.971,18.3,91.5,76.25,91.0,0.43,L,0,2024-25
22401095,1610612751,Brooklyn,Nets,BKN,nets,240:00,588.5,117.7,573.7,114.7,14.9,3.0,0.821,4.0,23.0,0.259,0.7,0.471,8.333,8.3,0.544,0.572,1.0,1.0,19.1,95.5,79.58,96.0,0.504,W,1,2024-25
22401075,1610612751,Brooklyn,Nets,BKN,nets,240:00,592.8,118.6,571.4,114.3,21.4,4.3,0.641,1.79,18.4,0.3,0.776,0.535,14.433,14.4,0.545,0.594,1.0,0.982,19.5,97.5,81.25,97.0,0.488,W,1,2024-25
22401068,1610612751,Brooklyn,Nets,BKN,nets,240:00,490.2,98.0,653.5,130.7,-163.3,-32.7,0.818,1.8,18.9,0.246,0.868,0.485,14.706,14.7,0.449,0.498,1.0,0.983,20.3,101.5,84.58,102.0,0.348,L,0,2024-25
22401054,1610612751,Brooklyn,Nets,BKN,nets,240:00,417.5,83.5,557.7,111.5,-140.2,-28.0,0.516,0.8,12.3,0.19,0.639,0.42,19.417,19.4,0.402,0.451,1.0,0.982,20.7,103.5,86.25,103.0,0.305,L,0,2024-25
22401040,1610612751,Brooklyn,Nets,BKN,nets,240:00,531.6,106.3,638.3,127.7,-106.7,-21.3,0.75,1.58,22.1,0.268,0.707,0.488,20.0,20.0,0.583,0.6,1.0,0.962,18.9,94.5,78.75,95.0,0.42,L,0,2024-25
22401024,1610612751,Brooklyn,Nets,BKN,nets,240:00,504.9,101.0,534.7,106.9,-29.8,-6.0,0.513,1.33,14.6,0.268,0.826,0.52,14.706,14.7,0.517,0.528,1.0,0.957,20.3,101.5,84.58,102.0,0.436,L,0,2024-25
22401011,1610612751,Brooklyn,Nets,BKN,nets,265:00,454.1,90.8,477.3,95.5,-23.1,-4.6,0.556,1.25,13.8,0.239,0.745,0.447,14.679,14.7,0.426,0.454,1.0,0.992,19.83,99.17,82.64,109.0,0.4,L,0,2024-25
22400994,1610612751,Brooklyn,Nets,BKN,nets,240:00,516.1,103.2,553.2,110.6,-37.1,-7.4,0.583,2.33,16.7,0.218,0.783,0.475,9.677,9.7,0.483,0.503,1.0,0.981,18.7,93.5,77.92,93.0,0.416,L,0,2024-25
22400978,1610612751,Brooklyn,Nets,BKN,nets,240:00,610.0,122.0,564.4,112.9,45.6,9.1,0.767,1.94,21.9,0.367,0.673,0.52,17.0,17.0,0.572,0.609,1.0,0.975,20.1,100.5,83.75,100.0,0.511,W,1,2024-25
22400968,1610612751,Brooklyn,Nets,BKN,nets,240:00,657.0,131.4,676.5,135.3,-19.5,-3.9,0.81,3.78,24.1,0.449,0.667,0.553,10.465,10.5,0.578,0.59,1.0,0.981,17.1,85.5,71.25,86.0,0.477,L,0,2024-25
22400956,1610612751,Brooklyn,Nets,BKN,nets,240:00,567.0,113.4,597.9,119.6,-30.9,-6.2,0.744,3.56,21.5,0.364,0.725,0.538,9.278,9.3,0.505,0.529,1.0,0.974,19.4,97.0,80.83,97.0,0.469,L,0,2024-25
22400940,1610612751,Brooklyn,Nets,BKN,nets,240:00,547.4,109.5,567.7,113.5,-20.3,-4.1,0.795,2.07,22.8,0.208,0.608,0.414,15.789,15.8,0.56,0.577,1.0,0.971,19.1,95.5,79.58,95.0,0.476,L,0,2024-25
22400930,1610612751,Brooklyn,Nets,BKN,nets,240:00,584.2,116.8,574.5,114.9,9.7,1.9,0.595,3.14,16.2,0.328,0.694,0.495,7.368,7.4,0.511,0.538,1.0,0.974,18.9,94.5,78.75,95.0,0.503,W,1,2024-25
22400912,1610612751,Brooklyn,Nets,BKN,nets,240:00,579.5,115.9,610.5,122.1,-30.9,-6.2,0.526,1.54,16.3,0.333,0.525,0.442,14.773,14.8,0.549,0.576,1.0,0.942,17.4,87.0,72.5,88.0,0.489,L,0,2024-25
22400901,1610612751,Brooklyn,Nets,BKN,nets,240:00,613.4,122.7,630.2,126.0,-16.8,-3.4,0.682,2.5,21.7,0.279,0.581,0.43,12.371,12.4,0.592,0.627,1.0,0.981,19.3,96.5,80.42,97.0,0.482,L,0,2024-25
22400888,1610612751,Brooklyn,Nets,BKN,nets,240:00,570.7,114.1,654.6,130.9,-83.9,-16.8,0.744,2.23,21.0,0.286,0.66,0.469,13.131,13.1,0.552,0.593,1.0,1.0,19.6,98.0,81.67,99.0,0.438,L,0,2024-25
22400861,1610612751,Brooklyn,Nets,BKN,nets,240:00,447.6,89.5,552.9,110.6,-105.3,-21.1,0.655,1.36,12.8,0.368,0.743,0.495,13.333,13.3,0.337,0.426,1.0,0.946,20.9,104.5,87.08,105.0,0.318,L,0,2024-25
22400853,1610612751,Brooklyn,Nets,BKN,nets,240:00,505.0,101.0,605.0,121.0,-100.0,-20.0,0.556,0.95,14.0,0.415,0.667,0.522,20.792,20.8,0.454,0.516,1.0,0.976,20.1,100.5,83.75,101.0,0.393,L,0,2024-25
