gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401187,1610612738,Boston,Celtics,BOS,celtics,240:00,516.7,103.3,477.8,95.6,38.9,7.8,0.629,1.69,16.5,0.375,0.655,0.518,14.444,14.4,0.467,0.486,1.0,0.982,18.0,90.0,75.0,90.0,0.55,W,1,2024-25
22401174,1610612738,Boston,Celtics,BOS,celtics,240:00,650.0,130.0,470.0,94.0,180.0,36.0,0.714,3.5,23.8,0.25,0.729,0.514,10.0,10.0,0.637,0.648,1.0,0.982,20.0,100.0,83.33,100.0,0.662,W,1,2024-25
22401156,1610612738,Boston,Celtics,BOS,celtics,240:00,427.0,85.4,527.5,105.5,-100.5,-20.1,0.625,1.25,16.5,0.235,0.685,0.467,17.978,18.0,0.433,0.449,1.0,0.99,18.0,90.0,75.0,89.0,0.406,L,0,2024-25
22401151,1610612738,Boston,Celtics,BOS,celtics,265:00,583.3,116.7,573.5,114.7,9.8,2.0,0.65,1.73,18.6,0.24,0.643,0.453,14.706,14.7,0.569,0.607,1.0,0.991,18.48,92.38,76.98,102.0,0.491,W,1,2024-25
22401137,1610612738,Boston,Celtics,BOS,celtics,240:00,688.9,137.8,500.0,100.0,188.9,37.8,0.688,2.36,22.1,0.54,0.75,0.647,15.556,15.6,0.612,0.616,1.0,0.983,18.0,90.0,75.0,90.0,0.664,W,1,2024-25
22401120,1610612738,Boston,Celtics,BOS,celtics,240:00,654.3,130.9,553.8,110.8,100.5,20.1,0.622,4.0,21.2,0.273,0.759,0.541,7.447,7.4,0.598,0.636,1.0,0.99,18.7,93.5,77.92,94.0,0.59,W,1,2024-25
22401106,1610612738,Boston,Celtics,BOS,celtics,240:00,598.8,119.8,720.9,144.2,-122.1,-24.4,0.615,1.85,18.2,0.449,0.651,0.543,15.116,15.1,0.517,0.548,1.0,0.981,17.2,86.0,71.67,86.0,0.398,L,0,2024-25
22401093,1610612738,Boston,Celtics,BOS,celtics,240:00,568.0,113.6,504.9,101.0,63.1,12.6,0.769,2.31,20.3,0.263,0.849,0.545,12.621,12.6,0.516,0.561,1.0,0.975,20.5,102.5,85.42,103.0,0.56,W,1,2024-25
22401080,1610612738,Boston,Celtics,BOS,celtics,240:00,636.8,127.4,578.1,115.6,58.7,11.7,0.711,2.91,22.1,0.38,0.774,0.583,11.579,11.6,0.569,0.594,1.0,0.982,19.1,95.5,79.58,95.0,0.557,W,1,2024-25
22401058,1610612738,Boston,Celtics,BOS,celtics,240:00,687.5,137.5,531.3,106.3,156.3,31.3,0.733,3.0,22.8,0.356,0.717,0.551,11.458,11.5,0.629,0.669,1.0,0.973,19.2,96.0,80.0,96.0,0.649,W,1,2024-25
22401044,1610612738,Boston,Celtics,BOS,celtics,240:00,570.7,114.1,494.8,99.0,75.9,15.2,0.683,2.8,20.1,0.25,0.816,0.525,10.101,10.1,0.561,0.572,1.0,0.982,19.5,97.5,81.25,99.0,0.568,W,1,2024-25
22401034,1610612738,Boston,Celtics,BOS,celtics,240:00,701.1,140.2,630.4,126.1,70.7,14.1,0.646,3.44,22.8,0.31,0.644,0.483,9.783,9.8,0.676,0.685,1.0,0.981,18.4,92.0,76.67,92.0,0.557,W,1,2024-25
22401020,1610612738,Boston,Celtics,BOS,celtics,240:00,630.2,126.0,515.6,103.1,114.6,22.9,0.6,2.45,18.8,0.389,0.745,0.554,11.458,11.5,0.552,0.582,1.0,0.974,19.2,96.0,80.0,96.0,0.601,W,1,2024-25
22400994,1610612738,Boston,Celtics,BOS,celtics,240:00,553.2,110.6,516.1,103.2,37.1,7.4,0.686,1.85,18.8,0.217,0.782,0.525,13.83,13.8,0.544,0.586,1.0,0.971,18.7,93.5,77.92,94.0,0.584,W,1,2024-25
22400968,1610612738,Boston,Celtics,BOS,celtics,240:00,676.5,135.3,657.0,131.4,19.5,3.9,0.659,3.63,22.7,0.333,0.551,0.447,9.412,9.4,0.601,0.623,1.0,0.99,17.1,85.5,71.25,85.0,0.523,W,1,2024-25
22400958,1610612738,Boston,Celtics,BOS,celtics,240:00,559.8,112.0,494.6,98.9,65.2,13.0,0.5,1.2,14.5,0.298,0.767,0.522,16.304,16.3,0.548,0.58,1.0,0.972,18.4,92.0,76.67,92.0,0.53,W,1,2024-25
22400946,1610612738,Boston,Celtics,BOS,celtics,240:00,583.3,116.7,608.2,121.6,-24.9,-5.0,0.61,1.92,18.1,0.321,0.686,0.5,13.542,13.5,0.543,0.564,1.0,0.991,19.3,96.5,80.42,96.0,0.466,L,0,2024-25
22400929,1610612738,Boston,Celtics,BOS,celtics,240:00,575.8,115.2,551.0,110.2,24.7,4.9,0.7,3.11,19.9,0.259,0.717,0.486,9.091,9.1,0.527,0.565,1.0,0.973,19.7,98.5,82.08,99.0,0.542,W,1,2024-25
22400918,1610612738,Boston,Celtics,BOS,celtics,240:00,590.4,118.1,531.6,106.3,58.8,11.8,0.6,2.4,18.6,0.245,0.725,0.49,10.638,10.6,0.554,0.584,1.0,0.99,18.9,94.5,78.75,94.0,0.577,W,1,2024-25
22400900,1610612738,Boston,Celtics,BOS,celtics,240:00,661.3,132.3,564.5,112.9,96.8,19.4,0.696,2.91,22.5,0.378,0.564,0.48,11.828,11.8,0.61,0.636,1.0,0.973,18.6,93.0,77.5,93.0,0.591,W,1,2024-25
22400891,1610612738,Boston,Celtics,BOS,celtics,240:00,673.7,134.7,614.6,122.9,59.1,11.8,0.533,2.4,17.3,0.396,0.766,0.57,10.526,10.5,0.582,0.613,1.0,0.991,19.1,95.5,79.58,95.0,0.547,W,1,2024-25
22400866,1610612738,Boston,Celtics,BOS,celtics,240:00,591.4,118.3,542.1,108.4,49.3,9.9,0.703,1.86,20.0,0.25,0.75,0.511,15.054,15.1,0.564,0.612,1.0,1.0,18.8,94.0,78.33,93.0,0.525,W,1,2024-25
22400852,1610612738,Boston,Celtics,BOS,celtics,240:00,623.7,124.7,654.3,130.9,-30.6,-6.1,0.465,1.82,15.6,0.313,0.608,0.465,11.828,11.8,0.579,0.601,1.0,0.991,18.7,93.5,77.92,93.0,0.457,L,0,2024-25
22400836,1610612738,Boston,Celtics,BOS,celtics,240:00,500.0,100.0,596.9,119.4,-96.9,-19.4,0.636,1.11,16.7,0.163,0.644,0.394,19.588,19.6,0.544,0.56,1.0,0.971,19.5,97.5,81.25,97.0,0.356,L,0,2024-25
22400829,1610612738,Boston,Celtics,BOS,celtics,240:00,572.2,114.4,526.0,105.2,46.1,9.2,0.545,1.6,17.4,0.347,0.714,0.516,15.464,15.5,0.554,0.575,1.0,0.965,19.3,96.5,80.42,97.0,0.504,W,1,2024-25
22400811,1610612738,Boston,Celtics,BOS,celtics,240:00,614.6,122.9,541.2,108.2,73.3,14.7,0.6,2.25,19.9,0.283,0.75,0.531,12.5,12.5,0.588,0.616,1.0,0.972,19.3,96.5,80.42,96.0,0.587,W,1,2024-25
22400789,1610612738,Boston,Celtics,BOS,celtics,240:00,645.8,129.2,541.7,108.3,104.2,20.8,0.767,3.0,23.2,0.277,0.741,0.525,11.458,11.5,0.618,0.649,1.0,0.963,19.2,96.0,80.0,96.0,0.59,W,1,2024-25
22400769,1610612738,Boston,Celtics,BOS,celtics,240:00,580.0,116.0,520.2,104.0,59.8,12.0,0.595,1.47,17.1,0.404,0.8,0.607,17.0,17.0,0.56,0.579,1.0,0.959,19.9,99.5,82.92,100.0,0.533,W,1,2024-25
22400759,1610612738,Boston,Celtics,BOS,celtics,240:00,559.8,112.0,462.0,92.4,97.8,19.6,0.615,3.0,19.7,0.13,0.803,0.514,8.696,8.7,0.559,0.582,1.0,0.959,18.4,92.0,76.67,92.0,0.604,W,1,2024-25
