gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500245,1610612766,Charlotte,Hornets,CHA,hornets,240:00,519.2,103.8,539.2,107.8,-20.0,-4.0,0.514,1.19,13.5,0.327,0.804,0.545,15.385,15.4,0.483,0.539,1.0,0.959,20.6,103.0,85.83,104.0,0.495,L,0,2025-26
22500229,1610612766,Charlotte,Hornets,CHA,hornets,240:00,500.0,100.0,567.7,113.5,-67.7,-13.5,0.622,1.53,16.7,0.339,0.702,0.5,15.625,15.6,0.469,0.484,1.0,0.965,19.2,96.0,80.0,96.0,0.405,L,0,2025-26
22500043,1610612766,Charlotte,Hornets,CHA,hornets,265:00,598.2,119.6,674.3,134.9,-76.1,-15.2,0.66,2.38,19.4,0.321,0.853,0.529,11.607,11.6,0.566,0.605,1.0,0.953,20.02,100.08,83.4,112.0,0.443,L,0,2025-26
22500213,1610612766,Charlotte,Hornets,CHA,hornets,240:00,590.4,118.1,537.6,107.5,52.8,10.6,0.711,1.69,18.6,0.49,0.776,0.63,17.021,17.0,0.512,0.567,1.0,0.949,18.7,93.5,77.92,94.0,0.559,W,1,2025-26
22500198,1610612766,Charlotte,Hornets,CHA,hornets,240:00,590.4,118.1,636.8,127.4,-46.4,-9.3,0.757,1.22,21.2,0.306,0.646,0.5,24.468,24.5,0.641,0.688,1.0,0.99,18.9,94.5,78.75,94.0,0.472,L,0,2025-26
22500033,1610612766,Charlotte,Hornets,CHA,hornets,240:00,519.2,103.8,588.8,117.8,-69.6,-13.9,0.595,1.22,14.8,0.371,0.816,0.568,17.308,17.3,0.433,0.496,1.0,1.0,21.1,105.5,87.92,104.0,0.409,L,0,2025-26
22500168,1610612766,Charlotte,Hornets,CHA,hornets,240:00,560.0,112.0,574.3,114.9,-14.3,-2.9,0.513,1.0,14.5,0.4,0.712,0.567,20.0,20.0,0.555,0.594,1.0,0.966,20.1,100.5,83.75,100.0,0.478,L,0,2025-26
22500150,1610612766,Charlotte,Hornets,CHA,hornets,240:00,623.8,124.8,509.9,102.0,113.9,22.8,0.721,2.07,21.4,0.304,0.755,0.545,14.851,14.9,0.591,0.645,1.0,0.974,20.2,101.0,84.17,101.0,0.606,W,1,2025-26
22500143,1610612766,Charlotte,Hornets,CHA,hornets,240:00,519.8,104.0,610.0,122.0,-90.2,-18.0,0.676,1.64,16.8,0.264,0.902,0.543,13.861,13.9,0.471,0.536,1.0,0.991,20.1,100.5,83.75,101.0,0.42,L,0,2025-26
22500138,1610612766,Charlotte,Hornets,CHA,hornets,240:00,557.3,111.5,640.6,128.1,-83.3,-16.7,0.571,1.14,17.8,0.364,0.652,0.511,21.875,21.9,0.572,0.597,1.0,0.982,19.2,96.0,80.0,96.0,0.428,L,0,2025-26
22500124,1610612766,Charlotte,Hornets,CHA,hornets,240:00,546.7,109.3,666.7,133.3,-119.9,-24.0,0.65,1.44,17.8,0.269,0.783,0.51,16.822,16.8,0.544,0.584,1.0,0.983,21.5,107.5,89.58,107.0,0.405,L,0,2025-26
22500109,1610612766,Charlotte,Hornets,CHA,hornets,240:00,637.6,127.5,523.1,104.6,114.5,22.9,0.638,2.5,19.6,0.292,0.811,0.564,11.009,11.0,0.592,0.644,1.0,0.967,21.7,108.5,90.42,109.0,0.638,W,1,2025-26
22500102,1610612766,Charlotte,Hornets,CHA,hornets,240:00,587.4,117.5,601.0,120.2,-13.6,-2.7,0.698,1.76,19.9,0.34,0.673,0.505,16.505,16.5,0.573,0.597,1.0,0.967,20.7,103.5,86.25,103.0,0.478,L,0,2025-26
22500080,1610612766,Charlotte,Hornets,CHA,hornets,240:00,641.5,128.3,551.9,110.4,89.6,17.9,0.688,1.94,21.2,0.409,0.732,0.59,16.038,16.0,0.628,0.651,1.0,0.976,21.2,106.0,88.33,106.0,0.609,W,1,2025-26
