gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401187,1610612766,Charlotte,Hornets,CHA,hornets,240:00,477.8,95.6,516.7,103.3,-38.9,-7.8,0.719,1.35,17.4,0.345,0.625,0.482,18.889,18.9,0.441,0.463,1.0,1.0,18.0,90.0,75.0,90.0,0.45,L,0,2024-25
22401174,1610612766,Charlotte,Hornets,CHA,hornets,240:00,470.0,94.0,650.0,130.0,-180.0,-36.0,0.694,1.47,17.9,0.271,0.75,0.486,17.0,17.0,0.468,0.483,1.0,0.991,20.0,100.0,83.33,100.0,0.338,L,0,2024-25
22401158,1610612766,Charlotte,Hornets,CHA,hornets,240:00,470.6,94.1,623.8,124.8,-153.2,-30.6,0.639,1.21,17.2,0.184,0.667,0.443,18.627,18.6,0.506,0.539,1.0,0.973,20.3,101.5,84.58,102.0,0.379,L,0,2024-25
22401146,1610612766,Charlotte,Hornets,CHA,hornets,240:00,505.1,101.0,626.3,125.3,-121.2,-24.2,0.595,1.47,17.1,0.2,0.63,0.423,15.152,15.2,0.525,0.549,1.0,0.991,19.8,99.0,82.5,99.0,0.394,L,0,2024-25
22401133,1610612766,Charlotte,Hornets,CHA,hornets,240:00,562.5,112.5,635.9,127.2,-73.4,-14.7,0.61,1.79,17.9,0.261,0.791,0.517,13.462,13.5,0.529,0.585,1.0,0.965,20.7,103.5,86.25,104.0,0.451,L,0,2024-25
22401118,1610612766,Charlotte,Hornets,CHA,hornets,240:00,531.3,106.3,644.3,128.9,-113.1,-22.6,0.515,1.31,13.1,0.321,0.714,0.51,13.542,13.5,0.446,0.521,1.0,0.982,19.3,96.5,80.42,96.0,0.402,L,0,2024-25
22401104,1610612766,Charlotte,Hornets,CHA,hornets,240:00,552.6,110.5,626.3,125.3,-73.7,-14.7,0.488,1.11,15.9,0.282,0.755,0.545,18.947,18.9,0.59,0.611,1.0,0.981,19.0,95.0,79.17,95.0,0.437,L,0,2024-25
22401089,1610612766,Charlotte,Hornets,CHA,hornets,240:00,578.9,115.8,557.9,111.6,21.1,4.2,0.767,1.83,23.7,0.268,0.667,0.5,18.947,18.9,0.631,0.638,1.0,0.981,19.0,95.0,79.17,95.0,0.548,W,1,2024-25
22401085,1610612766,Charlotte,Hornets,CHA,hornets,240:00,456.3,91.3,475.7,95.1,-19.4,-3.9,0.625,1.33,14.4,0.262,0.732,0.487,14.563,14.6,0.396,0.461,1.0,0.975,20.6,103.0,85.83,103.0,0.469,L,0,2024-25
22401069,1610612766,Charlotte,Hornets,CHA,hornets,240:00,500.0,100.0,551.0,110.2,-51.0,-10.2,0.744,1.61,19.3,0.407,0.772,0.586,18.557,18.6,0.453,0.473,1.0,0.983,19.5,97.5,81.25,97.0,0.457,L,0,2024-25
22401045,1610612766,Charlotte,Hornets,CHA,hornets,240:00,553.2,110.6,584.2,116.8,-31.0,-6.2,0.703,2.36,19.5,0.255,0.667,0.453,11.702,11.7,0.5,0.535,1.0,1.0,18.9,94.5,78.75,94.0,0.447,L,0,2024-25
22401032,1610612766,Charlotte,Hornets,CHA,hornets,240:00,546.9,109.4,642.1,128.4,-95.2,-19.0,0.585,1.2,17.3,0.413,0.757,0.566,20.833,20.8,0.534,0.566,1.0,0.965,19.1,95.5,79.58,96.0,0.412,L,0,2024-25
22401017,1610612766,Charlotte,Hornets,CHA,hornets,240:00,552.1,110.4,726.8,145.4,-174.7,-34.9,0.784,1.81,22.0,0.163,0.595,0.376,16.667,16.7,0.581,0.618,1.0,0.99,19.3,96.5,80.42,96.0,0.386,L,0,2024-25
22401010,1610612766,Charlotte,Hornets,CHA,hornets,240:00,599.0,119.8,510.4,102.1,88.5,17.7,0.581,2.08,18.7,0.289,0.768,0.554,12.5,12.5,0.574,0.602,1.0,0.972,19.2,96.0,80.0,96.0,0.563,W,1,2024-25
22400993,1610612766,Charlotte,Hornets,CHA,hornets,240:00,520.4,104.1,676.8,135.4,-156.4,-31.3,0.658,1.47,18.5,0.255,0.689,0.467,17.347,17.3,0.512,0.547,1.0,0.991,19.7,98.5,82.08,98.0,0.38,L,0,2024-25
22400538,1610612766,Charlotte,Hornets,CHA,hornets,240:00,444.4,88.9,621.2,124.2,-176.8,-35.4,0.73,2.45,19.6,0.211,0.66,0.421,11.111,11.1,0.426,0.449,1.0,0.982,19.8,99.0,82.5,99.0,0.344,L,0,2024-25
22400964,1610612766,Charlotte,Hornets,CHA,hornets,240:00,732.3,146.5,683.7,136.7,48.6,9.7,0.824,2.1,26.8,0.472,0.592,0.541,20.202,20.2,0.753,0.777,1.0,0.974,19.7,98.5,82.08,99.0,0.555,W,1,2024-25
22400945,1610612766,Charlotte,Hornets,CHA,hornets,240:00,518.9,103.8,585.7,117.1,-66.8,-13.4,0.725,1.38,19.2,0.32,0.722,0.529,19.811,19.8,0.534,0.573,1.0,0.967,21.1,105.5,87.92,106.0,0.456,L,0,2024-25
22400931,1610612766,Charlotte,Hornets,CHA,hornets,240:00,552.6,110.5,536.8,107.4,15.8,3.2,0.722,2.6,19.4,0.26,0.653,0.455,10.526,10.5,0.483,0.546,1.0,0.981,19.0,95.0,79.17,95.0,0.517,W,1,2024-25
22400912,1610612766,Charlotte,Hornets,CHA,hornets,240:00,610.5,122.1,579.5,115.9,30.9,6.2,0.625,2.5,18.0,0.475,0.667,0.558,11.628,11.6,0.464,0.5,1.0,1.0,17.4,87.0,72.5,86.0,0.511,W,1,2024-25
22400904,1610612766,Charlotte,Hornets,CHA,hornets,240:00,573.5,114.7,578.4,115.7,-4.9,-1.0,0.659,2.42,20.3,0.269,0.766,0.505,11.765,11.8,0.549,0.578,1.0,1.0,20.4,102.0,85.0,102.0,0.49,L,0,2024-25
22400892,1610612766,Charlotte,Hornets,CHA,hornets,240:00,572.9,114.6,651.0,130.2,-78.1,-15.6,0.619,1.73,18.2,0.386,0.755,0.557,15.625,15.6,0.505,0.534,1.0,0.983,19.2,96.0,80.0,96.0,0.436,L,0,2024-25
22400875,1610612766,Charlotte,Hornets,CHA,hornets,240:00,490.3,98.1,566.7,113.3,-76.4,-15.3,0.588,1.18,14.7,0.228,0.737,0.482,16.505,16.5,0.459,0.502,1.0,1.0,20.8,104.0,86.67,103.0,0.368,L,0,2024-25
