gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500248,1610612741,Chicago,Bulls,CHI,bulls,240:00,625.0,125.0,599.1,119.8,25.9,5.2,0.646,3.44,20.7,0.268,0.727,0.495,8.654,8.7,0.564,0.589,1.0,0.992,21.0,105.0,87.5,104.0,0.507,W,1,2025-26
22500240,1610612741,Chicago,Bulls,CHI,bulls,290:00,583.3,116.7,600.0,120.0,-16.7,-3.3,0.776,2.24,21.1,0.279,0.768,0.538,13.492,13.5,0.542,0.602,1.0,0.972,20.77,103.86,86.55,126.0,0.514,L,0,2025-26
22500214,1610612741,Chicago,Bulls,CHI,bulls,240:00,533.0,106.6,590.5,118.1,-57.5,-11.5,0.512,1.0,14.5,0.353,0.744,0.532,19.811,19.8,0.547,0.575,1.0,0.968,21.1,105.5,87.92,106.0,0.439,L,0,2025-26
22500202,1610612741,Chicago,Bulls,CHI,bulls,240:00,557.1,111.4,581.7,116.3,-24.6,-4.9,0.707,2.23,19.6,0.278,0.795,0.51,12.381,12.4,0.527,0.567,1.0,0.975,20.9,104.5,87.08,105.0,0.457,L,0,2025-26
22500186,1610612741,Chicago,Bulls,CHI,bulls,240:00,592.2,118.4,627.5,125.5,-35.2,-7.0,0.711,1.93,19.0,0.255,0.788,0.535,13.592,13.6,0.53,0.611,1.0,0.983,20.5,102.5,85.42,103.0,0.505,L,0,2025-26
22500035,1610612741,Chicago,Bulls,CHI,bulls,240:00,518.9,103.8,594.3,118.9,-75.5,-15.1,0.773,2.43,23.0,0.188,0.684,0.457,13.208,13.2,0.544,0.567,1.0,0.982,21.2,106.0,88.33,106.0,0.472,L,0,2025-26
22500167,1610612741,Chicago,Bulls,CHI,bulls,240:00,553.9,110.8,549.5,109.9,4.4,0.9,0.619,1.44,17.9,0.367,0.661,0.524,17.647,17.6,0.545,0.578,1.0,0.983,20.3,101.5,84.58,102.0,0.548,W,1,2025-26
22500153,1610612741,Chicago,Bulls,CHI,bulls,240:00,574.3,114.9,633.7,126.7,-59.4,-11.9,0.622,2.0,19.7,0.26,0.673,0.471,13.861,13.9,0.575,0.593,1.0,0.982,20.2,101.0,84.17,101.0,0.448,L,0,2025-26
22500023,1610612741,Chicago,Bulls,CHI,bulls,240:00,681.8,136.4,637.8,127.6,44.1,8.8,0.689,3.44,21.8,0.293,0.7,0.516,9.091,9.1,0.637,0.679,1.0,0.964,19.7,98.5,82.08,99.0,0.576,W,1,2025-26
22500132,1610612741,Chicago,Bulls,CHI,bulls,240:00,630.0,126.0,559.4,111.9,70.6,14.1,0.694,2.13,22.8,0.333,0.857,0.586,16.0,16.0,0.615,0.637,1.0,0.983,20.1,100.5,83.75,100.0,0.535,W,1,2025-26
22500115,1610612741,Chicago,Bulls,CHI,bulls,240:00,615.4,123.1,585.7,117.1,29.7,5.9,0.688,1.83,21.6,0.356,0.808,0.598,17.308,17.3,0.609,0.632,1.0,0.958,20.9,104.5,87.08,104.0,0.517,W,1,2025-26
22500100,1610612741,Chicago,Bulls,CHI,bulls,240:00,514.0,102.8,453.7,90.7,60.3,12.1,0.667,1.3,18.2,0.208,0.667,0.457,18.692,18.7,0.53,0.574,1.0,0.974,21.5,107.5,89.58,107.0,0.604,W,1,2025-26
22500084,1610612741,Chicago,Bulls,CHI,bulls,240:00,542.5,108.5,528.6,105.7,13.9,2.8,0.744,1.61,19.3,0.294,0.724,0.523,16.981,17.0,0.511,0.569,1.0,0.975,21.1,105.5,87.92,106.0,0.53,W,1,2025-26
