gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401191,1610612741,Chicago,Bulls,CHI,bulls,240:00,570.1,114.0,476.6,95.3,93.5,18.7,0.617,2.23,18.6,0.339,0.767,0.555,12.15,12.1,0.519,0.546,1.0,0.976,21.4,107.0,89.17,107.0,0.595,W,1,2024-25
22401176,1610612741,Chicago,Bulls,CHI,bulls,240:00,583.3,116.7,432.0,86.4,151.3,30.3,0.744,2.46,21.5,0.294,0.75,0.533,12.745,12.7,0.532,0.579,1.0,0.983,20.5,102.5,85.42,102.0,0.658,W,1,2024-25
22401160,1610612741,Chicago,Bulls,CHI,bulls,240:00,583.3,116.7,538.8,107.8,44.5,8.9,0.717,2.06,22.8,0.233,0.755,0.511,15.686,15.7,0.596,0.628,1.0,0.991,20.5,102.5,85.42,102.0,0.549,W,1,2024-25
22401147,1610612741,Chicago,Bulls,CHI,bulls,240:00,543.3,108.7,661.8,132.4,-118.5,-23.7,0.634,1.3,18.1,0.311,0.667,0.5,19.231,19.2,0.564,0.599,1.0,0.966,20.6,103.0,85.83,104.0,0.431,L,0,2024-25
22401133,1610612741,Chicago,Bulls,CHI,bulls,240:00,635.9,127.2,562.5,112.5,73.4,14.7,0.565,2.0,18.8,0.209,0.739,0.483,12.621,12.6,0.628,0.663,1.0,0.991,20.7,103.5,86.25,103.0,0.549,W,1,2024-25
22401122,1610612741,Chicago,Bulls,CHI,bulls,240:00,541.3,108.3,528.0,105.6,13.2,2.6,0.61,1.39,17.1,0.265,0.703,0.528,16.514,16.5,0.529,0.586,1.0,0.967,21.6,108.0,90.0,109.0,0.573,W,1,2024-25
22401099,1610612741,Chicago,Bulls,CHI,bulls,240:00,658.7,131.7,567.3,113.5,91.3,18.3,0.72,3.0,24.0,0.282,0.774,0.565,11.538,11.5,0.648,0.686,1.0,0.991,20.8,104.0,86.67,104.0,0.609,W,1,2024-25
22401094,1610612741,Chicago,Bulls,CHI,bulls,240:00,517.7,103.5,641.6,128.3,-123.9,-24.8,0.659,1.45,18.6,0.259,0.75,0.49,17.699,17.7,0.531,0.557,1.0,0.969,22.6,113.0,94.17,113.0,0.393,L,0,2024-25
22401077,1610612741,Chicago,Bulls,CHI,bulls,240:00,550.9,110.2,550.5,110.1,0.5,0.1,0.721,1.63,20.3,0.292,0.839,0.587,17.593,17.6,0.549,0.586,1.0,0.992,21.7,108.5,90.42,108.0,0.501,L,0,2024-25
22401063,1610612741,Chicago,Bulls,CHI,bulls,240:00,566.7,113.3,562.5,112.5,4.2,0.8,0.767,2.2,21.7,0.264,0.851,0.54,14.286,14.3,0.571,0.585,1.0,0.983,20.9,104.5,87.08,105.0,0.491,W,1,2024-25
22401042,1610612741,Chicago,Bulls,CHI,bulls,240:00,638.6,127.7,589.1,117.8,49.5,9.9,0.689,3.1,21.2,0.286,0.611,0.456,9.901,9.9,0.588,0.63,1.0,0.983,20.2,101.0,84.17,101.0,0.523,W,1,2024-25
22401028,1610612741,Chicago,Bulls,CHI,bulls,240:00,688.7,137.7,547.6,109.5,141.1,28.2,0.732,4.1,25.8,0.286,0.745,0.528,9.434,9.4,0.682,0.697,1.0,0.975,21.1,105.5,87.92,106.0,0.657,W,1,2024-25
22401013,1610612741,Chicago,Bulls,CHI,bulls,240:00,659.8,132.0,591.8,118.4,68.0,13.6,0.711,2.29,22.4,0.357,0.739,0.557,14.433,14.4,0.61,0.657,1.0,0.982,19.5,97.5,81.25,97.0,0.564,W,1,2024-25
