gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500241,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,584.2,116.8,524.8,105.0,59.4,11.9,0.568,1.39,18.7,0.211,0.737,0.526,17.822,17.8,0.652,0.669,1.0,0.963,20.2,101.0,84.17,101.0,0.593,W,1,2025-26
22500228,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,514.3,102.9,471.7,94.3,42.6,8.5,0.632,1.14,16.8,0.28,0.75,0.536,20.0,20.0,0.536,0.564,1.0,0.983,21.1,105.5,87.92,105.0,0.553,W,1,2025-26
22500225,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,582.5,116.5,649.5,129.9,-67.0,-13.4,0.634,2.17,18.6,0.315,0.625,0.447,12.371,12.4,0.505,0.552,1.0,0.991,19.4,97.0,80.83,97.0,0.404,L,0,2025-26
22500217,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,601.9,120.4,537.0,107.4,64.8,13.0,0.711,2.46,19.6,0.371,0.725,0.531,12.037,12.0,0.5,0.553,1.0,0.977,21.6,108.0,90.0,108.0,0.572,W,1,2025-26
22500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,265:00,610.6,122.1,608.7,121.7,1.9,0.4,0.531,2.6,15.4,0.395,0.648,0.5,8.85,8.8,0.496,0.523,1.0,0.972,20.65,103.25,86.04,113.0,0.443,L,0,2025-26
22500186,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,627.5,125.5,592.2,118.4,35.2,7.0,0.696,3.56,22.2,0.212,0.745,0.465,8.824,8.8,0.58,0.607,1.0,1.0,20.5,102.5,85.42,102.0,0.495,W,1,2025-26
22500029,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,704.8,141.0,552.9,110.6,151.9,30.4,0.654,3.4,20.0,0.508,0.623,0.561,9.524,9.5,0.564,0.599,1.0,0.978,20.9,104.5,87.08,105.0,0.622,W,1,2025-26
22500171,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,628.6,125.7,581.7,116.3,46.8,9.4,0.673,2.2,22.0,0.326,0.588,0.468,14.286,14.3,0.63,0.663,1.0,0.974,20.9,104.5,87.08,105.0,0.568,W,1,2025-26
22500151,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,546.7,109.3,509.3,101.9,37.4,7.5,0.75,1.67,19.5,0.293,0.756,0.485,16.822,16.8,0.515,0.558,1.0,0.968,21.4,107.0,89.17,107.0,0.492,W,1,2025-26
22500022,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,515.3,103.1,571.4,114.3,-56.1,-11.2,0.667,1.71,17.1,0.322,0.689,0.481,14.286,14.3,0.478,0.504,1.0,0.983,19.6,98.0,81.67,98.0,0.432,L,0,2025-26
22500128,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,546.9,109.4,657.9,131.6,-111.0,-22.2,0.714,1.79,18.1,0.304,0.614,0.46,14.583,14.6,0.5,0.538,1.0,0.982,19.1,95.5,79.58,96.0,0.393,L,0,2025-26
22500007,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,557.7,111.5,448.1,89.6,109.6,21.9,0.641,1.25,17.1,0.34,0.607,0.486,19.231,19.2,0.524,0.578,1.0,0.992,21.0,105.0,87.5,104.0,0.655,W,1,2025-26
22500107,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,572.8,114.6,548.5,109.7,24.3,4.9,0.59,1.35,16.2,0.347,0.778,0.553,16.505,16.5,0.517,0.576,1.0,0.983,20.6,103.0,85.83,103.0,0.504,W,1,2025-26
22500091,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,623.8,124.8,596.2,119.2,27.7,5.5,0.727,1.88,21.6,0.295,0.681,0.495,16.19,16.2,0.646,0.672,1.0,0.974,20.9,104.5,87.08,105.0,0.559,W,1,2025-26
22500003,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,528.6,105.7,566.7,113.3,-38.1,-7.6,0.525,1.4,15.8,0.163,0.755,0.459,14.286,14.3,0.576,0.591,1.0,0.973,21.0,105.0,87.5,105.0,0.436,L,0,2025-26
