gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401189,1610612739,Cleveland,Cavaliers,CLE,cavaliers,290:00,475.8,95.2,496.1,99.2,-20.3,-4.1,0.477,0.95,12.4,0.316,0.736,0.52,17.742,17.7,0.461,0.473,1.0,0.986,20.77,103.86,86.55,124.0,0.397,L,0,2024-25
22401175,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,574.5,114.9,548.4,109.7,26.1,5.2,0.605,1.53,17.6,0.333,0.704,0.542,15.957,16.0,0.565,0.599,1.0,0.972,18.7,93.5,77.92,94.0,0.562,W,1,2024-25
22401168,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,554.5,110.9,575.8,115.2,-21.3,-4.3,0.558,2.18,16.8,0.321,0.788,0.546,10.891,10.9,0.526,0.54,1.0,0.966,20.0,100.0,83.33,101.0,0.482,L,0,2024-25
22401147,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,661.8,132.4,543.3,108.7,118.5,23.7,0.686,2.69,22.7,0.333,0.689,0.5,12.745,12.7,0.635,0.638,1.0,0.992,20.6,103.0,85.83,102.0,0.569,W,1,2024-25
22401138,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,582.5,116.5,625.0,125.0,-42.5,-8.5,0.674,1.94,21.5,0.34,0.7,0.506,16.495,16.5,0.58,0.586,1.0,0.982,19.3,96.5,80.42,97.0,0.475,L,0,2024-25
22401124,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,558.8,111.8,553.9,110.8,4.9,1.0,0.756,1.82,21.7,0.229,0.722,0.49,16.667,16.7,0.598,0.612,1.0,0.973,20.4,102.0,85.0,102.0,0.516,W,1,2024-25
22401103,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,639.2,127.8,552.6,110.5,86.5,17.3,0.46,1.77,16.5,0.467,0.647,0.563,13.402,13.4,0.596,0.619,1.0,0.983,19.2,96.0,80.0,97.0,0.592,W,1,2024-25
22401081,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,610.6,122.1,586.5,117.3,24.0,4.8,0.702,3.3,22.4,0.213,0.735,0.479,9.615,9.6,0.586,0.616,1.0,0.991,20.8,104.0,86.67,104.0,0.552,W,1,2024-25
22401067,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,592.2,118.4,658.4,131.7,-66.2,-13.2,0.41,1.07,11.7,0.367,0.635,0.505,14.563,14.6,0.554,0.606,1.0,0.959,20.4,102.0,85.0,103.0,0.448,L,0,2024-25
22401059,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,601.9,120.4,568.6,113.7,33.3,6.7,0.717,2.36,21.2,0.382,0.682,0.545,13.592,13.6,0.551,0.58,1.0,0.976,20.5,102.5,85.42,103.0,0.575,W,1,2024-25
22401051,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,635.4,127.1,572.2,114.4,63.3,12.7,0.583,2.0,20.4,0.325,0.594,0.49,14.583,14.6,0.614,0.639,1.0,0.963,19.3,96.5,80.42,96.0,0.563,W,1,2024-25
22401030,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,600.0,120.0,455.0,91.0,145.0,29.0,0.636,4.0,19.3,0.293,0.678,0.487,7.0,7.0,0.516,0.547,1.0,0.974,20.0,100.0,83.33,100.0,0.669,W,1,2024-25
22401021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,583.3,116.7,640.6,128.1,-57.3,-11.5,0.571,2.18,17.6,0.296,0.636,0.449,11.458,11.5,0.537,0.559,1.0,0.991,19.2,96.0,80.0,96.0,0.456,L,0,2024-25
22401009,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,607.1,121.4,634.0,126.8,-26.9,-5.4,0.522,2.0,18.5,0.205,0.674,0.459,12.245,12.2,0.625,0.647,1.0,0.972,19.5,97.5,81.25,98.0,0.5,L,0,2024-25
22400997,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,626.3,125.3,687.5,137.5,-61.2,-12.2,0.659,3.22,20.9,0.3,0.575,0.422,9.474,9.5,0.567,0.587,1.0,0.982,19.1,95.5,79.58,95.0,0.416,L,0,2024-25
22400979,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,515.0,103.0,534.7,106.9,-19.7,-3.9,0.525,1.5,14.9,0.345,0.66,0.491,14.0,14.0,0.469,0.491,1.0,0.992,20.1,100.5,83.75,100.0,0.446,L,0,2024-25
22400962,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,604.5,120.9,568.8,113.8,35.7,7.1,0.727,2.0,20.9,0.224,0.76,0.495,14.545,14.5,0.608,0.649,1.0,0.967,21.9,109.5,91.25,110.0,0.545,W,1,2024-25
22400940,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,567.7,113.5,547.4,109.5,20.3,4.1,0.59,1.53,16.7,0.392,0.792,0.586,15.625,15.6,0.494,0.545,1.0,0.991,19.1,95.5,79.58,96.0,0.524,W,1,2024-25
22400922,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,560.0,112.0,505.1,101.0,54.9,11.0,0.641,1.67,17.9,0.294,0.648,0.476,15.0,15.0,0.551,0.581,1.0,0.974,19.9,99.5,82.92,100.0,0.566,W,1,2024-25
22400904,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,578.4,115.7,573.5,114.7,4.9,1.0,0.5,1.14,12.4,0.234,0.731,0.495,13.725,13.7,0.493,0.599,1.0,0.982,20.4,102.0,85.0,102.0,0.51,W,1,2024-25
22400893,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,565.7,113.1,540.4,108.1,25.3,5.1,0.634,2.0,19.0,0.265,0.78,0.525,13.131,13.1,0.552,0.579,1.0,0.991,19.8,99.0,82.5,99.0,0.516,W,1,2024-25
22400886,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,643.5,128.7,541.7,108.3,101.9,20.4,0.587,3.0,18.0,0.273,0.75,0.522,8.333,8.3,0.556,0.618,1.0,0.976,21.6,108.0,90.0,108.0,0.56,W,1,2024-25
22400867,1610612739,Cleveland,Cavaliers,CLE,cavaliers,265:00,588.5,117.7,570.8,114.2,17.7,3.5,0.643,1.8,17.4,0.276,0.636,0.451,13.274,13.3,0.531,0.592,1.0,0.984,20.47,102.34,85.28,113.0,0.536,W,1,2024-25
22400852,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,654.3,130.9,623.7,124.7,30.6,6.1,0.511,2.88,16.9,0.392,0.688,0.535,8.511,8.5,0.569,0.601,1.0,0.973,18.7,93.5,77.92,94.0,0.543,W,1,2024-25
22400830,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,663.0,132.6,440.9,88.2,222.2,44.4,0.556,2.08,19.8,0.243,0.695,0.521,13.043,13.0,0.681,0.701,1.0,0.98,18.5,92.5,77.08,92.0,0.702,W,1,2024-25
22400819,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,638.6,127.7,621.2,124.2,17.4,3.5,0.543,1.79,16.1,0.508,0.655,0.579,13.861,13.9,0.53,0.564,1.0,0.985,20.0,100.0,83.33,101.0,0.523,W,1,2024-25
22400797,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,689.3,137.9,509.7,101.9,179.6,35.9,0.679,2.53,24.8,0.316,0.745,0.562,14.563,14.6,0.712,0.72,1.0,0.983,20.6,103.0,85.83,103.0,0.662,W,1,2024-25
22400791,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,544.6,108.9,480.2,96.0,64.4,12.9,0.475,1.12,13.2,0.446,0.667,0.56,16.832,16.8,0.484,0.519,1.0,0.984,20.2,101.0,84.17,101.0,0.553,W,1,2024-25
22400774,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,629.8,126.0,519.2,103.8,110.6,22.1,0.708,2.62,21.8,0.346,0.755,0.552,12.5,12.5,0.576,0.608,1.0,0.984,20.8,104.0,86.67,104.0,0.598,W,1,2024-25
22400755,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,633.7,126.7,529.7,105.9,104.0,20.8,0.563,1.59,18.6,0.354,0.649,0.514,16.832,16.8,0.601,0.623,1.0,0.983,20.2,101.0,84.17,101.0,0.612,W,1,2024-25
22400735,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,663.4,132.7,613.9,122.8,49.5,9.9,0.667,2.29,21.2,0.383,0.623,0.51,13.861,13.9,0.596,0.641,1.0,0.983,20.2,101.0,84.17,101.0,0.568,W,1,2024-25
22400718,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,584.2,116.8,575.0,115.0,9.2,1.8,0.683,1.17,19.3,0.348,0.623,0.505,23.762,23.8,0.576,0.617,1.0,0.974,20.1,100.5,83.75,101.0,0.52,W,1,2024-25
22400710,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,530.3,106.1,565.7,113.1,-35.4,-7.1,0.5,1.38,13.5,0.276,0.661,0.47,13.131,13.1,0.456,0.512,1.0,0.991,19.8,99.0,82.5,99.0,0.434,L,0,2024-25
22400696,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,679.2,135.8,467.6,93.5,211.7,42.3,0.736,4.33,26.4,0.073,0.766,0.495,8.491,8.5,0.71,0.72,1.0,0.991,21.4,107.0,89.17,106.0,0.672,W,1,2024-25
22400675,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,665.0,133.0,563.7,112.7,101.3,20.3,0.642,2.83,22.8,0.3,0.774,0.57,11.65,11.7,0.654,0.686,1.0,0.965,20.5,102.5,85.42,103.0,0.608,W,1,2024-25
22400667,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,656.3,131.3,552.1,110.4,104.2,20.8,0.537,4.14,20.9,0.298,0.8,0.543,7.292,7.3,0.605,0.614,1.0,0.982,19.2,96.0,80.0,96.0,0.561,W,1,2024-25
22400649,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,572.9,114.6,478.9,95.8,94.0,18.8,0.7,2.8,19.7,0.346,0.721,0.549,10.417,10.4,0.505,0.544,1.0,0.965,19.1,95.5,79.58,96.0,0.611,W,1,2024-25
22400640,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,655.0,131.0,688.8,137.8,-33.8,-6.8,0.596,2.55,19.9,0.319,0.652,0.484,11.0,11.0,0.61,0.639,1.0,1.0,19.8,99.0,82.5,100.0,0.473,L,0,2024-25
22400631,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,638.6,127.7,660.0,132.0,-21.4,-4.3,0.667,1.88,20.4,0.333,0.609,0.468,15.842,15.8,0.639,0.656,1.0,0.974,20.1,100.5,83.75,101.0,0.493,L,0,2024-25
22400615,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,562.5,112.5,573.7,114.7,-11.2,-2.2,0.61,1.92,17.5,0.404,0.472,0.436,13.542,13.5,0.49,0.513,1.0,0.983,19.1,95.5,79.58,96.0,0.503,L,0,2024-25
22400603,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,608.2,121.6,469.4,93.9,138.9,27.8,0.659,3.0,19.0,0.321,0.886,0.57,9.278,9.3,0.532,0.561,1.0,0.983,19.5,97.5,81.25,97.0,0.607,W,1,2024-25
22400590,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,645.8,129.2,603.1,120.6,42.7,8.5,0.643,3.38,19.4,0.314,0.735,0.52,8.333,8.3,0.549,0.602,1.0,0.982,19.3,96.5,80.42,96.0,0.516,W,1,2024-25
22400574,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,532.7,106.5,638.1,127.6,-105.4,-21.1,0.762,1.52,20.8,0.294,0.792,0.548,19.626,19.6,0.539,0.574,1.0,0.967,21.2,106.0,88.33,107.0,0.461,L,0,2024-25
22400554,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,622.5,124.5,579.2,115.8,43.3,8.7,0.581,1.67,17.4,0.362,0.714,0.542,14.706,14.7,0.567,0.619,1.0,0.966,20.3,101.5,84.58,102.0,0.531,W,1,2024-25
22400543,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,474.5,94.9,545.5,109.1,-71.0,-14.2,0.727,1.85,18.8,0.135,0.741,0.443,13.265,13.3,0.464,0.511,1.0,1.0,19.7,98.5,82.08,98.0,0.43,L,0,2024-25
22400517,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,680.4,136.1,649.5,129.9,30.9,6.2,0.66,2.82,21.5,0.348,0.684,0.5,11.34,11.3,0.629,0.66,1.0,0.991,19.4,97.0,80.83,97.0,0.515,W,1,2024-25
22400509,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,638.6,127.7,610.0,122.0,28.6,5.7,0.766,2.4,23.2,0.396,0.714,0.544,14.851,14.9,0.606,0.633,1.0,0.983,20.1,100.5,83.75,101.0,0.502,W,1,2024-25
22400488,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,575.0,115.0,530.3,106.1,44.7,8.9,0.659,2.42,20.6,0.255,0.685,0.476,12.0,12.0,0.56,0.581,1.0,0.991,19.9,99.5,82.92,100.0,0.559,W,1,2024-25
22400474,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,644.2,128.8,586.5,117.3,57.7,11.5,0.731,4.75,24.5,0.277,0.6,0.458,7.692,7.7,0.607,0.627,1.0,0.974,20.8,104.0,86.67,104.0,0.572,W,1,2024-25
22400454,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,610.0,122.0,550.0,110.0,60.0,12.0,0.711,2.91,22.2,0.245,0.741,0.505,11.0,11.0,0.581,0.607,1.0,0.982,20.0,100.0,83.33,100.0,0.545,W,1,2024-25
22400446,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,538.1,107.6,452.4,90.5,85.7,17.1,0.568,1.56,17.5,0.241,0.676,0.484,15.238,15.2,0.552,0.563,1.0,0.983,21.0,105.0,87.5,105.0,0.593,W,1,2024-25
22400424,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,702.8,140.6,642.9,128.6,60.0,12.0,0.741,3.64,25.0,0.311,0.721,0.511,10.377,10.4,0.682,0.705,1.0,0.958,21.1,105.5,87.92,106.0,0.537,W,1,2024-25
22400392,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,626.3,125.3,576.5,115.3,49.7,9.9,0.767,3.67,22.8,0.26,0.579,0.43,9.091,9.1,0.582,0.613,1.0,0.982,19.7,98.5,82.08,99.0,0.564,W,1,2024-25
22400380,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,656.3,131.3,510.3,102.1,145.9,29.2,0.646,2.38,22.0,0.311,0.731,0.536,13.542,13.5,0.656,0.652,1.0,0.991,19.3,96.5,80.42,96.0,0.65,W,1,2024-25
22400374,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,590.5,118.1,476.4,95.3,114.1,22.8,0.652,1.67,20.7,0.213,0.796,0.51,17.143,17.1,0.615,0.638,1.0,0.965,21.1,105.5,87.92,105.0,0.595,W,1,2024-25
