gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500246,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,444.4,88.9,550.5,110.1,-106.0,-21.2,0.382,0.65,9.8,0.193,0.649,0.421,18.519,18.5,0.453,0.487,1.0,0.992,21.7,108.5,90.42,108.0,0.304,L,0,2025-26
22500238,1610612742,Dallas,Mavericks,DAL,mavericks,265:00,616.1,123.2,593.8,118.8,22.3,4.5,0.688,2.2,20.2,0.353,0.557,0.471,13.393,13.4,0.584,0.613,1.0,0.969,20.29,101.43,84.53,112.0,0.569,W,1,2025-26
22500046,1610612742,Dallas,Mavericks,DAL,mavericks,290:00,512.1,102.4,532.0,106.4,-19.9,-4.0,0.409,0.72,11.2,0.322,0.759,0.531,20.161,20.2,0.495,0.549,1.0,0.958,20.61,103.03,85.86,124.0,0.463,L,0,2025-26
22500221,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,542.9,108.6,585.7,117.1,-42.9,-8.6,0.744,1.52,21.5,0.261,0.709,0.505,20.0,20.0,0.599,0.61,1.0,0.957,21.0,105.0,87.5,105.0,0.476,L,0,2025-26
22500203,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,548.1,109.6,557.7,111.5,-9.6,-1.9,0.676,1.67,16.7,0.362,0.75,0.545,14.423,14.4,0.466,0.533,1.0,0.976,20.8,104.0,86.67,104.0,0.495,L,0,2025-26
22500183,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,538.8,107.8,509.7,101.9,29.1,5.8,0.619,2.0,17.6,0.345,0.698,0.519,12.621,12.6,0.484,0.523,1.0,0.984,20.6,103.0,85.83,103.0,0.585,W,1,2025-26
22500034,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,520.0,104.0,584.2,116.8,-64.2,-12.8,0.595,1.39,18.5,0.217,0.75,0.489,18.0,18.0,0.547,0.559,1.0,0.991,20.1,100.5,83.75,100.0,0.457,L,0,2025-26
22500177,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,500.0,100.0,505.0,101.0,-5.0,-1.0,0.486,1.2,13.7,0.25,0.685,0.464,15.152,15.2,0.472,0.506,1.0,0.982,19.9,99.5,82.92,99.0,0.48,L,0,2025-26
22500160,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,500.0,100.0,534.0,106.8,-34.0,-6.8,0.75,2.0,20.8,0.245,0.625,0.44,14.706,14.7,0.5,0.521,1.0,0.991,20.5,102.5,85.42,102.0,0.462,L,0,2025-26
22500147,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,539.2,107.8,604.0,120.8,-64.7,-12.9,0.676,1.53,16.8,0.245,0.722,0.495,14.706,14.7,0.525,0.587,1.0,0.956,20.3,101.5,84.58,102.0,0.426,L,0,2025-26
22500133,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,509.5,101.9,495.3,99.1,14.2,2.8,0.583,1.11,15.4,0.222,0.635,0.479,18.095,18.1,0.487,0.562,1.0,0.991,21.1,105.5,87.92,105.0,0.607,W,1,2025-26
22500119,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,479.6,95.9,520.6,104.1,-41.0,-8.2,0.606,2.22,15.4,0.2,0.735,0.44,9.184,9.2,0.448,0.486,1.0,0.945,19.5,97.5,81.25,98.0,0.43,L,0,2025-26
22500111,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,637.6,127.5,581.1,116.2,56.5,11.3,0.64,1.6,20.9,0.286,0.661,0.5,18.349,18.3,0.647,0.68,1.0,1.0,22.0,110.0,91.67,109.0,0.563,W,1,2025-26
22500096,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,495.4,99.1,536.7,107.3,-41.3,-8.3,0.605,1.1,16.1,0.226,0.774,0.5,19.444,19.4,0.489,0.536,1.0,0.992,21.7,108.5,90.42,108.0,0.469,L,0,2025-26
22500004,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,455.4,91.1,625.0,125.0,-169.6,-33.9,0.645,1.25,14.9,0.236,0.689,0.44,15.842,15.8,0.428,0.487,1.0,0.965,20.1,100.5,83.75,101.0,0.312,L,0,2025-26
