gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401194,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,475.5,95.1,647.1,129.4,-171.6,-34.3,0.526,1.11,14.7,0.275,0.577,0.427,17.647,17.6,0.466,0.502,1.0,0.991,20.4,102.0,85.0,102.0,0.335,L,0,2024-25
22401178,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,596.2,119.2,490.4,98.1,105.8,21.2,0.694,1.7,22.4,0.349,0.719,0.57,19.231,19.2,0.635,0.643,1.0,0.966,20.8,104.0,86.67,104.0,0.644,W,1,2024-25
22401159,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,516.0,103.2,589.5,117.9,-73.5,-14.7,0.833,1.5,22.4,0.263,0.627,0.472,21.277,21.3,0.563,0.591,1.0,0.981,18.9,94.5,78.75,94.0,0.484,L,0,2024-25
22401132,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,520.0,104.0,675.0,135.0,-155.0,-31.0,0.529,1.13,13.7,0.26,0.727,0.479,16.0,16.0,0.481,0.549,1.0,0.982,20.0,100.0,83.33,100.0,0.358,L,0,2024-25
22401127,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,459.6,91.9,575.8,115.2,-116.2,-23.2,0.543,1.06,15.0,0.191,0.739,0.462,18.182,18.2,0.481,0.514,1.0,0.972,19.8,99.0,82.5,99.0,0.394,L,0,2024-25
22401109,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,582.5,116.5,572.8,114.6,9.7,1.9,0.614,1.8,19.7,0.167,0.714,0.48,14.563,14.6,0.62,0.65,1.0,0.964,20.6,103.0,85.83,103.0,0.543,W,1,2024-25
22401095,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,573.7,114.7,588.5,117.7,-14.9,-3.0,0.707,2.9,20.9,0.3,0.741,0.529,10.526,10.5,0.535,0.552,1.0,0.964,19.1,95.5,79.58,95.0,0.496,L,0,2024-25
22401077,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,550.5,110.1,550.9,110.2,-0.5,-0.1,0.596,4.67,19.3,0.161,0.708,0.413,5.505,5.5,0.51,0.544,1.0,0.983,21.7,108.5,90.42,109.0,0.499,W,1,2024-25
22401060,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,520.6,104.1,474.2,94.8,46.4,9.3,0.568,1.4,16.7,0.186,0.76,0.495,15.464,15.5,0.545,0.576,1.0,0.971,19.4,97.0,80.83,97.0,0.585,W,1,2024-25
22401048,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,548.5,109.7,633.7,126.7,-85.1,-17.0,0.442,1.19,14.7,0.179,0.763,0.468,15.534,15.5,0.575,0.621,1.0,0.973,20.4,102.0,85.0,103.0,0.421,L,0,2024-25
