gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500248,1610612743,Denver,Nuggets,DEN,nuggets,240:00,599.1,119.8,625.0,125.0,-25.9,-5.2,0.457,2.63,14.8,0.273,0.732,0.505,7.547,7.5,0.546,0.588,1.0,0.95,21.0,105.0,87.5,106.0,0.493,L,0,2025-26
22500232,1610612743,Denver,Nuggets,DEN,nuggets,240:00,597.1,119.4,549.0,109.8,48.1,9.6,0.744,2.23,19.9,0.298,0.83,0.564,12.621,12.6,0.554,0.617,1.0,0.957,20.5,102.5,85.42,103.0,0.568,W,1,2025-26
22500224,1610612743,Denver,Nuggets,DEN,nuggets,240:00,670.1,134.0,591.8,118.4,78.3,15.7,0.5,1.83,16.3,0.381,0.727,0.558,12.371,12.4,0.601,0.654,1.0,0.973,19.5,97.5,81.25,97.0,0.577,W,1,2025-26
22500212,1610612743,Denver,Nuggets,DEN,nuggets,240:00,628.9,125.8,562.5,112.5,66.4,13.3,0.545,1.85,17.3,0.391,0.761,0.576,13.402,13.4,0.587,0.623,1.0,0.957,19.3,96.5,80.42,97.0,0.555,W,1,2025-26
22500189,1610612743,Denver,Nuggets,DEN,nuggets,240:00,573.5,114.7,476.2,95.2,97.3,19.5,0.711,1.78,21.2,0.347,0.688,0.54,17.647,17.6,0.527,0.567,1.0,0.983,20.7,103.5,86.25,102.0,0.628,W,1,2025-26
22500037,1610612743,Denver,Nuggets,DEN,nuggets,240:00,671.9,134.4,541.7,108.3,130.2,26.0,0.739,3.78,24.5,0.25,0.661,0.49,9.375,9.4,0.659,0.694,1.0,0.971,19.2,96.0,80.0,96.0,0.625,W,1,2025-26
22500178,1610612743,Denver,Nuggets,DEN,nuggets,240:00,575.5,115.1,528.3,105.7,47.2,9.4,0.767,1.94,20.1,0.417,0.84,0.609,16.038,16.0,0.48,0.538,1.0,0.985,21.2,106.0,88.33,106.0,0.546,W,1,2025-26
22500162,1610612743,Denver,Nuggets,DEN,nuggets,240:00,607.5,121.5,579.4,115.9,28.0,5.6,0.66,4.13,21.9,0.212,0.745,0.465,7.477,7.5,0.577,0.604,1.0,0.966,21.4,107.0,89.17,107.0,0.537,W,1,2025-26
22500026,1610612743,Denver,Nuggets,DEN,nuggets,240:00,545.9,109.2,550.5,110.1,-4.6,-0.9,0.5,1.0,14.4,0.341,0.632,0.505,19.388,19.4,0.519,0.578,1.0,0.965,19.7,98.5,82.08,98.0,0.514,L,0,2025-26
22500134,1610612743,Denver,Nuggets,DEN,nuggets,240:00,616.2,123.2,449.0,89.8,167.2,33.4,0.833,2.86,26.0,0.349,0.75,0.583,14.141,14.1,0.611,0.634,1.0,0.965,19.7,98.5,82.08,99.0,0.731,W,1,2025-26
22500008,1610612743,Denver,Nuggets,DEN,nuggets,240:00,616.5,123.3,564.4,112.9,52.1,10.4,0.522,1.71,16.9,0.356,0.766,0.565,13.592,13.6,0.597,0.641,1.0,0.941,20.4,102.0,85.0,103.0,0.569,W,1,2025-26
22500104,1610612743,Denver,Nuggets,DEN,nuggets,240:00,627.4,125.5,528.6,105.7,98.8,19.8,0.721,1.94,20.5,0.333,0.706,0.538,15.094,15.1,0.565,0.649,1.0,0.983,21.1,105.5,87.92,106.0,0.644,W,1,2025-26
22500006,1610612743,Denver,Nuggets,DEN,nuggets,265:00,617.9,123.6,640.2,128.0,-22.3,-4.5,0.627,2.46,21.6,0.222,0.709,0.49,12.264,12.3,0.621,0.647,1.0,0.983,19.29,96.45,80.38,106.0,0.485,L,0,2025-26
