gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401193,1610612743,Denver,Nuggets,DEN,nuggets,240:00,636.4,127.3,566.3,113.3,70.0,14.0,0.622,3.11,20.0,0.318,0.672,0.52,9.091,9.1,0.568,0.62,1.0,0.991,19.7,98.5,82.08,99.0,0.593,W,1,2024-25
22401180,1610612743,Denver,Nuggets,DEN,nuggets,240:00,573.5,114.7,529.1,105.8,44.4,8.9,0.727,2.46,21.3,0.314,0.778,0.552,12.745,12.7,0.511,0.559,1.0,0.983,20.5,102.5,85.42,102.0,0.574,W,1,2024-25
22401165,1610612743,Denver,Nuggets,DEN,nuggets,240:00,659.6,131.9,617.0,123.4,42.6,8.5,0.698,4.29,21.7,0.333,0.72,0.531,7.447,7.4,0.576,0.622,1.0,0.991,18.8,94.0,78.33,94.0,0.571,W,1,2024-25
22401142,1610612743,Denver,Nuggets,DEN,nuggets,240:00,571.4,114.3,595.2,119.0,-23.8,-4.8,0.66,2.54,22.1,0.239,0.82,0.542,12.381,12.4,0.581,0.595,1.0,0.983,21.0,105.0,87.5,105.0,0.477,L,0,2024-25
22401125,1610612743,Denver,Nuggets,DEN,nuggets,240:00,536.1,107.2,602.0,120.4,-66.0,-13.2,0.7,1.08,20.9,0.257,0.681,0.5,26.804,26.8,0.622,0.652,1.0,0.981,19.5,97.5,81.25,97.0,0.464,L,0,2024-25
22401110,1610612743,Denver,Nuggets,DEN,nuggets,240:00,504.8,101.0,538.1,107.6,-33.3,-6.7,0.632,2.0,16.6,0.258,0.821,0.525,11.429,11.4,0.464,0.495,1.0,0.992,21.0,105.0,87.5,105.0,0.471,L,0,2024-25
22401102,1610612743,Denver,Nuggets,DEN,nuggets,290:00,609.6,121.9,614.0,122.8,-4.4,-0.9,0.702,1.83,20.9,0.256,0.603,0.462,15.789,15.8,0.616,0.66,1.0,0.968,18.87,94.34,78.62,114.0,0.554,L,0,2024-25
22401073,1610612743,Denver,Nuggets,DEN,nuggets,240:00,626.2,125.2,451.5,90.3,174.8,35.0,0.792,2.11,25.2,0.263,0.667,0.515,17.476,17.5,0.645,0.677,1.0,0.991,20.6,103.0,85.83,103.0,0.722,W,1,2024-25
22401057,1610612743,Denver,Nuggets,DEN,nuggets,240:00,635.0,127.0,590.9,118.2,44.1,8.8,0.735,3.6,24.2,0.289,0.826,0.56,10.0,10.0,0.633,0.637,1.0,0.965,19.9,99.5,82.92,100.0,0.547,W,1,2024-25
22401042,1610612743,Denver,Nuggets,DEN,nuggets,240:00,589.1,117.8,638.6,127.7,-49.5,-9.9,0.739,2.83,21.9,0.389,0.714,0.544,11.881,11.9,0.531,0.553,1.0,1.0,20.2,101.0,84.17,101.0,0.477,L,0,2024-25
22401035,1610612743,Denver,Nuggets,DEN,nuggets,240:00,623.7,124.7,603.3,120.7,20.4,4.1,0.636,3.11,20.3,0.375,0.679,0.538,9.677,9.7,0.563,0.589,1.0,0.982,18.5,92.5,77.08,93.0,0.534,W,1,2024-25
22401022,1610612743,Denver,Nuggets,DEN,nuggets,240:00,567.7,113.5,666.7,133.3,-99.0,-19.8,0.632,1.14,17.6,0.4,0.558,0.482,21.875,21.9,0.559,0.617,1.0,0.973,19.2,96.0,80.0,96.0,0.398,L,0,2024-25
22401006,1610612743,Denver,Nuggets,DEN,nuggets,240:00,529.4,105.9,588.2,117.6,-58.8,-11.8,0.61,1.32,17.6,0.313,0.778,0.538,18.627,18.6,0.546,0.561,1.0,0.974,20.4,102.0,85.0,102.0,0.448,L,0,2024-25
22400990,1610612743,Denver,Nuggets,DEN,nuggets,240:00,548.1,109.6,509.7,101.9,38.4,7.7,0.744,1.45,20.3,0.44,0.731,0.588,21.154,21.2,0.543,0.57,1.0,0.96,20.7,103.5,86.25,104.0,0.551,W,1,2024-25
22400975,1610612743,Denver,Nuggets,DEN,nuggets,240:00,580.2,116.0,605.8,121.2,-25.6,-5.1,0.833,2.22,24.7,0.327,0.68,0.505,16.981,17.0,0.568,0.6,1.0,0.959,21.0,105.0,87.5,106.0,0.507,L,0,2024-25
22400965,1610612743,Denver,Nuggets,DEN,nuggets,240:00,635.9,127.2,623.8,124.8,12.2,2.4,0.682,2.5,20.3,0.326,0.632,0.495,11.65,11.7,0.594,0.644,1.0,0.966,20.4,102.0,85.0,103.0,0.532,W,1,2024-25
22400952,1610612743,Denver,Nuggets,DEN,nuggets,240:00,494.8,99.0,605.3,121.1,-110.5,-22.1,0.556,2.0,15.3,0.273,0.625,0.437,10.417,10.4,0.444,0.481,1.0,0.973,19.1,95.5,79.58,96.0,0.4,L,0,2024-25
22400936,1610612743,Denver,Nuggets,DEN,nuggets,240:00,707.1,141.4,641.4,128.3,65.7,13.1,0.615,2.67,22.9,0.294,0.648,0.511,12.121,12.1,0.709,0.738,1.0,0.991,19.8,99.0,82.5,99.0,0.568,W,1,2024-25
22400920,1610612743,Denver,Nuggets,DEN,nuggets,240:00,520.2,104.0,641.4,128.3,-121.2,-24.2,0.55,2.75,16.1,0.27,0.76,0.487,8.081,8.1,0.474,0.487,1.0,0.983,19.8,99.0,82.5,99.0,0.365,L,0,2024-25
22400909,1610612743,Denver,Nuggets,DEN,nuggets,265:00,683.5,136.7,646.8,129.4,36.7,7.3,0.789,5.0,27.6,0.209,0.786,0.494,8.257,8.3,0.696,0.71,1.0,0.966,19.74,98.72,82.26,109.0,0.533,W,1,2024-25
22400896,1610612743,Denver,Nuggets,DEN,nuggets,240:00,580.0,116.0,561.2,112.2,18.8,3.8,0.7,2.15,19.6,0.327,0.698,0.52,13.0,13.0,0.529,0.579,1.0,0.974,19.8,99.0,82.5,100.0,0.547,W,1,2024-25
22400866,1610612743,Denver,Nuggets,DEN,nuggets,240:00,542.1,108.4,591.4,118.3,-49.3,-9.9,0.659,2.25,20.3,0.25,0.75,0.489,12.632,12.6,0.547,0.561,1.0,0.962,18.8,94.0,78.33,95.0,0.475,L,0,2024-25
22400850,1610612743,Denver,Nuggets,DEN,nuggets,240:00,644.2,128.8,572.1,114.4,72.1,14.4,0.596,1.4,19.2,0.333,0.719,0.556,19.231,19.2,0.661,0.686,1.0,0.975,20.8,104.0,86.67,104.0,0.548,W,1,2024-25
