gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500242,1610612765,Detroit,Pistons,DET,pistons,240:00,616.5,123.3,543.7,108.7,72.8,14.6,0.604,1.71,19.3,0.4,0.564,0.49,16.505,16.5,0.597,0.627,1.0,0.967,20.6,103.0,85.83,103.0,0.627,W,1,2025-26
22500041,1610612765,Detroit,Pistons,DET,pistons,240:00,575.8,115.2,525.0,105.0,50.8,10.2,0.78,2.29,21.9,0.283,0.686,0.481,14.141,14.1,0.538,0.57,1.0,0.982,19.9,99.5,82.92,99.0,0.566,W,1,2025-26
22500214,1610612765,Detroit,Pistons,DET,pistons,240:00,590.5,118.1,533.0,106.6,57.5,11.5,0.6,1.58,20.5,0.256,0.647,0.468,18.095,18.1,0.628,0.639,1.0,0.983,21.1,105.5,87.92,105.0,0.561,W,1,2025-26
22500199,1610612765,Detroit,Pistons,DET,pistons,265:00,595.7,119.1,581.9,116.4,13.8,2.8,0.574,1.69,15.3,0.472,0.755,0.587,13.913,13.9,0.469,0.524,1.0,0.973,20.92,104.6,87.17,115.0,0.515,W,1,2025-26
22500195,1610612765,Detroit,Pistons,DET,pistons,240:00,555.0,111.0,545.5,109.1,9.5,1.9,0.59,1.44,17.0,0.255,0.627,0.449,16.0,16.0,0.555,0.588,1.0,0.964,19.9,99.5,82.92,100.0,0.522,W,1,2025-26
22500031,1610612765,Detroit,Pistons,DET,pistons,240:00,625.0,125.0,540.4,108.1,84.6,16.9,0.653,2.46,21.9,0.39,0.755,0.589,13.0,13.0,0.612,0.636,1.0,0.974,19.9,99.5,82.92,100.0,0.657,W,1,2025-26
22500172,1610612765,Detroit,Pistons,DET,pistons,240:00,570.0,114.0,509.9,102.0,60.1,12.0,0.533,1.85,17.1,0.308,0.702,0.514,13.0,13.0,0.555,0.566,1.0,0.983,20.1,100.5,83.75,100.0,0.543,W,1,2025-26
22500161,1610612765,Detroit,Pistons,DET,pistons,240:00,575.8,115.2,540.8,108.2,34.9,7.0,0.548,1.64,17.0,0.326,0.611,0.48,14.141,14.1,0.566,0.595,1.0,0.964,19.7,98.5,82.08,99.0,0.555,W,1,2025-26
22500147,1610612765,Detroit,Pistons,DET,pistons,240:00,604.0,120.8,539.2,107.8,64.7,12.9,0.644,3.63,20.0,0.278,0.755,0.505,7.921,7.9,0.544,0.576,1.0,0.966,20.3,101.5,84.58,101.0,0.574,W,1,2025-26
22500129,1610612765,Detroit,Pistons,DET,pistons,240:00,681.8,136.4,574.3,114.9,107.6,21.5,0.63,2.07,19.5,0.429,0.614,0.528,14.141,14.1,0.565,0.625,1.0,0.992,20.0,100.0,83.33,99.0,0.61,W,1,2025-26
22500007,1610612765,Detroit,Pistons,DET,pistons,240:00,448.1,89.6,557.7,111.5,-109.6,-21.9,0.606,0.77,13.3,0.393,0.66,0.514,24.528,24.5,0.443,0.48,1.0,0.954,21.0,105.0,87.5,106.0,0.345,L,0,2025-26
22500106,1610612765,Detroit,Pistons,DET,pistons,240:00,601.0,120.2,570.7,114.1,30.3,6.1,0.564,1.38,14.9,0.474,0.667,0.57,16.162,16.2,0.468,0.547,1.0,0.984,19.8,99.0,82.5,99.0,0.554,W,1,2025-26
22500093,1610612765,Detroit,Pistons,DET,pistons,240:00,575.0,115.0,555.0,111.0,20.0,4.0,0.619,1.44,17.8,0.392,0.649,0.528,18.0,18.0,0.556,0.574,1.0,0.975,20.0,100.0,83.33,100.0,0.532,W,1,2025-26
22500084,1610612765,Detroit,Pistons,DET,pistons,240:00,528.6,105.7,542.5,108.5,-13.9,-2.8,0.674,2.9,19.3,0.276,0.706,0.477,9.524,9.5,0.479,0.512,1.0,0.983,21.1,105.5,87.92,105.0,0.47,L,0,2025-26
