gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401192,1610612765,Detroit,Pistons,DET,pistons,265:00,610.1,122.0,642.2,128.4,-32.1,-6.4,0.686,2.69,21.5,0.322,0.816,0.515,11.927,11.9,0.579,0.588,1.0,0.977,19.74,98.72,82.26,109.0,0.473,L,0,2024-25
22401171,1610612765,Detroit,Pistons,DET,pistons,240:00,595.0,119.0,625.0,125.0,-30.0,-6.0,0.652,2.73,20.8,0.269,0.698,0.486,11.0,11.0,0.591,0.59,1.0,0.974,20.0,100.0,83.33,100.0,0.458,L,0,2024-25
22401167,1610612765,Detroit,Pistons,DET,pistons,240:00,611.7,122.3,557.9,111.6,53.8,10.8,0.426,1.33,15.9,0.324,0.6,0.483,15.957,16.0,0.622,0.639,1.0,0.991,18.9,94.5,78.75,94.0,0.505,W,1,2024-25
22401144,1610612765,Detroit,Pistons,DET,pistons,240:00,615.8,123.2,675.5,135.1,-59.7,-11.9,0.714,3.33,21.1,0.327,0.553,0.434,9.474,9.5,0.545,0.577,1.0,0.973,18.9,94.5,78.75,95.0,0.471,L,0,2024-25
22401129,1610612765,Detroit,Pistons,DET,pistons,240:00,495.2,99.0,524.0,104.8,-28.8,-5.8,0.649,3.43,17.1,0.2,0.655,0.424,6.731,6.7,0.443,0.485,1.0,0.974,20.8,104.0,86.67,104.0,0.486,L,0,2024-25
22401121,1610612765,Detroit,Pistons,DET,pistons,240:00,573.5,114.7,514.7,102.9,58.8,11.8,0.659,1.93,18.8,0.294,0.709,0.509,13.725,13.7,0.528,0.58,1.0,0.983,20.4,102.0,85.0,102.0,0.584,W,1,2024-25
22401108,1610612765,Detroit,Pistons,DET,pistons,240:00,500.0,100.0,577.7,115.5,-77.7,-15.5,0.556,1.05,14.2,0.333,0.655,0.495,18.447,18.4,0.461,0.515,1.0,0.975,20.6,103.0,85.83,103.0,0.378,L,0,2024-25
22401084,1610612765,Detroit,Pistons,DET,pistons,240:00,541.7,108.3,634.0,126.8,-92.4,-18.5,0.647,3.14,15.9,0.308,0.604,0.441,7.292,7.3,0.421,0.477,1.0,0.991,19.3,96.5,80.42,96.0,0.366,L,0,2024-25
22401067,1610612765,Detroit,Pistons,DET,pistons,240:00,658.4,131.7,592.2,118.4,66.2,13.2,0.568,1.92,17.2,0.365,0.633,0.495,12.871,12.9,0.56,0.619,1.0,1.0,20.4,102.0,85.0,101.0,0.552,W,1,2024-25
22401046,1610612765,Detroit,Pistons,DET,pistons,240:00,655.9,131.2,516.1,103.2,139.8,28.0,0.75,3.0,24.6,0.216,0.65,0.485,11.828,11.8,0.66,0.685,1.0,0.97,18.6,93.0,77.5,93.0,0.671,W,1,2024-25
