gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500237,1610612744,Golden State,Warriors,GSW,warriors,240:00,601.9,120.4,509.6,101.9,92.3,18.5,0.791,1.62,21.7,0.392,0.68,0.535,20.388,20.4,0.585,0.611,1.0,0.992,20.7,103.5,86.25,103.0,0.562,W,1,2025-26
22500047,1610612744,Golden State,Warriors,GSW,warriors,240:00,561.9,112.4,551.0,110.2,10.8,2.2,0.474,1.2,13.5,0.327,0.574,0.441,15.464,15.5,0.517,0.557,1.0,0.974,19.5,97.5,81.25,97.0,0.453,W,1,2025-26
22500220,1610612744,Golden State,Warriors,GSW,warriors,240:00,584.1,116.8,566.0,113.2,18.1,3.6,0.833,1.88,20.0,0.269,0.68,0.471,14.953,15.0,0.547,0.62,1.0,0.975,21.3,106.5,88.75,107.0,0.53,W,1,2025-26
22500210,1610612744,Golden State,Warriors,GSW,warriors,240:00,500.0,100.0,623.8,124.8,-123.8,-24.8,0.697,1.1,17.3,0.227,0.667,0.442,20.588,20.6,0.534,0.588,1.0,0.964,20.3,101.5,84.58,102.0,0.394,L,0,2025-26
22500196,1610612744,Golden State,Warriors,GSW,warriors,240:00,564.4,112.9,415.0,83.0,149.4,29.9,0.579,2.2,15.8,0.281,0.672,0.488,9.901,9.9,0.5,0.547,1.0,0.974,20.1,100.5,83.75,101.0,0.691,W,1,2025-26
22500037,1610612744,Golden State,Warriors,GSW,warriors,240:00,541.7,108.3,671.9,134.4,-130.2,-26.0,0.7,2.33,19.6,0.339,0.75,0.51,12.5,12.5,0.484,0.512,1.0,0.974,19.2,96.0,80.0,96.0,0.375,L,0,2025-26
22500181,1610612744,Golden State,Warriors,GSW,warriors,240:00,547.2,109.4,565.4,113.1,-18.3,-3.7,0.7,1.47,19.0,0.25,0.761,0.49,17.925,17.9,0.545,0.585,1.0,0.983,21.3,106.5,88.75,106.0,0.451,L,0,2025-26
22500169,1610612744,Golden State,Warriors,GSW,warriors,240:00,602.0,120.4,535.0,107.0,67.0,13.4,0.805,2.06,23.6,0.209,0.615,0.432,16.327,16.3,0.608,0.643,1.0,0.991,19.8,99.0,82.5,98.0,0.55,W,1,2025-26
22500144,1610612744,Golden State,Warriors,GSW,warriors,240:00,539.6,107.9,558.8,111.8,-19.2,-3.8,0.641,1.56,17.9,0.264,0.692,0.476,15.842,15.8,0.5,0.547,1.0,0.991,20.3,101.5,84.58,101.0,0.444,L,0,2025-26
22500139,1610612744,Golden State,Warriors,GSW,warriors,240:00,528.8,105.8,576.9,115.4,-48.1,-9.6,0.639,1.05,15.9,0.36,0.692,0.529,21.154,21.2,0.5,0.57,1.0,0.951,20.8,104.0,86.67,104.0,0.508,L,0,2025-26
22500127,1610612744,Golden State,Warriors,GSW,warriors,240:00,544.4,108.9,443.8,88.8,100.6,20.1,0.615,1.85,18.9,0.271,0.692,0.49,14.444,14.4,0.552,0.558,1.0,0.971,17.9,89.5,74.58,90.0,0.608,W,1,2025-26
22500121,1610612744,Golden State,Warriors,GSW,warriors,240:00,629.8,126.0,556.6,111.3,73.2,14.6,0.818,2.25,24.2,0.214,0.735,0.495,15.385,15.4,0.645,0.681,1.0,0.991,21.0,105.0,87.5,104.0,0.531,W,1,2025-26
22500097,1610612744,Golden State,Warriors,GSW,warriors,240:00,536.0,107.2,631.8,126.4,-95.8,-19.2,0.686,0.96,16.1,0.34,0.705,0.516,22.523,22.5,0.538,0.612,1.0,0.984,22.1,110.5,92.08,111.0,0.427,L,0,2025-26
22500006,1610612744,Golden State,Warriors,GSW,warriors,265:00,640.2,128.0,617.9,123.6,22.3,4.5,0.66,3.67,21.2,0.291,0.778,0.51,8.411,8.4,0.596,0.623,1.0,0.959,19.29,96.45,80.38,107.0,0.515,W,1,2025-26
22500002,1610612744,Golden State,Warriors,GSW,warriors,240:00,595.0,119.0,534.3,106.9,60.7,12.1,0.763,1.53,21.0,0.209,0.744,0.477,19.0,19.0,0.596,0.656,1.0,0.991,20.2,101.0,84.17,100.0,0.546,W,1,2025-26
