gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401198,1610612744,Golden State,Warriors,GSW,warriors,265:00,595.0,119.0,626.3,125.3,-31.3,-6.3,0.721,1.94,22.5,0.175,0.667,0.418,16.0,16.0,0.639,0.668,1.0,0.963,18.02,90.11,75.09,100.0,0.473,L,0,2024-25
22401183,1610612744,Golden State,Warriors,GSW,warriors,240:00,504.9,101.0,421.6,84.3,83.3,16.7,0.788,1.73,18.8,0.212,0.696,0.463,14.706,14.7,0.482,0.54,1.0,0.982,20.4,102.0,85.0,102.0,0.613,W,1,2024-25
22401163,1610612744,Golden State,Warriors,GSW,warriors,240:00,584.2,116.8,612.9,122.6,-28.7,-5.7,0.806,2.42,20.1,0.37,0.721,0.526,12.632,12.6,0.512,0.564,1.0,0.948,18.8,94.0,78.33,95.0,0.499,L,0,2024-25
22401154,1610612744,Golden State,Warriors,GSW,warriors,240:00,645.6,129.1,470.3,94.1,175.3,35.1,0.689,2.07,19.6,0.462,0.759,0.613,14.563,14.6,0.565,0.616,1.0,0.969,20.4,102.0,85.0,103.0,0.671,W,1,2024-25
22401143,1610612744,Golden State,Warriors,GSW,warriors,240:00,489.8,98.0,540.8,108.2,-51.0,-10.2,0.757,1.4,19.3,0.352,0.66,0.505,20.408,20.4,0.506,0.512,1.0,0.974,19.6,98.0,81.67,98.0,0.462,L,0,2024-25
22401125,1610612744,Golden State,Warriors,GSW,warriors,240:00,602.0,120.4,536.1,107.2,66.0,13.2,0.581,1.79,18.1,0.319,0.743,0.5,14.286,14.3,0.58,0.615,1.0,0.965,19.5,97.5,81.25,98.0,0.536,W,1,2024-25
22401117,1610612744,Golden State,Warriors,GSW,warriors,240:00,668.5,133.7,630.4,126.1,38.0,7.6,0.769,2.31,21.6,0.378,0.673,0.532,14.13,14.1,0.591,0.643,1.0,0.991,18.4,92.0,76.67,92.0,0.551,W,1,2024-25
22401100,1610612744,Golden State,Warriors,GSW,warriors,240:00,632.1,126.4,584.1,116.8,48.0,9.6,0.69,2.64,18.8,0.351,0.74,0.533,10.377,10.4,0.535,0.602,1.0,0.992,21.3,106.5,88.75,106.0,0.545,W,1,2024-25
22401086,1610612744,Golden State,Warriors,GSW,warriors,240:00,704.8,141.0,504.8,101.0,200.0,40.0,0.75,3.23,26.3,0.318,0.83,0.582,12.381,12.4,0.686,0.702,1.0,0.992,21.0,105.0,87.5,105.0,0.683,W,1,2024-25
22401072,1610612744,Golden State,Warriors,GSW,warriors,240:00,584.2,116.8,500.0,100.0,84.2,16.8,0.763,2.64,19.7,0.39,0.667,0.518,11.579,11.6,0.484,0.53,1.0,0.975,19.0,95.0,79.17,95.0,0.57,W,1,2024-25
22401047,1610612744,Golden State,Warriors,GSW,warriors,240:00,472.5,94.5,622.2,124.4,-149.7,-29.9,0.606,1.25,15.6,0.315,0.694,0.467,17.582,17.6,0.452,0.478,1.0,0.935,18.1,90.5,75.42,91.0,0.342,L,0,2024-25
22401025,1610612744,Golden State,Warriors,GSW,warriors,240:00,569.3,113.9,620.0,124.0,-50.7,-10.1,0.718,2.8,20.4,0.17,0.762,0.449,9.901,9.9,0.56,0.602,1.0,0.963,20.1,100.5,83.75,101.0,0.472,L,0,2024-25
22401005,1610612744,Golden State,Warriors,GSW,warriors,240:00,557.1,111.4,553.4,110.7,3.7,0.7,0.789,2.0,19.9,0.286,0.794,0.478,14.286,14.3,0.528,0.572,1.0,0.959,20.8,104.0,86.67,105.0,0.492,W,1,2024-25
22401012,1610612744,Golden State,Warriors,GSW,warriors,240:00,541.7,108.3,484.4,96.9,57.3,11.5,0.781,1.32,18.7,0.283,0.9,0.604,19.792,19.8,0.526,0.588,1.0,0.972,19.2,96.0,80.0,96.0,0.563,W,1,2024-25
