gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500236,1610612745,Houston,Rockets,HOU,rockets,265:00,557.1,111.4,533.0,106.6,24.1,4.8,0.452,1.27,13.0,0.367,0.776,0.568,14.286,14.3,0.46,0.519,1.0,0.992,19.11,95.55,79.62,105.0,0.504,W,1,2025-26
22500042,1610612745,Houston,Rockets,HOU,rockets,240:00,693.1,138.6,580.0,116.0,113.1,22.6,0.491,4.33,17.4,0.4,0.623,0.509,5.941,5.9,0.58,0.61,1.0,0.976,20.1,100.5,83.75,101.0,0.631,W,1,2025-26
22500218,1610612745,Houston,Rockets,HOU,rockets,240:00,681.8,136.4,560.0,112.0,121.8,24.4,0.627,2.67,21.2,0.408,0.736,0.578,12.121,12.1,0.62,0.636,1.0,0.975,19.9,99.5,82.92,99.0,0.618,W,1,2025-26
22500191,1610612745,Houston,Rockets,HOU,rockets,240:00,635.4,127.1,592.8,118.6,42.6,8.5,0.5,1.33,16.9,0.512,0.786,0.647,18.75,18.8,0.589,0.615,1.0,0.983,19.3,96.5,80.42,96.0,0.528,W,1,2025-26
22500032,1610612745,Houston,Rockets,HOU,rockets,240:00,555.6,111.1,599.0,119.8,-43.5,-8.7,0.641,1.04,17.5,0.417,0.583,0.5,24.242,24.2,0.535,0.584,1.0,0.983,20.0,100.0,83.33,99.0,0.434,L,0,2025-26
22500176,1610612745,Houston,Rockets,HOU,rockets,240:00,590.5,118.1,519.0,103.8,71.4,14.3,0.604,2.23,19.1,0.351,0.712,0.534,12.381,12.4,0.54,0.569,1.0,0.992,21.0,105.0,87.5,105.0,0.563,W,1,2025-26
22500160,1610612745,Houston,Rockets,HOU,rockets,240:00,534.0,106.8,500.0,100.0,34.0,6.8,0.561,1.35,15.9,0.375,0.755,0.56,16.505,16.5,0.506,0.538,1.0,0.975,20.5,102.5,85.42,103.0,0.538,W,1,2025-26
22500146,1610612745,Houston,Rockets,HOU,rockets,240:00,659.8,132.0,515.3,103.1,144.5,28.9,0.714,1.5,21.3,0.385,0.672,0.563,20.619,20.6,0.669,0.693,1.0,0.982,19.5,97.5,81.25,97.0,0.676,W,1,2025-26
22500131,1610612745,Houston,Rockets,HOU,rockets,240:00,688.1,137.6,599.0,119.8,89.1,17.8,0.62,1.82,20.5,0.5,0.864,0.695,16.832,16.8,0.649,0.682,1.0,0.975,20.2,101.0,84.17,101.0,0.614,W,1,2025-26
22500116,1610612745,Houston,Rockets,HOU,rockets,240:00,744.6,148.9,586.0,117.2,158.5,31.7,0.673,3.3,23.6,0.395,0.608,0.517,10.87,10.9,0.671,0.71,1.0,0.981,18.5,92.5,77.08,92.0,0.661,W,1,2025-26
22500093,1610612745,Houston,Rockets,HOU,rockets,240:00,555.0,111.0,575.0,115.0,-20.0,-4.0,0.469,1.07,11.1,0.351,0.608,0.472,14.0,14.0,0.446,0.533,1.0,0.975,20.0,100.0,83.33,100.0,0.468,L,0,2025-26
22500001,1610612745,Houston,Rockets,HOU,rockets,290:00,539.1,107.8,563.1,112.6,-23.9,-4.8,0.535,0.92,13.9,0.482,0.717,0.603,21.739,21.7,0.5,0.56,1.0,0.93,18.7,93.52,77.93,115.0,0.479,L,0,2025-26
