gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401193,1610612745,Houston,Rockets,HOU,rockets,240:00,566.3,113.3,636.4,127.3,-70.0,-14.0,0.711,3.2,21.5,0.328,0.682,0.48,10.204,10.2,0.51,0.523,1.0,0.991,19.7,98.5,82.08,98.0,0.407,L,0,2024-25
22401185,1610612745,Houston,Rockets,HOU,rockets,240:00,519.0,103.8,666.7,133.3,-147.6,-29.5,0.537,1.16,15.9,0.224,0.811,0.477,18.095,18.1,0.556,0.572,1.0,0.974,21.0,105.0,87.5,105.0,0.371,L,0,2024-25
22401166,1610612745,Houston,Rockets,HOU,rockets,240:00,590.9,118.2,676.8,135.4,-85.9,-17.2,0.533,1.71,18.0,0.227,0.69,0.453,14.141,14.1,0.625,0.633,1.0,0.972,19.8,99.0,82.5,99.0,0.418,L,0,2024-25
22401143,1610612745,Houston,Rockets,HOU,rockets,240:00,540.8,108.2,489.8,98.0,51.0,10.2,0.578,1.63,18.3,0.34,0.648,0.495,16.327,16.3,0.538,0.53,1.0,0.974,19.6,98.0,81.67,98.0,0.538,W,1,2024-25
22401123,1610612745,Houston,Rockets,HOU,rockets,240:00,612.7,122.5,544.1,108.8,68.6,13.7,0.533,1.6,16.6,0.404,0.771,0.589,14.706,14.7,0.56,0.604,1.0,0.967,20.4,102.0,85.0,102.0,0.571,W,1,2024-25
22401107,1610612745,Houston,Rockets,HOU,rockets,240:00,694.2,138.8,514.7,102.9,179.5,35.9,0.536,3.0,19.4,0.442,0.793,0.627,9.709,9.7,0.63,0.636,1.0,0.984,20.5,102.5,85.42,103.0,0.632,W,1,2024-25
22401096,1610612745,Houston,Rockets,HOU,rockets,240:00,494.9,99.0,530.6,106.1,-35.7,-7.1,0.703,1.73,18.4,0.302,0.796,0.551,15.152,15.2,0.472,0.508,1.0,0.974,19.7,98.5,82.08,99.0,0.477,L,0,2024-25
22401088,1610612745,Houston,Rockets,HOU,rockets,240:00,718.4,143.7,519.0,103.8,199.4,39.9,0.661,3.7,23.7,0.348,0.739,0.543,9.709,9.7,0.663,0.679,1.0,0.992,20.8,104.0,86.67,103.0,0.644,W,1,2024-25
22401065,1610612745,Houston,Rockets,HOU,rockets,240:00,617.3,123.5,567.0,113.4,50.3,10.1,0.553,2.89,17.6,0.414,0.846,0.588,9.184,9.2,0.52,0.548,1.0,0.975,19.5,97.5,81.25,98.0,0.533,W,1,2024-25
22401049,1610612745,Houston,Rockets,HOU,rockets,240:00,587.4,117.5,564.4,112.9,23.0,4.6,0.405,1.06,12.2,0.396,0.639,0.526,15.534,15.5,0.511,0.572,1.0,0.967,20.4,102.0,85.0,103.0,0.56,W,1,2024-25
22401035,1610612745,Houston,Rockets,HOU,rockets,240:00,603.3,120.7,623.7,124.7,-20.4,-4.1,0.641,4.17,18.7,0.321,0.625,0.462,6.522,6.5,0.5,0.534,1.0,1.0,18.5,92.5,77.08,92.0,0.466,L,0,2024-25
22401015,1610612745,Houston,Rockets,HOU,rockets,240:00,531.3,106.3,515.8,103.2,15.5,3.1,0.359,0.82,10.9,0.36,0.838,0.563,17.708,17.7,0.548,0.547,1.0,0.956,19.1,95.5,79.58,96.0,0.487,W,1,2024-25
22400999,1610612745,Houston,Rockets,HOU,rockets,240:00,604.2,120.8,556.7,111.3,47.5,9.5,0.474,1.13,13.8,0.364,0.679,0.536,16.667,16.7,0.537,0.61,1.0,0.991,19.3,96.5,80.42,96.0,0.548,W,1,2024-25
22400985,1610612745,Houston,Rockets,HOU,rockets,265:00,654.5,130.9,634.3,126.9,20.3,4.1,0.686,2.33,20.5,0.448,0.74,0.583,13.636,13.6,0.579,0.612,1.0,0.971,19.74,98.72,82.26,110.0,0.554,W,1,2024-25
22400970,1610612745,Houston,Rockets,HOU,rockets,240:00,568.0,113.6,558.8,111.8,9.1,1.8,0.545,1.71,16.0,0.407,0.804,0.591,13.592,13.6,0.52,0.535,1.0,0.968,20.5,102.5,85.42,103.0,0.508,W,1,2024-25
22400961,1610612745,Houston,Rockets,HOU,rockets,240:00,652.0,130.4,466.0,93.2,185.9,37.2,0.5,2.45,18.2,0.373,0.895,0.648,10.784,10.8,0.586,0.603,1.0,0.983,20.5,102.5,85.42,102.0,0.675,W,1,2024-25
22400949,1610612745,Houston,Rockets,HOU,rockets,240:00,584.2,116.8,553.2,110.6,31.0,6.2,0.625,2.78,18.7,0.314,0.829,0.523,9.474,9.5,0.523,0.561,1.0,0.991,18.9,94.5,78.75,95.0,0.501,W,1,2024-25
22400934,1610612745,Houston,Rockets,HOU,rockets,240:00,521.5,104.3,461.5,92.3,60.0,12.0,0.571,1.0,14.3,0.483,0.754,0.622,21.505,21.5,0.483,0.5,1.0,0.967,18.4,92.0,76.67,93.0,0.575,W,1,2024-25
22400913,1610612745,Houston,Rockets,HOU,rockets,240:00,722.8,144.6,573.5,114.7,149.2,29.8,0.582,2.91,20.9,0.435,0.618,0.535,10.891,10.9,0.641,0.674,1.0,0.983,20.3,101.5,84.58,101.0,0.616,W,1,2024-25
22400902,1610612745,Houston,Rockets,HOU,rockets,240:00,556.1,111.2,500.0,100.0,56.1,11.2,0.717,1.74,23.1,0.286,0.667,0.5,19.388,19.4,0.623,0.613,1.0,0.973,19.5,97.5,81.25,98.0,0.607,W,1,2024-25
22400882,1610612745,Houston,Rockets,HOU,rockets,240:00,525.8,105.2,599.0,119.8,-73.2,-14.6,0.55,1.57,14.7,0.484,0.81,0.613,14.433,14.4,0.454,0.466,1.0,0.977,19.3,96.5,80.42,97.0,0.392,L,0,2024-25
22400879,1610612745,Houston,Rockets,HOU,rockets,240:00,592.6,118.5,622.7,124.5,-30.1,-6.0,0.408,1.25,13.8,0.315,0.68,0.49,14.815,14.8,0.564,0.59,1.0,1.0,21.8,109.0,90.83,108.0,0.436,L,0,2024-25
22400862,1610612745,Houston,Rockets,HOU,rockets,240:00,530.9,106.2,594.7,118.9,-63.8,-12.8,0.486,1.13,13.7,0.302,0.682,0.474,16.495,16.5,0.506,0.536,1.0,0.965,19.2,96.0,80.0,97.0,0.413,L,0,2024-25
22400844,1610612745,Houston,Rockets,HOU,rockets,240:00,578.4,115.7,514.6,102.9,63.9,12.8,0.458,1.38,15.0,0.436,0.721,0.586,15.686,15.7,0.525,0.545,1.0,0.984,20.5,102.5,85.42,102.0,0.534,W,1,2024-25
22400831,1610612745,Houston,Rockets,HOU,rockets,240:00,505.1,101.0,489.9,98.0,15.2,3.0,0.486,1.06,13.2,0.339,0.774,0.55,17.172,17.2,0.473,0.505,1.0,0.966,19.8,99.0,82.5,99.0,0.506,W,1,2024-25
22400809,1610612745,Houston,Rockets,HOU,rockets,240:00,563.7,112.7,613.9,122.8,-50.1,-10.0,0.75,4.71,22.3,0.254,0.679,0.461,6.863,6.9,0.525,0.533,1.0,0.991,20.3,101.5,84.58,102.0,0.46,L,0,2024-25
22400801,1610612745,Houston,Rockets,HOU,rockets,240:00,587.4,117.5,552.9,110.6,34.5,6.9,0.429,0.9,13.2,0.326,0.792,0.576,19.417,19.4,0.577,0.617,1.0,0.992,20.7,103.5,86.25,103.0,0.5,W,1,2024-25
22400784,1610612745,Houston,Rockets,HOU,rockets,240:00,490.0,98.0,519.8,104.0,-29.8,-6.0,0.632,1.2,16.6,0.379,0.745,0.558,20.0,20.0,0.473,0.486,1.0,1.0,20.1,100.5,83.75,100.0,0.426,L,0,2024-25
22400779,1610612745,Houston,Rockets,HOU,rockets,240:00,589.1,117.8,560.6,112.1,28.5,5.7,0.696,2.91,21.1,0.368,0.705,0.515,10.891,10.9,0.541,0.553,1.0,0.983,20.0,100.0,83.33,101.0,0.531,W,1,2024-25
22400753,1610612745,Houston,Rockets,HOU,rockets,240:00,479.6,95.9,443.9,88.8,35.7,7.1,0.548,1.13,13.1,0.276,0.817,0.551,15.306,15.3,0.419,0.478,1.0,0.991,19.6,98.0,81.67,98.0,0.541,W,1,2024-25
22400741,1610612745,Houston,Rockets,HOU,rockets,240:00,564.5,112.9,623.7,124.7,-59.1,-11.8,0.525,2.33,14.8,0.452,0.696,0.556,9.677,9.7,0.44,0.479,1.0,0.975,18.6,93.0,77.5,93.0,0.395,L,0,2024-25
22400729,1610612745,Houston,Rockets,HOU,rockets,240:00,593.8,118.8,654.6,130.9,-60.9,-12.2,0.634,2.17,19.1,0.304,0.549,0.433,12.5,12.5,0.56,0.592,1.0,0.973,19.3,96.5,80.42,96.0,0.494,L,0,2024-25
22400711,1610612745,Houston,Rockets,HOU,rockets,240:00,538.9,107.8,544.0,108.8,-5.1,-1.0,0.676,1.28,16.9,0.434,0.681,0.55,20.0,20.0,0.476,0.511,1.0,0.973,18.1,90.5,75.42,90.0,0.454,L,0,2024-25
22400702,1610612745,Houston,Rockets,HOU,rockets,240:00,572.8,114.6,601.9,120.4,-29.1,-5.8,0.563,1.59,17.3,0.456,0.64,0.542,16.505,16.5,0.5,0.533,1.0,0.969,20.6,103.0,85.83,103.0,0.46,L,0,2024-25
22400689,1610612745,Houston,Rockets,HOU,rockets,240:00,532.6,106.5,591.4,118.3,-58.8,-11.8,0.474,1.64,13.7,0.35,0.66,0.491,11.957,12.0,0.463,0.482,1.0,0.991,18.5,92.5,77.08,92.0,0.398,L,0,2024-25
22400676,1610612745,Houston,Rockets,HOU,rockets,240:00,607.1,121.4,612.2,122.4,-5.1,-1.0,0.524,1.83,15.2,0.439,0.617,0.519,12.245,12.2,0.5,0.544,1.0,0.976,19.6,98.0,81.67,98.0,0.48,L,0,2024-25
