gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500242,1610612754,Indiana,Pacers,IND,pacers,240:00,543.7,108.7,616.5,123.3,-72.8,-14.6,0.543,0.9,13.0,0.436,0.6,0.51,20.388,20.4,0.47,0.539,1.0,0.976,20.6,103.0,85.83,103.0,0.373,L,0,2025-26
22500230,1610612754,Indiana,Pacers,IND,pacers,240:00,513.9,102.8,602.8,120.6,-88.9,-17.8,0.595,1.38,15.7,0.212,0.714,0.455,14.815,14.8,0.511,0.561,1.0,0.966,21.5,107.5,89.58,108.0,0.389,L,0,2025-26
22500226,1610612754,Indiana,Pacers,IND,pacers,240:00,500.0,100.0,678.6,135.7,-178.6,-35.7,0.625,1.67,14.4,0.344,0.718,0.49,12.245,12.2,0.403,0.486,1.0,0.95,19.6,98.0,81.67,98.0,0.344,L,0,2025-26
22500211,1610612754,Indiana,Pacers,IND,pacers,240:00,627.5,125.5,737.9,147.6,-110.4,-22.1,0.63,3.63,19.3,0.364,0.535,0.439,7.843,7.8,0.515,0.573,1.0,0.992,20.5,102.5,85.42,102.0,0.415,L,0,2025-26
22500196,1610612754,Indiana,Pacers,IND,pacers,240:00,415.0,83.0,564.4,112.9,-149.4,-29.9,0.656,0.95,14.8,0.328,0.719,0.512,22.0,22.0,0.399,0.42,1.0,0.975,20.1,100.5,83.75,100.0,0.309,L,0,2025-26
22500189,1610612754,Indiana,Pacers,IND,pacers,240:00,476.2,95.2,573.5,114.7,-97.3,-19.5,0.606,1.82,13.8,0.313,0.653,0.46,10.476,10.5,0.398,0.463,1.0,0.944,20.7,103.5,86.25,105.0,0.372,L,0,2025-26
22500173,1610612754,Indiana,Pacers,IND,pacers,240:00,509.9,102.0,560.0,112.0,-50.1,-10.0,0.707,1.61,18.8,0.393,0.745,0.56,17.822,17.8,0.48,0.492,1.0,0.96,20.1,100.5,83.75,101.0,0.459,L,0,2025-26
22500157,1610612754,Indiana,Pacers,IND,pacers,240:00,552.9,110.6,568.0,113.6,-15.1,-3.0,0.615,2.0,16.7,0.327,0.694,0.5,11.538,11.5,0.478,0.539,1.0,0.975,20.7,103.5,86.25,104.0,0.511,L,0,2025-26
22500144,1610612754,Indiana,Pacers,IND,pacers,240:00,558.8,111.8,539.6,107.9,19.2,3.8,0.6,2.0,17.1,0.308,0.736,0.524,11.765,11.8,0.506,0.563,1.0,0.983,20.3,101.5,84.58,102.0,0.556,W,1,2025-26
22500020,1610612754,Indiana,Pacers,IND,pacers,240:00,534.7,106.9,633.7,126.7,-99.0,-19.8,0.657,1.92,15.3,0.377,0.711,0.509,11.881,11.9,0.419,0.476,1.0,0.992,20.2,101.0,84.17,101.0,0.36,L,0,2025-26
22500133,1610612754,Indiana,Pacers,IND,pacers,240:00,495.3,99.1,509.5,101.9,-14.2,-2.8,0.541,1.43,13.1,0.365,0.778,0.521,13.208,13.2,0.41,0.444,1.0,0.97,21.1,105.5,87.92,106.0,0.393,L,0,2025-26
22500110,1610612754,Indiana,Pacers,IND,pacers,240:00,544.6,108.9,558.8,111.8,-14.3,-2.9,0.615,1.41,16.6,0.345,0.673,0.5,16.832,16.8,0.505,0.535,1.0,0.983,20.3,101.5,84.58,101.0,0.465,L,0,2025-26
22500103,1610612754,Indiana,Pacers,IND,pacers,240:00,504.9,101.0,633.7,126.7,-128.8,-25.8,0.694,1.92,18.0,0.232,0.673,0.45,12.745,12.7,0.483,0.52,1.0,0.982,20.3,101.5,84.58,102.0,0.388,L,0,2025-26
22500005,1610612754,Indiana,Pacers,IND,pacers,290:00,540.0,108.0,573.2,114.6,-33.2,-6.6,0.457,1.5,13.0,0.246,0.821,0.504,11.2,11.2,0.5,0.551,1.0,0.971,20.52,102.62,85.52,125.0,0.447,L,0,2025-26
