gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401189,1610612754,Indiana,Pacers,IND,pacers,290:00,496.1,99.2,475.8,95.2,20.3,4.1,0.563,2.08,16.0,0.264,0.684,0.48,10.236,10.2,0.445,0.49,1.0,0.993,20.77,103.86,86.55,127.0,0.603,W,1,2024-25
22401172,1610612754,Indiana,Pacers,IND,pacers,240:00,542.5,108.5,614.3,122.9,-71.8,-14.4,0.6,1.2,15.9,0.404,0.718,0.538,18.868,18.9,0.517,0.551,1.0,0.953,21.1,105.5,87.92,106.0,0.409,L,0,2024-25
22401168,1610612754,Indiana,Pacers,IND,pacers,240:00,575.8,115.2,554.5,110.9,21.3,4.3,0.651,2.8,20.3,0.212,0.679,0.454,10.101,10.1,0.538,0.56,1.0,0.991,20.0,100.0,83.33,99.0,0.518,W,1,2024-25
22401148,1610612754,Indiana,Pacers,IND,pacers,240:00,541.7,108.3,510.4,102.1,31.3,6.3,0.636,2.33,15.6,0.31,0.685,0.491,9.375,9.4,0.431,0.503,1.0,0.965,19.2,96.0,80.0,96.0,0.571,W,1,2024-25
22401142,1610612754,Indiana,Pacers,IND,pacers,240:00,595.2,119.0,571.4,114.3,23.8,4.8,0.739,5.67,23.0,0.18,0.761,0.458,5.714,5.7,0.557,0.594,1.0,0.982,21.0,105.0,87.5,105.0,0.523,W,1,2024-25
22401119,1610612754,Indiana,Pacers,IND,pacers,240:00,686.3,137.3,543.7,108.7,142.6,28.5,0.745,5.43,25.0,0.255,0.606,0.46,6.863,6.9,0.64,0.662,1.0,0.991,20.5,102.5,85.42,102.0,0.686,W,1,2024-25
22401104,1610612754,Indiana,Pacers,IND,pacers,240:00,626.3,125.3,552.6,110.5,73.7,14.7,0.617,4.83,21.5,0.245,0.718,0.455,6.316,6.3,0.589,0.599,1.0,0.991,19.0,95.0,79.17,95.0,0.563,W,1,2024-25
22401090,1610612754,Indiana,Pacers,IND,pacers,240:00,549.5,109.9,534.3,106.9,15.2,3.0,0.667,2.15,20.3,0.188,0.75,0.48,12.871,12.9,0.544,0.58,1.0,0.982,20.3,101.5,84.58,101.0,0.533,W,1,2024-25
22401079,1610612754,Indiana,Pacers,IND,pacers,240:00,528.6,105.7,634.6,126.9,-106.0,-21.2,0.692,2.08,18.9,0.22,0.766,0.485,12.381,12.4,0.529,0.564,1.0,0.957,20.9,104.5,87.08,105.0,0.43,L,0,2024-25
22401061,1610612754,Indiana,Pacers,IND,pacers,240:00,794.1,158.8,524.0,104.8,270.1,54.0,0.814,3.2,29.3,0.412,0.755,0.614,14.706,14.7,0.788,0.807,1.0,0.974,20.6,103.0,85.83,102.0,0.702,W,1,2024-25
