gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500243,1610612746,LA,Clippers,LAC,clippers,239:60,568.4,113.7,578.9,115.8,-10.5,-2.1,0.514,1.8,14.4,0.231,0.712,0.471,10.526,10.5,0.471,0.546,1.0,0.991,19.0,95.0,79.17,95.0,0.455,L,0,2025-26
22500233,1610612746,LA,Clippers,LAC,clippers,240:00,627.7,125.5,643.6,128.7,-16.0,-3.2,0.605,1.64,17.7,0.341,0.6,0.49,14.894,14.9,0.556,0.626,1.0,0.991,18.8,94.0,78.33,94.0,0.503,L,0,2025-26
22500046,1610612746,LA,Clippers,LAC,clippers,290:00,532.0,106.4,512.1,102.4,19.9,4.0,0.489,0.96,13.8,0.241,0.678,0.469,18.4,18.4,0.542,0.6,1.0,0.942,20.61,103.03,85.86,125.0,0.537,W,1,2025-26
22500224,1610612746,LA,Clippers,LAC,clippers,240:00,591.8,118.4,670.1,134.0,-78.3,-15.7,0.683,1.87,20.3,0.273,0.619,0.442,15.306,15.3,0.583,0.628,1.0,0.964,19.5,97.5,81.25,98.0,0.423,L,0,2025-26
22500206,1610612746,LA,Clippers,LAC,clippers,240:00,554.3,110.9,558.5,111.7,-4.2,-0.8,0.528,1.58,15.3,0.26,0.694,0.475,13.043,13.0,0.512,0.548,1.0,0.99,18.6,93.0,77.5,92.0,0.475,L,0,2025-26
22500190,1610612746,LA,Clippers,LAC,clippers,240:00,578.7,115.7,633.3,126.7,-54.7,-10.9,0.634,2.36,21.3,0.184,0.578,0.398,12.36,12.4,0.597,0.606,1.0,0.99,17.9,89.5,74.58,89.0,0.454,L,0,2025-26
22500182,1610612746,LA,Clippers,LAC,clippers,240:00,525.8,105.2,605.3,121.1,-79.5,-15.9,0.686,1.6,17.6,0.333,0.611,0.48,15.464,15.5,0.506,0.553,1.0,0.964,19.2,96.0,80.0,97.0,0.467,L,0,2025-26
22500170,1610612746,LA,Clippers,LAC,clippers,240:00,545.9,109.2,636.4,127.3,-90.4,-18.1,0.788,1.37,18.8,0.298,0.773,0.527,19.388,19.4,0.525,0.582,1.0,0.991,19.7,98.5,82.08,98.0,0.417,L,0,2025-26
22500164,1610612746,LA,Clippers,LAC,clippers,240:00,583.3,116.7,582.5,116.5,0.8,0.2,0.568,1.19,17.6,0.319,0.81,0.551,20.588,20.6,0.597,0.617,1.0,0.983,20.5,102.5,85.42,102.0,0.452,L,0,2025-26
22500027,1610612746,LA,Clippers,LAC,clippers,240:00,636.4,127.3,626.3,125.3,10.1,2.0,0.609,2.33,20.1,0.279,0.689,0.489,12.121,12.1,0.601,0.641,1.0,0.991,19.8,99.0,82.5,99.0,0.51,W,1,2025-26
22500127,1610612746,LA,Clippers,LAC,clippers,240:00,443.8,88.8,544.4,108.9,-100.6,-20.1,0.333,0.63,8.7,0.308,0.729,0.51,17.978,18.0,0.402,0.444,1.0,0.962,17.9,89.5,74.58,89.0,0.392,L,0,2025-26
22500112,1610612746,LA,Clippers,LAC,clippers,240:00,553.4,110.7,524.5,104.9,28.9,5.8,0.591,1.08,18.7,0.278,0.645,0.51,23.301,23.3,0.625,0.658,1.0,0.956,20.5,102.5,85.42,103.0,0.59,W,1,2025-26
22500099,1610612746,LA,Clippers,LAC,clippers,240:00,664.9,133.0,525.8,105.2,139.2,27.8,0.711,1.68,23.0,0.303,0.667,0.533,19.588,19.6,0.697,0.738,1.0,0.963,19.4,97.0,80.83,97.0,0.674,W,1,2025-26
22500087,1610612746,LA,Clippers,LAC,clippers,240:00,568.4,113.7,678.9,135.8,-110.5,-22.1,0.718,1.87,20.0,0.333,0.61,0.457,15.789,15.8,0.523,0.555,1.0,0.991,19.0,95.0,79.17,95.0,0.379,L,0,2025-26
