gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401198,1610612746,LA,Clippers,LAC,clippers,265:00,626.3,125.3,595.0,119.0,31.3,6.3,0.583,1.75,20.0,0.333,0.825,0.582,16.162,16.2,0.64,0.66,1.0,0.982,18.02,90.11,75.09,99.0,0.527,W,1,2024-25
22401184,1610612746,LA,Clippers,LAC,clippers,240:00,554.9,111.0,537.6,107.5,17.3,3.5,0.475,1.58,16.1,0.195,0.694,0.467,13.187,13.2,0.558,0.588,1.0,0.99,18.4,92.0,76.67,91.0,0.499,W,1,2024-25
22401166,1610612746,LA,Clippers,LAC,clippers,240:00,676.8,135.4,590.9,118.2,85.9,17.2,0.688,2.75,22.8,0.31,0.773,0.547,12.121,12.1,0.639,0.681,1.0,0.973,19.8,99.0,82.5,99.0,0.582,W,1,2024-25
22401155,1610612746,LA,Clippers,LAC,clippers,240:00,610.0,122.0,585.0,117.0,25.0,5.0,0.625,1.76,20.1,0.404,0.783,0.591,17.0,17.0,0.591,0.61,1.0,0.966,20.0,100.0,83.33,100.0,0.531,W,1,2024-25
22401132,1610612746,LA,Clippers,LAC,clippers,240:00,675.0,135.0,520.0,104.0,155.0,31.0,0.574,4.43,21.7,0.273,0.74,0.521,7.0,7.0,0.62,0.644,1.0,0.982,20.0,100.0,83.33,100.0,0.642,W,1,2024-25
22401127,1610612746,LA,Clippers,LAC,clippers,240:00,575.8,115.2,459.6,91.9,116.2,23.2,0.523,1.77,17.2,0.261,0.809,0.538,13.131,13.1,0.573,0.594,1.0,0.982,19.8,99.0,82.5,99.0,0.606,W,1,2024-25
22401111,1610612746,LA,Clippers,LAC,clippers,240:00,593.8,118.8,505.2,101.0,88.6,17.7,0.675,2.08,21.1,0.128,0.727,0.446,13.542,13.5,0.612,0.652,1.0,0.96,19.3,96.5,80.42,96.0,0.566,W,1,2024-25
22401091,1610612746,LA,Clippers,LAC,clippers,240:00,510.6,102.1,467.7,93.5,42.9,8.6,0.5,1.13,14.3,0.348,0.83,0.591,17.021,17.0,0.488,0.531,1.0,0.991,18.7,93.5,77.92,94.0,0.566,W,1,2024-25
22401081,1610612746,LA,Clippers,LAC,clippers,240:00,586.5,117.3,610.6,122.1,-24.0,-4.8,0.556,1.79,17.6,0.265,0.787,0.521,13.462,13.5,0.57,0.594,1.0,0.974,20.8,104.0,86.67,104.0,0.448,L,0,2024-25
22401068,1610612746,LA,Clippers,LAC,clippers,240:00,653.5,130.7,490.2,98.0,163.3,32.7,0.659,2.23,21.5,0.132,0.754,0.515,12.871,12.9,0.669,0.715,1.0,0.981,20.3,101.5,84.58,101.0,0.652,W,1,2024-25
