gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500231,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,613.4,122.7,479.8,96.0,133.6,26.7,0.605,1.35,17.4,0.308,0.712,0.538,17.526,17.5,0.578,0.65,1.0,0.982,19.6,98.0,81.67,97.0,0.666,W,1,2025-26
22500045,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,572.8,114.6,495.2,99.0,77.6,15.5,0.636,1.56,19.9,0.233,0.704,0.495,17.476,17.5,0.583,0.618,1.0,0.991,20.8,104.0,86.67,103.0,0.603,W,1,2025-26
22500222,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,446.6,89.3,593.1,118.6,-146.5,-29.3,0.613,0.95,14.1,0.245,0.818,0.505,19.417,19.4,0.474,0.515,1.0,0.948,20.5,102.5,85.42,103.0,0.332,L,0,2025-26
22500198,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,636.8,127.4,590.4,118.1,46.4,9.3,0.556,2.27,18.2,0.354,0.694,0.5,11.579,11.6,0.578,0.612,1.0,0.973,18.9,94.5,78.75,95.0,0.528,W,1,2025-26
22500185,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,515.2,103.0,622.4,124.5,-107.3,-21.5,0.622,1.15,16.8,0.319,0.761,0.538,20.202,20.2,0.531,0.568,1.0,0.947,19.7,98.5,82.08,99.0,0.414,L,0,2025-26
22500179,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,590.0,118.0,574.3,114.9,15.7,3.1,0.622,1.64,16.2,0.388,0.721,0.543,14.0,14.0,0.506,0.576,1.0,0.975,20.1,100.5,83.75,100.0,0.522,W,1,2025-26
22500163,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,608.9,121.8,569.3,113.9,39.6,7.9,0.58,1.71,20.9,0.286,0.625,0.482,16.832,16.8,0.641,0.668,1.0,1.0,20.2,101.0,84.17,101.0,0.555,W,1,2025-26
22500155,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,607.5,121.5,571.4,114.3,36.0,7.2,0.688,2.75,21.3,0.308,0.804,0.541,11.215,11.2,0.584,0.618,1.0,0.951,21.2,106.0,88.33,107.0,0.538,W,1,2025-26
22500024,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,596.9,119.4,577.3,115.5,19.6,3.9,0.615,1.6,18.3,0.225,0.667,0.479,15.306,15.3,0.599,0.646,1.0,0.963,19.5,97.5,81.25,98.0,0.547,W,1,2025-26
22500136,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,591.8,118.4,580.8,116.2,11.0,2.2,0.756,1.79,23.3,0.341,0.674,0.517,19.388,19.4,0.608,0.626,1.0,0.982,19.7,98.5,82.08,98.0,0.519,W,1,2025-26
22500122,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,500.0,100.0,575.5,115.1,-75.5,-15.1,0.575,0.92,15.4,0.375,0.571,0.481,23.148,23.1,0.506,0.554,1.0,0.944,21.4,107.0,89.17,108.0,0.44,L,0,2025-26
22500113,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,593.5,118.7,555.6,111.1,37.9,7.6,0.667,1.53,17.8,0.302,0.678,0.52,15.888,15.9,0.538,0.633,1.0,0.983,21.5,107.5,89.58,107.0,0.578,W,1,2025-26
22500019,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,688.2,137.6,585.1,117.0,103.1,20.6,0.578,2.17,20.3,0.265,0.627,0.482,12.903,12.9,0.671,0.71,1.0,0.961,18.7,93.5,77.92,93.0,0.614,W,1,2025-26
22500002,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,534.3,106.9,595.0,119.0,-60.7,-12.1,0.548,1.15,16.9,0.256,0.791,0.523,19.608,19.6,0.597,0.61,1.0,0.947,20.2,101.0,84.17,102.0,0.454,L,0,2025-26
