gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401199,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,445.1,89.0,598.9,119.8,-153.8,-30.8,0.677,1.0,16.0,0.373,0.508,0.446,23.077,23.1,0.444,0.47,1.0,0.973,18.2,91.0,75.83,91.0,0.384,L,0,2024-25
22401185,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,666.7,133.3,519.0,103.8,147.6,29.5,0.528,2.15,20.0,0.189,0.776,0.523,12.381,12.4,0.718,0.714,1.0,0.973,21.0,105.0,87.5,105.0,0.629,W,1,2024-25
22401159,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,589.5,117.9,516.0,103.2,73.5,14.7,0.524,1.83,16.2,0.373,0.737,0.528,12.632,12.6,0.533,0.564,1.0,0.947,18.9,94.5,78.75,95.0,0.516,W,1,2024-25
22401153,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,606.1,121.2,680.0,136.0,-73.9,-14.8,0.568,1.11,15.1,0.388,0.636,0.519,19.192,19.2,0.575,0.623,1.0,0.975,19.9,99.5,82.92,99.0,0.454,L,0,2024-25
22401135,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,663.2,132.6,515.6,103.1,147.5,29.5,0.543,1.47,18.9,0.333,0.811,0.609,17.895,17.9,0.679,0.689,1.0,0.981,19.1,95.5,79.58,95.0,0.601,W,1,2024-25
22401126,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,652.6,130.5,568.4,113.7,84.2,16.8,0.634,2.0,19.7,0.308,0.652,0.494,13.684,13.7,0.62,0.679,1.0,0.981,19.0,95.0,79.17,95.0,0.576,W,1,2024-25
22401117,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,630.4,126.1,668.5,133.7,-38.0,-7.6,0.59,2.3,17.6,0.327,0.622,0.468,10.87,10.9,0.558,0.603,1.0,0.963,18.4,92.0,76.67,92.0,0.449,L,0,2024-25
22401096,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,530.6,106.1,494.9,99.0,35.7,7.1,0.629,2.0,16.8,0.204,0.698,0.449,11.224,11.2,0.483,0.532,1.0,0.991,19.7,98.5,82.08,98.0,0.523,W,1,2024-25
22401078,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,644.2,128.8,616.5,123.3,27.7,5.5,0.667,2.31,20.5,0.261,0.75,0.511,12.5,12.5,0.612,0.664,1.0,0.974,20.7,103.5,86.25,104.0,0.528,W,1,2024-25
22401063,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,562.5,112.5,566.7,113.3,-4.2,-0.8,0.667,2.73,21.3,0.149,0.736,0.46,10.577,10.6,0.56,0.591,1.0,0.991,20.9,104.5,87.08,104.0,0.509,L,0,2024-25
22401055,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,625.0,125.0,626.3,125.3,-1.3,-0.3,0.634,1.73,19.8,0.22,0.778,0.512,15.625,15.6,0.627,0.67,1.0,0.971,19.1,95.5,79.58,96.0,0.483,W,1,2024-25
22401038,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,576.1,115.2,655.6,131.1,-79.5,-15.9,0.514,1.73,15.4,0.319,0.651,0.478,11.957,12.0,0.525,0.574,1.0,0.981,18.2,91.0,75.83,92.0,0.43,L,0,2024-25
22401028,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,547.6,109.5,688.7,137.7,-141.1,-28.2,0.561,1.1,16.4,0.255,0.714,0.472,20.0,20.0,0.582,0.607,1.0,0.991,21.1,105.5,87.92,105.0,0.343,L,0,2024-25
22400996,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,458.8,91.8,608.2,121.6,-149.5,-29.9,0.765,1.18,18.7,0.32,0.755,0.535,22.68,22.7,0.482,0.5,1.0,0.956,19.4,97.0,80.83,97.0,0.352,L,0,2024-25
22401006,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,588.2,117.6,529.4,105.9,58.8,11.8,0.595,1.79,18.2,0.222,0.688,0.462,13.725,13.7,0.602,0.629,1.0,0.973,20.4,102.0,85.0,102.0,0.552,W,1,2024-25
22400537,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,618.8,123.8,550.5,110.1,68.3,13.7,0.773,3.78,23.1,0.265,0.745,0.5,8.911,8.9,0.594,0.622,1.0,0.973,20.0,100.0,83.33,101.0,0.578,W,1,2024-25
22400977,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,569.1,113.8,505.3,101.1,63.9,12.8,0.629,2.2,17.3,0.22,0.673,0.457,10.638,10.6,0.519,0.563,1.0,0.971,18.9,94.5,78.75,94.0,0.556,W,1,2024-25
22400965,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,623.8,124.8,635.9,127.2,-12.2,-2.4,0.653,3.56,20.8,0.368,0.674,0.505,8.911,8.9,0.538,0.562,1.0,0.984,20.4,102.0,85.0,101.0,0.468,L,0,2024-25
22400955,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,519.6,103.9,611.7,122.3,-92.0,-18.4,0.474,1.29,14.1,0.154,0.776,0.455,13.725,13.7,0.523,0.558,1.0,0.982,20.5,102.5,85.42,102.0,0.368,L,0,2024-25
22400930,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,574.5,114.9,584.2,116.8,-9.7,-1.9,0.838,2.07,22.1,0.306,0.672,0.505,15.957,16.0,0.547,0.578,1.0,0.991,18.9,94.5,78.75,94.0,0.497,L,0,2024-25
22400918,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,531.6,106.3,590.4,118.1,-58.8,-11.8,0.462,1.29,14.2,0.275,0.755,0.51,14.737,14.7,0.529,0.542,1.0,0.954,18.9,94.5,78.75,95.0,0.423,L,0,2024-25
22400903,1610612747,Los Angeles,Lakers,LAL,lakers,265:00,543.3,108.7,514.2,102.8,29.1,5.8,0.658,1.47,17.1,0.333,0.672,0.518,16.346,16.3,0.506,0.558,1.0,0.983,19.02,95.09,79.25,104.0,0.533,W,1,2024-25
22400890,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,693.9,138.8,580.8,116.2,113.1,22.6,0.667,2.13,21.6,0.432,0.72,0.585,15.306,15.3,0.639,0.667,1.0,0.991,19.7,98.5,82.08,98.0,0.577,W,1,2024-25
22400874,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,593.4,118.7,554.3,110.9,39.1,7.8,0.553,1.24,16.9,0.279,0.68,0.495,18.681,18.7,0.61,0.629,1.0,0.981,18.3,91.5,76.25,91.0,0.539,W,1,2024-25
22400859,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,552.1,110.4,531.3,106.3,20.8,4.2,0.487,1.27,15.1,0.262,0.6,0.446,15.625,15.6,0.556,0.591,1.0,0.981,19.2,96.0,80.0,96.0,0.545,W,1,2024-25
22400849,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,572.2,114.4,536.8,107.4,35.3,7.1,0.618,1.62,15.1,0.396,0.765,0.577,13.402,13.4,0.482,0.543,1.0,0.958,19.2,96.0,80.0,97.0,0.54,W,1,2024-25
22400835,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,540.4,108.1,500.0,100.0,40.4,8.1,0.615,1.71,17.3,0.308,0.73,0.539,14.141,14.1,0.511,0.548,1.0,0.974,19.8,99.0,82.5,99.0,0.575,W,1,2024-25
22400808,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,627.6,125.5,520.8,104.2,106.7,21.3,0.628,3.0,19.7,0.261,0.596,0.439,9.184,9.2,0.593,0.634,1.0,0.955,19.4,97.0,80.83,98.0,0.623,W,1,2024-25
22400796,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,528.8,105.8,495.1,99.0,33.7,6.7,0.513,0.83,14.4,0.341,0.808,0.594,23.077,23.1,0.53,0.591,1.0,0.966,20.7,103.5,86.25,104.0,0.539,W,1,2024-25
22400524,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,480.2,96.0,490.2,98.0,-10.0,-2.0,0.784,1.61,20.1,0.255,0.707,0.487,17.822,17.8,0.494,0.509,1.0,0.991,20.3,101.5,84.58,101.0,0.513,L,0,2024-25
22400781,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,566.7,113.3,629.8,126.0,-63.1,-12.6,0.756,2.21,20.5,0.298,0.75,0.495,13.333,13.3,0.554,0.566,1.0,0.992,20.9,104.5,87.08,105.0,0.414,L,0,2024-25
22400768,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,622.6,124.5,528.0,105.6,94.6,18.9,0.56,2.15,19.4,0.233,0.75,0.505,12.264,12.3,0.625,0.661,1.0,0.957,21.3,106.5,88.75,106.0,0.576,W,1,2024-25
22400742,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,613.9,122.8,579.2,115.8,34.7,6.9,0.63,1.93,20.3,0.302,0.745,0.543,14.851,14.9,0.585,0.632,1.0,0.974,20.2,101.0,84.17,101.0,0.534,W,1,2024-25
22400731,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,588.2,117.6,538.5,107.7,49.8,10.0,0.667,1.86,19.1,0.195,0.667,0.481,13.725,13.7,0.583,0.639,1.0,0.982,20.6,103.0,85.83,102.0,0.594,W,1,2024-25
22400715,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,635.4,127.1,505.2,101.0,130.2,26.0,0.733,2.2,23.4,0.293,0.745,0.552,15.625,15.6,0.667,0.669,1.0,0.972,19.2,96.0,80.0,96.0,0.61,W,1,2024-25
22400692,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,646.5,129.3,571.4,114.3,75.0,15.0,0.553,1.73,19.7,0.194,0.648,0.467,15.152,15.2,0.698,0.72,1.0,0.972,19.7,98.5,82.08,99.0,0.55,W,1,2024-25
22400674,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,663.4,132.7,466.0,93.2,197.3,39.5,0.633,2.82,22.0,0.22,0.667,0.49,10.891,10.9,0.628,0.672,1.0,1.0,20.4,102.0,85.0,101.0,0.734,W,1,2024-25
22400660,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,520.0,104.0,590.0,118.0,-70.0,-14.0,0.676,1.14,19.1,0.162,0.74,0.494,22.0,22.0,0.583,0.633,1.0,0.981,20.0,100.0,83.33,100.0,0.459,L,0,2024-25
22400648,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,589.5,117.9,557.3,111.5,32.2,6.4,0.5,1.16,16.3,0.4,0.72,0.568,20.0,20.0,0.547,0.58,1.0,0.973,19.1,95.5,79.58,95.0,0.531,W,1,2024-25
22400644,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,608.2,121.6,562.5,112.5,45.7,9.1,0.617,2.23,21.0,0.3,0.694,0.517,13.402,13.4,0.605,0.631,1.0,0.963,19.3,96.5,80.42,97.0,0.562,W,1,2024-25
22400629,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,622.3,124.5,510.6,102.1,111.7,22.3,0.643,2.7,19.7,0.327,0.767,0.569,10.638,10.6,0.556,0.598,1.0,0.945,18.8,94.0,78.33,94.0,0.616,W,1,2024-25
