gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500228,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,471.7,94.3,514.3,102.9,-42.6,-8.5,0.677,1.4,14.9,0.25,0.72,0.464,14.151,14.2,0.413,0.483,1.0,0.992,21.1,105.5,87.92,106.0,0.447,L,0,2025-26
22500216,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,494.8,99.0,682.3,136.5,-187.5,-37.5,0.781,2.5,17.5,0.343,0.56,0.436,10.417,10.4,0.389,0.446,1.0,0.983,19.2,96.0,80.0,96.0,0.325,L,0,2025-26
22500208,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,540.5,108.1,604.5,120.9,-64.0,-12.8,0.837,1.64,23.2,0.186,0.741,0.495,19.82,19.8,0.595,0.635,1.0,0.975,22.1,110.5,92.08,111.0,0.478,L,0,2025-26
22500194,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,505.1,101.0,570.0,114.0,-64.9,-13.0,0.857,2.14,21.0,0.246,0.75,0.496,14.141,14.1,0.478,0.505,1.0,0.991,19.9,99.5,82.92,99.0,0.423,L,0,2025-26
22500034,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,584.2,116.8,520.0,104.0,64.2,12.8,0.659,1.8,19.3,0.25,0.783,0.511,14.851,14.9,0.559,0.606,1.0,0.956,20.1,100.5,83.75,101.0,0.543,W,1,2025-26
22500176,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,519.0,103.8,590.5,118.1,-71.4,-14.3,0.735,1.67,17.0,0.288,0.649,0.466,14.286,14.3,0.455,0.522,1.0,0.984,21.0,105.0,87.5,105.0,0.437,L,0,2025-26
22500161,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,540.8,108.2,575.8,115.2,-34.9,-7.0,0.714,1.25,17.5,0.389,0.674,0.52,20.408,20.4,0.483,0.541,1.0,1.0,19.7,98.5,82.08,98.0,0.445,L,0,2025-26
22500152,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,541.7,108.3,609.4,121.9,-67.7,-13.5,0.632,1.85,17.8,0.294,0.625,0.455,13.542,13.5,0.5,0.543,1.0,0.964,19.2,96.0,80.0,96.0,0.436,L,0,2025-26
22500024,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,577.3,115.5,596.9,119.4,-19.6,-3.9,0.683,2.55,19.7,0.333,0.775,0.521,11.34,11.3,0.516,0.552,1.0,0.991,19.5,97.5,81.25,97.0,0.453,L,0,2025-26
22500137,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,537.7,107.5,533.0,106.6,4.7,0.9,0.705,1.82,20.9,0.224,0.766,0.49,16.038,16.0,0.554,0.577,1.0,0.983,21.2,106.0,88.33,106.0,0.526,W,1,2025-26
22500121,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,556.6,111.3,629.8,126.0,-73.2,-14.6,0.8,2.46,21.2,0.265,0.786,0.505,12.264,12.3,0.523,0.588,1.0,0.95,21.0,105.0,87.5,106.0,0.469,L,0,2025-26
22500103,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,633.7,126.7,504.9,101.0,128.8,25.8,0.705,5.17,20.8,0.327,0.768,0.55,5.941,5.9,0.531,0.576,1.0,0.975,20.3,101.5,84.58,101.0,0.612,W,1,2025-26
22500094,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,504.4,100.9,646.0,129.2,-141.6,-28.3,0.763,1.45,18.2,0.283,0.62,0.436,17.699,17.7,0.468,0.531,1.0,0.985,22.6,113.0,94.17,113.0,0.375,L,0,2025-26
22500085,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,587.2,117.4,564.8,113.0,22.3,4.5,0.488,1.18,14.4,0.256,0.632,0.47,15.596,15.6,0.581,0.647,1.0,0.966,21.7,108.5,90.42,109.0,0.544,W,1,2025-26
