gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401194,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,647.1,129.4,475.5,95.1,171.6,34.3,0.596,2.58,20.0,0.423,0.725,0.573,11.765,11.8,0.572,0.597,1.0,0.984,20.4,102.0,85.0,102.0,0.665,W,1,2024-25
22401180,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,529.1,105.8,573.5,114.7,-44.4,-8.9,0.634,2.0,18.4,0.222,0.686,0.448,12.621,12.6,0.527,0.549,1.0,0.965,20.5,102.5,85.42,103.0,0.426,L,0,2024-25
22401170,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,606.8,121.4,691.2,138.2,-84.4,-16.9,0.565,1.73,18.3,0.265,0.683,0.456,14.563,14.6,0.618,0.636,1.0,0.974,20.5,102.5,85.42,103.0,0.432,L,0,2024-25
22401146,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,626.3,125.3,505.1,101.0,121.2,24.2,0.548,1.64,16.4,0.37,0.8,0.577,14.141,14.1,0.548,0.594,1.0,0.991,19.8,99.0,82.5,99.0,0.606,W,1,2024-25
22401129,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,524.0,104.8,495.2,99.0,28.8,5.8,0.487,1.27,13.3,0.345,0.8,0.576,14.423,14.4,0.463,0.51,1.0,0.976,20.8,104.0,86.67,104.0,0.514,W,1,2024-25
22401114,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,561.2,112.2,545.5,109.1,15.8,3.2,0.6,1.33,17.8,0.277,0.672,0.495,18.367,18.4,0.565,0.595,1.0,0.991,19.7,98.5,82.08,98.0,0.519,W,1,2024-25
22401100,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,584.1,116.8,632.1,126.4,-48.0,-9.6,0.5,1.38,15.6,0.26,0.649,0.467,14.953,15.0,0.576,0.615,1.0,0.983,21.3,106.5,88.75,107.0,0.455,L,0,2024-25
22401093,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,504.9,101.0,568.0,113.6,-63.1,-12.6,0.512,1.91,16.0,0.151,0.737,0.455,10.784,10.8,0.505,0.52,1.0,0.982,20.5,102.5,85.42,102.0,0.44,L,0,2024-25
22401078,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,616.5,123.3,644.2,128.8,-27.7,-5.5,0.66,2.75,22.4,0.25,0.739,0.489,11.65,11.7,0.6,0.617,1.0,1.0,20.7,103.5,86.25,103.0,0.472,L,0,2024-25
22401064,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,500.0,100.0,601.0,120.2,-101.0,-20.2,0.848,1.47,20.1,0.149,0.717,0.43,18.269,18.3,0.519,0.583,1.0,0.973,20.8,104.0,86.67,104.0,0.417,L,0,2024-25
22401050,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,729.2,145.8,530.9,106.2,198.2,39.6,0.731,4.22,24.7,0.435,0.848,0.641,9.375,9.4,0.633,0.661,1.0,0.983,19.3,96.5,80.42,96.0,0.649,W,1,2024-25
22401023,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,540.0,108.0,653.1,130.6,-113.1,-22.6,0.7,2.8,19.9,0.246,0.833,0.473,10.0,10.0,0.521,0.536,1.0,0.973,19.8,99.0,82.5,100.0,0.389,L,0,2024-25
22401008,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,495.0,99.0,575.0,115.0,-80.0,-16.0,0.622,2.3,17.0,0.228,0.579,0.404,10.0,10.0,0.446,0.489,1.0,0.991,20.0,100.0,83.33,100.0,0.433,L,0,2024-25
22400992,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,586.5,117.3,634.6,126.9,-48.1,-9.6,0.545,1.33,16.8,0.326,0.723,0.527,17.308,17.3,0.561,0.615,1.0,0.975,20.8,104.0,86.67,104.0,0.468,L,0,2024-25
22400971,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,644.3,128.9,464.3,92.9,180.0,36.0,0.608,2.82,22.3,0.262,0.782,0.557,11.34,11.3,0.62,0.642,1.0,0.981,19.5,97.5,81.25,97.0,0.674,W,1,2024-25
22400962,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,568.8,113.8,604.5,120.9,-35.7,-7.1,0.521,1.79,17.1,0.24,0.776,0.505,12.844,12.8,0.552,0.584,1.0,0.992,21.9,109.5,91.25,109.0,0.455,L,0,2024-25
22400950,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,575.5,115.1,532.4,106.5,43.1,8.6,0.698,3.33,21.1,0.111,0.636,0.376,8.491,8.5,0.564,0.591,1.0,1.0,21.4,107.0,89.17,106.0,0.538,W,1,2024-25
22400935,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,612.2,122.4,596.0,119.2,16.3,3.3,0.65,1.73,18.7,0.333,0.58,0.459,15.306,15.3,0.564,0.613,1.0,0.982,19.7,98.5,82.08,98.0,0.508,W,1,2024-25
22400923,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,569.1,113.8,541.7,108.3,27.5,5.5,0.585,1.71,16.6,0.475,0.679,0.571,14.894,14.9,0.48,0.498,1.0,0.983,19.0,95.0,79.17,94.0,0.513,W,1,2024-25
22400906,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,581.0,116.2,528.6,105.7,52.4,10.5,0.56,2.55,18.1,0.386,0.729,0.56,10.476,10.5,0.509,0.54,1.0,0.976,21.0,105.0,87.5,105.0,0.561,W,1,2024-25
22400895,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,495.2,99.0,571.4,114.3,-76.2,-15.2,0.568,1.31,15.2,0.259,0.907,0.546,15.385,15.4,0.456,0.512,1.0,0.983,20.9,104.5,87.08,104.0,0.423,L,0,2024-25
22400878,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,643.6,128.7,653.5,130.7,-9.9,-2.0,0.766,1.8,22.5,0.522,0.659,0.589,19.802,19.8,0.575,0.625,1.0,0.984,20.2,101.0,84.17,101.0,0.505,L,0,2024-25
22400863,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,621.4,124.3,631.1,126.2,-9.7,-1.9,0.62,2.38,20.7,0.333,0.638,0.484,12.621,12.6,0.584,0.617,1.0,0.975,20.6,103.0,85.83,103.0,0.505,L,0,2024-25
22400856,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,559.4,111.9,553.4,110.7,6.0,1.2,0.591,1.37,17.6,0.42,0.792,0.612,18.812,18.8,0.489,0.545,1.0,0.992,20.4,102.0,85.0,101.0,0.491,L,0,2024-25
22400832,1610612763,Memphis,Grizzlies,MEM,grizzlies,265:00,650.9,130.2,627.1,125.4,23.7,4.7,0.692,3.0,22.5,0.188,0.717,0.447,10.345,10.3,0.626,0.673,1.0,1.0,21.19,105.96,88.3,116.0,0.506,W,1,2024-25
22400819,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,621.2,124.2,638.6,127.7,-17.4,-3.5,0.667,2.0,19.2,0.345,0.492,0.421,14.141,14.1,0.538,0.582,1.0,0.992,20.0,100.0,83.33,99.0,0.478,L,0,2024-25
22400798,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,514.7,102.9,514.9,103.0,-0.1,0.0,0.579,1.47,15.8,0.316,0.684,0.5,14.706,14.7,0.451,0.501,1.0,0.991,20.3,101.5,84.58,102.0,0.488,W,1,2024-25
22400788,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,553.9,110.8,616.5,123.3,-62.6,-12.5,0.683,2.15,18.7,0.339,0.766,0.528,12.745,12.7,0.475,0.52,1.0,0.984,20.5,102.5,85.42,102.0,0.43,L,0,2024-25
22400783,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,542.9,108.6,603.8,120.8,-60.9,-12.2,0.545,1.09,16.9,0.265,0.681,0.469,20.952,21.0,0.596,0.596,1.0,0.975,21.1,105.5,87.92,105.0,0.387,L,0,2024-25
22400767,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,561.3,112.3,533.3,106.7,28.0,5.6,0.512,1.69,14.8,0.355,0.827,0.57,12.264,12.3,0.49,0.532,1.0,0.984,21.1,105.5,87.92,106.0,0.473,W,1,2024-25
22400746,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,565.7,113.1,625.0,125.0,-59.3,-11.9,0.583,1.62,15.9,0.245,0.581,0.432,13.131,13.1,0.519,0.57,1.0,0.991,19.9,99.5,82.92,99.0,0.458,L,0,2024-25
22400722,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,704.1,140.8,540.4,108.1,163.7,32.7,0.468,1.22,15.1,0.553,0.667,0.617,18.367,18.4,0.618,0.653,1.0,0.976,19.7,98.5,82.08,98.0,0.635,W,1,2024-25
22400703,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,571.4,114.3,486.6,97.3,84.8,17.0,0.688,2.2,21.2,0.212,0.75,0.481,13.393,13.4,0.556,0.594,1.0,0.984,22.4,112.0,93.33,112.0,0.586,W,1,2024-25
22400699,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,640.8,128.2,583.3,116.7,57.4,11.5,0.712,3.08,22.0,0.483,0.765,0.615,11.65,11.7,0.551,0.566,1.0,0.969,20.5,102.5,85.42,103.0,0.576,W,1,2024-25
22400676,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,612.2,122.4,607.1,121.4,5.1,1.0,0.479,2.09,16.5,0.383,0.561,0.481,11.224,11.2,0.565,0.589,1.0,0.966,19.6,98.0,81.67,98.0,0.52,W,1,2024-25
22400653,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,504.8,101.0,668.2,133.6,-163.5,-32.7,0.512,0.81,14.5,0.373,0.556,0.467,24.762,24.8,0.5,0.538,1.0,1.0,21.2,106.0,88.33,105.0,0.345,L,0,2024-25
22400643,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,612.7,122.5,509.9,102.0,102.8,20.6,0.651,1.65,19.0,0.378,0.685,0.545,16.667,16.7,0.595,0.632,1.0,0.966,20.3,101.5,84.58,102.0,0.605,W,1,2024-25
22400632,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,702.0,140.4,630.0,126.0,72.0,14.4,0.679,2.92,24.7,0.4,0.675,0.529,13.131,13.1,0.649,0.665,1.0,0.991,19.9,99.5,82.92,99.0,0.54,W,1,2024-25
22400616,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,634.6,126.9,576.9,115.4,57.7,11.5,0.735,2.25,22.8,0.367,0.674,0.516,15.385,15.4,0.607,0.634,1.0,0.984,20.8,104.0,86.67,104.0,0.539,W,1,2024-25
22400601,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,529.4,105.9,519.6,103.9,9.8,2.0,0.514,1.46,14.1,0.269,0.644,0.468,12.745,12.7,0.471,0.535,1.0,0.983,20.4,102.0,85.0,102.0,0.534,W,1,2024-25
22400582,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,693.1,138.6,554.5,110.9,138.6,27.7,0.709,4.33,25.5,0.289,0.727,0.506,8.911,8.9,0.665,0.676,1.0,0.965,20.2,101.0,84.17,101.0,0.591,W,1,2024-25
22400567,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,620.2,124.0,558.3,111.7,61.9,12.4,0.549,3.5,18.9,0.304,0.808,0.546,7.692,7.7,0.573,0.584,1.0,0.983,20.7,103.5,86.25,104.0,0.551,W,1,2024-25
22400551,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,590.0,118.0,606.1,121.2,-16.1,-3.2,0.333,0.83,11.7,0.349,0.568,0.46,18.0,18.0,0.619,0.633,1.0,0.982,19.9,99.5,82.92,100.0,0.448,L,0,2024-25
22400535,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,622.5,124.5,612.7,122.5,9.8,2.0,0.521,1.92,16.2,0.429,0.769,0.559,12.745,12.7,0.519,0.546,1.0,0.992,20.4,102.0,85.0,102.0,0.441,W,1,2024-25
22400520,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,552.9,110.6,572.1,114.4,-19.2,-3.8,0.476,1.0,14.6,0.298,0.639,0.491,19.231,19.2,0.56,0.592,1.0,0.983,20.8,104.0,86.67,104.0,0.513,L,0,2024-25
22400499,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,572.1,114.4,490.6,98.1,81.5,16.3,0.6,1.6,16.9,0.264,0.721,0.509,14.423,14.4,0.523,0.575,1.0,0.983,21.0,105.0,87.5,104.0,0.581,W,1,2024-25
22400485,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,565.0,113.0,611.1,122.2,-46.1,-9.2,0.63,1.26,19.6,0.432,0.762,0.593,23.0,23.0,0.574,0.594,1.0,0.966,19.9,99.5,82.92,100.0,0.485,L,0,2024-25
22400476,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,610.1,122.0,650.9,130.2,-40.9,-8.2,0.721,1.82,20.1,0.314,0.76,0.535,15.596,15.6,0.579,0.634,1.0,0.984,21.5,107.5,89.58,109.0,0.494,L,0,2024-25
22400453,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,551.9,110.4,533.3,106.7,18.6,3.7,0.675,1.59,17.5,0.383,0.704,0.535,16.038,16.0,0.505,0.539,1.0,0.984,21.1,105.5,87.92,106.0,0.486,W,1,2024-25
22400440,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,495.3,99.1,613.2,122.6,-117.9,-23.6,0.811,1.43,18.8,0.371,0.745,0.54,19.626,19.6,0.454,0.499,1.0,0.977,21.3,106.5,88.75,107.0,0.395,L,0,2024-25
22400423,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,600.0,120.0,568.8,113.8,31.2,6.2,0.714,1.76,19.4,0.306,0.66,0.49,15.455,15.5,0.567,0.632,1.0,0.968,21.9,109.5,91.25,110.0,0.529,W,1,2024-25
22400414,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,685.8,137.2,557.5,111.5,128.3,25.7,0.621,2.0,20.5,0.5,0.717,0.612,15.929,15.9,0.615,0.636,1.0,0.986,22.6,113.0,94.17,113.0,0.598,W,1,2024-25
22400399,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,514.0,102.8,532.7,106.5,-18.7,-3.7,0.684,1.3,16.6,0.369,0.702,0.525,18.692,18.7,0.465,0.498,1.0,0.985,21.4,107.0,89.17,107.0,0.475,L,0,2024-25
22400378,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,581.8,116.4,509.1,101.8,72.7,14.5,0.7,1.94,22.4,0.224,0.814,0.5,16.364,16.4,0.608,0.623,1.0,0.983,22.0,110.0,91.67,110.0,0.529,W,1,2024-25
22400366,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,685.7,137.1,447.1,89.4,238.6,47.7,0.717,2.24,23.8,0.396,0.77,0.606,16.19,16.2,0.679,0.688,1.0,0.992,20.9,104.5,87.08,105.0,0.738,W,1,2024-25
22401220,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,500.0,100.0,527.3,105.5,-27.3,-5.5,0.658,1.19,15.7,0.407,0.74,0.56,19.091,19.1,0.438,0.499,1.0,0.978,22.0,110.0,91.67,110.0,0.451,L,0,2024-25
22401211,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,636.8,127.4,561.3,112.3,75.5,15.1,0.635,2.54,21.4,0.306,0.765,0.54,12.264,12.3,0.611,0.624,1.0,0.983,21.2,106.0,88.33,106.0,0.561,W,1,2024-25
22400353,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,642.2,128.4,518.5,103.7,123.7,24.7,0.68,1.89,21.1,0.36,0.596,0.486,16.514,16.5,0.609,0.644,1.0,0.961,21.7,108.5,90.42,109.0,0.632,W,1,2024-25
22400345,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,588.0,117.6,555.0,111.0,32.9,6.6,0.532,1.92,17.2,0.245,0.662,0.487,12.037,12.0,0.58,0.61,1.0,0.983,21.7,108.5,90.42,108.0,0.558,W,1,2024-25
22400329,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,537.4,107.5,518.9,103.8,18.5,3.7,0.711,1.23,18.8,0.25,0.705,0.514,20.561,20.6,0.556,0.611,1.0,0.991,21.3,106.5,88.75,107.0,0.571,W,1,2024-25
22400056,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,547.2,109.4,560.2,112.0,-13.0,-2.6,0.6,1.42,18.1,0.308,0.6,0.451,17.925,17.9,0.531,0.562,1.0,1.0,21.4,107.0,89.17,106.0,0.489,L,0,2024-25
22400306,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,623.9,124.8,560.2,112.0,63.7,12.7,0.735,3.6,23.4,0.217,0.787,0.505,9.174,9.2,0.613,0.648,1.0,0.983,21.7,108.5,90.42,109.0,0.564,W,1,2024-25
22400042,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,576.9,115.4,529.1,105.8,47.8,9.6,0.766,2.25,22.9,0.333,0.696,0.523,15.385,15.4,0.552,0.58,1.0,0.967,20.7,103.5,86.25,104.0,0.587,W,1,2024-25
22400293,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,617.9,123.6,523.6,104.7,94.3,18.9,0.608,1.82,20.8,0.261,0.729,0.5,16.038,16.0,0.64,0.655,1.0,0.975,21.2,106.0,88.33,106.0,0.587,W,1,2024-25
22400282,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,591.3,118.3,471.2,94.2,120.2,24.0,0.814,1.84,22.3,0.383,0.676,0.559,18.269,18.3,0.563,0.603,1.0,0.975,20.8,104.0,86.67,104.0,0.68,W,1,2024-25
22400266,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,689.3,137.9,629.8,126.0,59.5,11.9,0.691,2.71,24.1,0.395,0.725,0.574,13.592,13.6,0.672,0.677,1.0,0.967,20.7,103.5,86.25,103.0,0.555,W,1,2024-25
22400255,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,585.0,117.0,555.0,111.0,30.0,6.0,0.707,1.45,20.3,0.318,0.714,0.527,20.0,20.0,0.594,0.636,1.0,0.974,20.0,100.0,83.33,100.0,0.528,W,1,2024-25
22400023,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,491.1,98.2,544.6,108.9,-53.6,-10.7,0.585,1.09,14.7,0.394,0.679,0.52,19.643,19.6,0.442,0.472,1.0,0.986,22.4,112.0,93.33,112.0,0.406,L,0,2024-25
22400238,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,541.2,108.2,463.9,92.8,77.3,15.5,0.756,2.38,22.1,0.24,0.776,0.505,13.402,13.4,0.522,0.545,1.0,0.982,19.4,97.0,80.83,97.0,0.58,W,1,2024-25
22400019,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,531.5,106.3,564.2,112.8,-32.7,-6.5,0.524,1.47,14.1,0.354,0.638,0.488,13.514,13.5,0.442,0.502,1.0,0.97,22.0,110.0,91.67,111.0,0.47,L,0,2024-25
22400225,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,585.7,117.1,603.8,120.8,-18.1,-3.6,0.667,2.0,18.9,0.294,0.717,0.495,13.333,13.3,0.539,0.594,1.0,0.983,21.1,105.5,87.92,105.0,0.484,L,0,2024-25
22400210,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,603.6,120.7,404.5,80.9,199.1,39.8,0.681,1.39,20.5,0.341,0.652,0.533,20.721,20.7,0.647,0.688,1.0,0.96,22.1,110.5,92.08,111.0,0.802,W,1,2024-25
22400191,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,609.5,121.9,495.2,99.0,114.3,22.9,0.652,1.58,19.4,0.407,0.702,0.559,18.095,18.1,0.546,0.593,1.0,0.976,21.0,105.0,87.5,105.0,0.607,W,1,2024-25
22400174,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,635.9,127.2,558.8,111.8,77.1,15.4,0.583,1.56,18.8,0.388,0.788,0.594,17.476,17.5,0.608,0.635,1.0,0.983,20.5,102.5,85.42,103.0,0.57,W,1,2024-25
22400158,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,553.2,110.6,576.1,115.2,-22.9,-4.6,0.674,1.93,20.3,0.449,0.689,0.564,15.957,16.0,0.516,0.538,1.0,0.974,18.6,93.0,77.5,94.0,0.527,L,0,2024-25
22400142,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,620.0,124.0,540.4,108.1,79.6,15.9,0.729,2.06,23.2,0.39,0.75,0.598,17.0,17.0,0.621,0.644,1.0,0.957,19.9,99.5,82.92,100.0,0.623,W,1,2024-25
22400128,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,581.0,116.2,480.6,96.1,100.4,20.1,0.605,1.53,18.3,0.268,0.82,0.598,16.19,16.2,0.573,0.638,1.0,0.948,20.8,104.0,86.67,105.0,0.675,W,1,2024-25
22400124,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,535.4,107.1,601.0,120.2,-65.7,-13.1,0.711,1.23,18.9,0.391,0.675,0.523,22.222,22.2,0.519,0.565,1.0,0.983,19.8,99.0,82.5,99.0,0.45,L,0,2024-25
22400108,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,591.3,118.3,600.0,120.0,-8.7,-1.7,0.725,3.7,22.7,0.354,0.759,0.545,9.615,9.6,0.523,0.527,1.0,1.0,20.9,104.5,87.08,104.0,0.488,L,0,2024-25
22400092,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,590.5,118.1,533.7,106.7,56.8,11.4,0.826,2.11,24.7,0.279,0.685,0.505,17.143,17.1,0.61,0.642,1.0,0.966,20.9,104.5,87.08,105.0,0.604,W,1,2024-25
22400082,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,500.0,100.0,587.2,117.4,-87.2,-17.4,0.632,1.26,15.9,0.317,0.533,0.425,17.593,17.6,0.473,0.505,1.0,0.976,21.7,108.5,90.42,108.0,0.419,L,0,2024-25
22400070,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,600.0,120.0,596.2,119.2,3.8,0.8,0.651,2.15,18.8,0.296,0.612,0.447,12.381,12.4,0.566,0.6,1.0,0.967,20.9,104.5,87.08,105.0,0.478,W,1,2024-25
22301193,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,538.8,107.8,611.7,122.3,-72.8,-14.6,0.489,1.69,15.4,0.333,0.609,0.456,12.621,12.6,0.49,0.514,1.0,0.992,20.6,103.0,85.83,103.0,0.395,L,0,2023-24
22301177,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,594.1,118.8,597.1,119.4,-3.0,-0.6,0.442,1.27,13.8,0.358,0.675,0.495,14.851,14.9,0.542,0.576,1.0,0.992,20.4,102.0,85.0,101.0,0.457,L,0,2023-24
22301158,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,505.2,101.0,567.0,113.4,-61.9,-12.4,0.636,1.31,16.0,0.275,0.708,0.485,16.495,16.5,0.476,0.531,1.0,0.964,19.4,97.0,80.83,97.0,0.433,L,0,2023-24
22301151,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,443.9,88.8,525.8,105.2,-81.9,-16.4,0.583,2.63,14.9,0.324,0.756,0.496,8.163,8.2,0.375,0.4,1.0,0.967,19.5,97.5,81.25,98.0,0.379,L,0,2023-24
22301129,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,480.0,96.0,585.9,117.2,-105.9,-21.2,0.583,1.11,15.3,0.358,0.756,0.532,19.0,19.0,0.466,0.499,1.0,0.991,19.9,99.5,82.92,100.0,0.383,L,0,2023-24
22301121,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,551.0,110.2,463.9,92.8,87.1,17.4,0.571,1.14,16.8,0.44,0.76,0.6,21.429,21.4,0.522,0.556,1.0,0.975,19.5,97.5,81.25,98.0,0.583,W,1,2023-24
22301107,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,590.4,118.1,543.0,108.6,47.4,9.5,0.543,2.78,18.8,0.292,0.705,0.523,9.574,9.6,0.544,0.564,1.0,0.972,18.7,93.5,77.92,94.0,0.581,W,1,2023-24
22301088,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,591.4,118.3,568.4,113.7,23.0,4.6,0.7,2.15,19.6,0.407,0.75,0.561,13.978,14.0,0.5,0.544,1.0,0.991,18.8,94.0,78.33,93.0,0.5,W,1,2023-24
22301075,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,435.6,87.1,590.0,118.0,-154.4,-30.9,0.806,1.32,17.9,0.263,0.829,0.5,18.812,18.8,0.43,0.471,1.0,0.983,20.1,100.5,83.75,101.0,0.364,L,0,2023-24
22301055,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,579.4,115.9,641.5,128.3,-62.1,-12.4,0.652,2.14,20.0,0.245,0.775,0.473,13.084,13.1,0.562,0.588,1.0,0.975,21.3,106.5,88.75,107.0,0.436,L,0,2023-24
22301040,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,520.2,104.0,646.5,129.3,-126.3,-25.3,0.676,1.47,16.9,0.387,0.605,0.476,17.172,17.2,0.452,0.486,1.0,0.959,19.8,99.0,82.5,99.0,0.349,L,0,2023-24
22301015,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,471.4,94.3,461.9,92.4,9.5,1.9,0.545,1.0,13.4,0.218,0.703,0.479,17.143,17.1,0.476,0.518,1.0,0.983,21.0,105.0,87.5,105.0,0.502,W,1,2023-24
22301001,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,610.5,122.1,713.5,142.7,-103.0,-20.6,0.69,2.42,20.0,0.368,0.644,0.49,12.632,12.6,0.531,0.558,1.0,0.974,19.1,95.5,79.58,95.0,0.39,L,0,2023-24
