gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500244,1610612748,Miami,Heat,MIA,heat,240:00,542.5,108.5,538.1,107.6,4.4,0.9,0.644,2.07,19.1,0.298,0.685,0.486,13.208,13.2,0.515,0.539,1.0,0.959,21.1,105.5,87.92,106.0,0.495,W,1,2025-26
22500039,1610612748,Miami,Heat,MIA,heat,240:00,647.1,129.4,686.3,137.3,-39.2,-7.8,0.682,2.73,19.7,0.375,0.583,0.483,10.784,10.8,0.563,0.6,1.0,0.984,20.4,102.0,85.0,102.0,0.465,L,0,2025-26
22500217,1610612748,Miami,Heat,MIA,heat,240:00,537.0,107.4,601.9,120.4,-64.8,-13.0,0.644,1.38,19.3,0.275,0.629,0.469,19.444,19.4,0.559,0.582,1.0,0.983,21.6,108.0,90.0,108.0,0.428,L,0,2025-26
22500201,1610612748,Miami,Heat,MIA,heat,265:00,608.7,121.7,610.6,122.1,-1.9,-0.4,0.696,2.29,19.3,0.352,0.605,0.5,12.174,12.2,0.531,0.603,1.0,0.963,20.65,103.25,86.04,115.0,0.557,W,1,2025-26
22500187,1610612748,Miami,Heat,MIA,heat,240:00,601.8,120.4,579.6,115.9,22.1,4.4,0.755,2.47,22.4,0.288,0.603,0.461,13.274,13.3,0.563,0.608,1.0,0.969,22.6,113.0,94.17,113.0,0.584,W,1,2025-26
22500033,1610612748,Miami,Heat,MIA,heat,240:00,588.8,117.8,519.2,103.8,69.6,13.9,0.608,3.88,21.1,0.184,0.629,0.432,7.477,7.5,0.576,0.599,1.0,0.966,21.1,105.5,87.92,107.0,0.591,W,1,2025-26
22500178,1610612748,Miami,Heat,MIA,heat,240:00,528.3,105.7,575.5,115.1,-47.2,-9.4,0.684,1.73,18.6,0.16,0.583,0.391,14.151,14.2,0.523,0.577,1.0,0.974,21.2,106.0,88.33,106.0,0.454,L,0,2025-26
22500164,1610612748,Miami,Heat,MIA,heat,240:00,582.5,116.5,583.3,116.7,-0.8,-0.2,0.733,2.06,22.9,0.19,0.681,0.449,15.534,15.5,0.614,0.641,1.0,0.973,20.5,102.5,85.42,103.0,0.548,W,1,2025-26
22500155,1610612748,Miami,Heat,MIA,heat,240:00,571.4,114.3,607.5,121.5,-36.0,-7.2,0.674,1.93,20.3,0.196,0.692,0.459,14.286,14.3,0.565,0.601,1.0,1.0,21.2,106.0,88.33,105.0,0.462,L,0,2025-26
22500141,1610612748,Miami,Heat,MIA,heat,240:00,510.1,102.0,529.7,105.9,-19.6,-3.9,0.744,2.07,21.2,0.173,0.76,0.461,14.141,14.1,0.517,0.532,1.0,1.0,20.0,100.0,83.33,99.0,0.446,L,0,2025-26
22500124,1610612748,Miami,Heat,MIA,heat,240:00,666.7,133.3,546.7,109.3,119.9,24.0,0.654,3.09,22.4,0.217,0.731,0.49,10.185,10.2,0.646,0.681,1.0,0.983,21.5,107.5,89.58,108.0,0.595,W,1,2025-26
22500108,1610612748,Miami,Heat,MIA,heat,240:00,547.6,109.5,514.4,102.9,33.2,6.6,0.658,1.56,17.5,0.265,0.689,0.5,15.238,15.2,0.536,0.595,1.0,0.958,20.9,104.5,87.08,105.0,0.583,W,1,2025-26
22500094,1610612748,Miami,Heat,MIA,heat,240:00,646.0,129.2,504.4,100.9,141.6,28.3,0.618,1.7,20.5,0.38,0.717,0.564,17.699,17.7,0.632,0.654,1.0,0.977,22.6,113.0,94.17,113.0,0.625,W,1,2025-26
22500081,1610612748,Miami,Heat,MIA,heat,240:00,540.2,108.0,563.1,112.6,-22.9,-4.6,0.591,1.37,17.1,0.283,0.75,0.514,16.964,17.0,0.549,0.588,1.0,0.952,22.3,111.5,92.92,112.0,0.472,L,0,2025-26
