gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500241,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,524.8,105.0,584.2,116.8,-59.4,-11.9,0.667,1.73,18.4,0.263,0.789,0.474,14.851,14.9,0.511,0.532,1.0,0.983,20.2,101.0,84.17,101.0,0.407,L,0,2025-26
22500231,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,479.8,96.0,613.4,122.7,-133.6,-26.7,0.625,1.18,14.9,0.288,0.692,0.462,17.172,17.2,0.494,0.525,1.0,0.956,19.6,98.0,81.67,99.0,0.334,L,0,2025-26
22500043,1610612749,Milwaukee,Bucks,MIL,bucks,265:00,674.3,134.9,598.2,119.6,76.1,15.2,0.673,1.68,24.5,0.147,0.679,0.471,20.183,20.2,0.765,0.776,1.0,1.0,20.02,100.08,83.4,109.0,0.557,W,1,2025-26
22500213,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,537.6,107.5,590.4,118.1,-52.8,-10.6,0.725,3.22,21.8,0.224,0.51,0.37,9.677,9.7,0.523,0.534,1.0,0.99,18.7,93.5,77.92,93.0,0.441,L,0,2025-26
22500203,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,557.7,111.5,548.1,109.6,9.6,1.9,0.585,1.85,17.0,0.25,0.638,0.455,12.5,12.5,0.527,0.569,1.0,0.983,20.8,104.0,86.67,104.0,0.505,W,1,2025-26
22500191,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,592.8,118.6,635.4,127.1,-42.6,-8.5,0.568,1.92,19.2,0.214,0.488,0.353,13.402,13.4,0.639,0.642,1.0,0.971,19.3,96.5,80.42,97.0,0.472,L,0,2025-26
22500035,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,594.3,118.9,518.9,103.8,75.5,15.1,0.563,2.45,17.9,0.316,0.813,0.543,10.377,10.4,0.544,0.568,1.0,0.976,21.2,106.0,88.33,106.0,0.528,W,1,2025-26
22500165,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,495.0,99.0,640.0,128.0,-145.0,-29.0,0.703,1.73,18.6,0.236,0.714,0.462,14.851,14.9,0.494,0.525,1.0,0.93,20.1,100.5,83.75,101.0,0.359,L,0,2025-26
22500157,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,568.0,113.6,552.9,110.6,15.1,3.0,0.571,1.33,17.0,0.306,0.673,0.5,17.476,17.5,0.591,0.599,1.0,0.983,20.7,103.5,86.25,103.0,0.489,W,1,2025-26
22500142,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,671.7,134.3,681.8,136.4,-10.1,-2.0,0.612,2.73,21.6,0.25,0.63,0.453,11.111,11.1,0.689,0.695,1.0,0.982,19.8,99.0,82.5,99.0,0.485,L,0,2025-26
22500139,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,576.9,115.4,528.8,105.8,48.1,9.6,0.543,1.56,17.4,0.308,0.64,0.471,15.385,15.4,0.578,0.59,1.0,0.95,20.8,104.0,86.67,104.0,0.492,W,1,2025-26
22500125,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,623.7,124.7,572.2,114.4,51.5,10.3,0.628,2.08,20.6,0.184,0.643,0.457,13.402,13.4,0.633,0.676,1.0,0.981,19.4,97.0,80.83,97.0,0.571,W,1,2025-26
22500107,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,548.5,109.7,572.8,114.6,-24.3,-4.9,0.625,1.39,18.2,0.222,0.653,0.447,17.476,17.5,0.589,0.619,1.0,0.973,20.6,103.0,85.83,103.0,0.496,L,0,2025-26
22500092,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,586.5,117.3,552.4,110.5,34.2,6.8,0.532,1.32,16.9,0.373,0.745,0.559,18.269,18.3,0.6,0.604,1.0,0.976,20.9,104.5,87.08,104.0,0.518,W,1,2025-26
22500086,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,621.5,124.3,560.7,112.1,60.7,12.1,0.62,3.88,21.2,0.154,0.724,0.455,7.477,7.5,0.602,0.625,1.0,0.983,21.4,107.0,89.17,107.0,0.559,W,1,2025-26
