gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401192,1610612749,Milwaukee,Bucks,MIL,bucks,265:00,642.2,128.4,610.1,122.0,32.1,6.4,0.6,1.43,20.5,0.184,0.678,0.485,19.266,19.3,0.715,0.732,1.0,0.974,19.74,98.72,82.26,109.0,0.527,W,1,2024-25
22401171,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,625.0,125.0,595.0,119.0,30.0,6.0,0.698,4.29,20.5,0.302,0.731,0.514,7.0,7.0,0.548,0.59,1.0,0.983,20.0,100.0,83.33,100.0,0.542,W,1,2024-25
22401161,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,635.5,127.1,518.7,103.7,116.8,23.4,0.551,2.25,19.1,0.149,0.714,0.456,11.215,11.2,0.644,0.659,1.0,0.982,21.4,107.0,89.17,107.0,0.59,W,1,2024-25
22401152,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,585.1,117.0,547.9,109.6,37.2,7.4,0.675,2.25,19.9,0.313,0.714,0.515,12.766,12.8,0.548,0.579,1.0,0.972,18.8,94.0,78.33,94.0,0.547,W,1,2024-25
22400617,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,555.0,111.0,535.0,107.0,20.0,4.0,0.674,4.14,20.6,0.231,0.764,0.505,7.0,7.0,0.527,0.546,1.0,0.982,20.0,100.0,83.33,100.0,0.532,W,1,2024-25
22401131,1610612749,Milwaukee,Bucks,MIL,bucks,265:00,570.8,114.2,542.5,108.5,28.3,5.7,0.644,3.22,20.7,0.109,0.733,0.462,8.491,8.5,0.563,0.606,1.0,0.973,19.2,96.0,80.0,106.0,0.57,W,1,2024-25
22401115,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,656.3,131.3,588.5,117.7,67.7,13.5,0.696,2.91,23.4,0.225,0.673,0.472,11.458,11.5,0.659,0.671,1.0,0.981,19.2,96.0,80.0,96.0,0.563,W,1,2024-25
22401101,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,678.6,135.7,640.6,128.1,37.9,7.6,0.627,1.6,23.5,0.25,0.625,0.5,20.408,20.4,0.804,0.825,1.0,0.942,19.4,97.0,80.83,98.0,0.586,W,1,2024-25
22401083,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,596.2,119.2,697.1,139.4,-101.0,-20.2,0.538,1.5,15.2,0.283,0.667,0.479,13.462,13.5,0.549,0.614,1.0,0.974,20.8,104.0,86.67,104.0,0.399,L,0,2024-25
22401070,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,563.2,112.6,604.2,120.8,-41.0,-8.2,0.585,1.5,19.4,0.132,0.667,0.43,16.842,16.8,0.633,0.642,1.0,1.0,19.1,95.5,79.58,95.0,0.438,L,0,2024-25
22401057,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,590.9,118.2,635.0,127.0,-44.1,-8.8,0.652,2.73,21.9,0.174,0.711,0.44,11.111,11.1,0.607,0.618,1.0,0.991,19.9,99.5,82.92,99.0,0.453,L,0,2024-25
22401043,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,582.4,116.5,587.0,117.4,-4.5,-0.9,0.649,3.43,19.0,0.235,0.644,0.427,7.692,7.7,0.518,0.553,1.0,1.0,18.3,91.5,76.25,91.0,0.488,L,0,2024-25
22401027,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,626.4,125.3,587.0,117.4,39.4,7.9,0.5,2.2,17.5,0.302,0.627,0.479,10.989,11.0,0.601,0.614,1.0,0.981,18.3,91.5,76.25,91.0,0.538,W,1,2024-25
22400996,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,608.2,121.6,458.8,91.8,149.5,29.9,0.6,2.67,18.0,0.245,0.68,0.465,9.278,9.3,0.542,0.596,1.0,0.982,19.4,97.0,80.83,97.0,0.648,W,1,2024-25
22401012,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,484.4,96.9,541.7,108.3,-57.3,-11.5,0.613,1.9,15.8,0.1,0.717,0.396,10.417,10.4,0.468,0.512,1.0,0.97,19.2,96.0,80.0,96.0,0.437,L,0,2024-25
22400982,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,541.2,108.2,617.3,123.5,-76.1,-15.2,0.636,2.33,16.2,0.218,0.689,0.43,9.278,9.3,0.476,0.538,1.0,0.982,19.5,97.5,81.25,97.0,0.388,L,0,2024-25
22400972,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,623.8,124.8,595.0,119.0,28.8,5.8,0.651,1.65,20.4,0.222,0.736,0.528,16.832,16.8,0.639,0.697,1.0,0.954,20.1,100.5,83.75,101.0,0.563,W,1,2024-25
22400955,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,611.7,122.3,519.6,103.9,92.0,18.4,0.732,2.5,20.8,0.224,0.846,0.545,11.65,11.7,0.576,0.627,1.0,0.965,20.5,102.5,85.42,103.0,0.632,W,1,2024-25
22400942,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,575.8,115.2,586.7,117.3,-11.0,-2.2,0.744,2.13,22.7,0.25,0.87,0.567,15.152,15.2,0.595,0.617,1.0,0.982,19.7,98.5,82.08,99.0,0.491,L,0,2024-25
22400922,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,505.1,101.0,560.0,112.0,-54.9,-11.0,0.436,0.94,12.6,0.352,0.706,0.524,18.182,18.2,0.478,0.505,1.0,0.992,19.9,99.5,82.92,99.0,0.434,L,0,2024-25
22400917,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,573.7,114.7,584.2,116.8,-10.5,-2.1,0.415,1.31,14.4,0.158,0.833,0.513,13.684,13.7,0.62,0.64,1.0,0.96,19.0,95.0,79.17,95.0,0.524,L,0,2024-25
22400897,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,652.4,130.5,514.4,102.9,138.0,27.6,0.558,1.71,20.0,0.289,0.842,0.621,16.19,16.2,0.674,0.704,1.0,0.983,20.9,104.5,87.08,105.0,0.623,W,1,2024-25
22400884,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,577.3,115.5,560.2,112.0,17.1,3.4,0.551,1.8,18.0,0.26,0.793,0.546,13.636,13.6,0.568,0.598,1.0,0.959,21.8,109.0,90.83,110.0,0.525,W,1,2024-25
22400865,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,647.1,129.4,573.5,114.7,73.5,14.7,0.75,2.54,21.9,0.356,0.769,0.577,12.745,12.7,0.58,0.645,1.0,0.983,20.4,102.0,85.0,102.0,0.605,W,1,2024-25
22400846,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,565.4,113.1,518.5,103.7,46.9,9.4,0.595,2.27,17.9,0.157,0.712,0.455,10.28,10.3,0.544,0.591,1.0,0.991,21.5,107.5,89.58,107.0,0.54,W,1,2024-25
