gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500246,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,550.5,110.1,444.4,88.9,106.0,21.2,0.614,1.59,17.3,0.351,0.807,0.579,15.596,15.6,0.526,0.556,1.0,0.961,21.7,108.5,90.42,109.0,0.696,W,1,2025-26
22500232,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,549.0,109.8,597.1,119.4,-48.1,-9.6,0.561,1.77,17.3,0.17,0.702,0.436,12.745,12.7,0.523,0.571,1.0,0.982,20.5,102.5,85.42,102.0,0.432,L,0,2025-26
22500044,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,596.2,119.2,523.8,104.8,72.3,14.5,0.667,1.56,18.4,0.385,0.69,0.545,17.308,17.3,0.558,0.598,1.0,0.976,20.9,104.5,87.08,104.0,0.56,W,1,2025-26
22500205,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,582.5,116.5,559.4,111.9,23.1,4.6,0.595,2.27,18.0,0.25,0.655,0.472,10.68,10.7,0.528,0.592,1.0,0.974,20.4,102.0,85.0,103.0,0.55,W,1,2025-26
22500197,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,679.2,135.8,551.9,110.4,127.4,25.5,0.538,2.55,19.2,0.277,0.704,0.505,10.377,10.4,0.629,0.669,1.0,0.975,21.2,106.0,88.33,106.0,0.61,W,1,2025-26
22500036,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,640.2,128.0,457.5,91.5,182.6,36.5,0.64,1.52,20.4,0.409,0.71,0.585,19.626,19.6,0.665,0.686,1.0,0.968,21.3,106.5,88.75,107.0,0.689,W,1,2025-26
22500175,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,593.8,118.8,706.2,141.2,-112.4,-22.5,0.75,1.76,21.9,0.273,0.5,0.391,17.708,17.7,0.596,0.63,1.0,0.991,19.3,96.5,80.42,96.0,0.426,L,0,2025-26
22500156,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,637.8,127.6,567.7,113.5,70.0,14.0,0.75,1.94,22.1,0.439,0.639,0.559,17.347,17.3,0.654,0.669,1.0,0.948,19.4,97.0,80.83,98.0,0.624,W,1,2025-26
22500143,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,610.0,122.0,519.8,104.0,90.2,18.0,0.66,3.1,23.0,0.098,0.736,0.457,10.0,10.0,0.638,0.655,1.0,0.99,20.1,100.5,83.75,100.0,0.58,W,1,2025-26
22500136,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,580.8,116.2,591.8,118.4,-11.0,-2.2,0.732,1.67,20.8,0.326,0.659,0.483,18.182,18.2,0.591,0.627,1.0,0.956,19.7,98.5,82.08,99.0,0.481,L,0,2025-26
22500008,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,564.4,112.9,616.5,123.3,-52.1,-10.4,0.475,1.27,14.5,0.234,0.644,0.435,14.851,14.9,0.529,0.583,1.0,0.982,20.4,102.0,85.0,101.0,0.431,L,0,2025-26
22500110,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,558.8,111.8,544.6,108.9,14.3,2.9,0.487,1.36,13.8,0.327,0.655,0.5,13.725,13.7,0.524,0.568,1.0,0.958,20.3,101.5,84.58,102.0,0.535,W,1,2025-26
22500019,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,585.1,117.0,688.2,137.6,-103.1,-20.6,0.585,2.0,17.5,0.373,0.735,0.518,12.766,12.8,0.54,0.566,1.0,0.965,18.7,93.5,77.92,94.0,0.386,L,0,2025-26
22500089,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,561.9,112.4,553.4,110.7,8.5,1.7,0.5,1.11,14.9,0.306,0.667,0.495,18.095,18.1,0.576,0.611,1.0,0.958,20.8,104.0,86.67,105.0,0.511,W,1,2025-26
