gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500247,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,545.0,109.0,630.0,126.0,-85.0,-17.0,0.5,0.95,15.4,0.356,0.587,0.473,22.0,22.0,0.558,0.589,1.0,0.974,20.0,100.0,83.33,100.0,0.398,L,0,2025-26
22500237,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,509.6,101.9,601.9,120.4,-92.3,-18.5,0.579,1.05,15.5,0.32,0.608,0.465,20.192,20.2,0.506,0.553,1.0,0.967,20.7,103.5,86.25,104.0,0.438,L,0,2025-26
22500045,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,495.2,99.0,572.8,114.6,-77.6,-15.5,0.615,1.2,16.7,0.296,0.767,0.505,19.048,19.0,0.506,0.537,1.0,0.967,20.8,104.0,86.67,105.0,0.398,L,0,2025-26
22500219,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,615.8,123.2,651.0,130.2,-35.3,-7.1,0.651,2.8,20.3,0.306,0.703,0.477,10.526,10.5,0.544,0.584,1.0,0.991,19.1,95.5,79.58,95.0,0.447,L,0,2025-26
22500204,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,500.0,100.0,605.0,121.0,-105.0,-21.0,0.529,0.9,13.6,0.314,0.651,0.468,20.408,20.4,0.47,0.519,1.0,0.991,19.8,99.0,82.5,98.0,0.345,L,0,2025-26
22500188,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,595.0,119.0,630.0,126.0,-35.0,-7.0,0.6,2.25,18.9,0.314,0.714,0.495,12.0,12.0,0.559,0.586,1.0,0.966,20.0,100.0,83.33,100.0,0.452,L,0,2025-26
22500177,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,505.0,101.0,500.0,100.0,5.0,1.0,0.462,1.13,13.3,0.315,0.75,0.536,16.0,16.0,0.484,0.515,1.0,0.949,19.9,99.5,82.92,100.0,0.52,W,1,2025-26
22500168,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,574.3,114.9,560.0,112.0,14.3,2.9,0.628,2.08,18.9,0.288,0.6,0.433,12.871,12.9,0.572,0.59,1.0,0.957,20.1,100.5,83.75,101.0,0.522,W,1,2025-26
22500148,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,524.8,105.0,691.9,138.4,-167.2,-33.4,0.743,1.53,18.1,0.321,0.744,0.5,16.832,16.8,0.538,0.563,1.0,0.941,20.0,100.0,83.33,101.0,0.339,L,0,2025-26
22500027,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,626.3,125.3,636.4,127.3,-10.1,-2.0,0.7,1.87,19.9,0.311,0.721,0.511,15.152,15.2,0.59,0.647,1.0,0.982,19.8,99.0,82.5,99.0,0.49,L,0,2025-26
22500134,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,449.0,89.8,616.2,123.2,-167.2,-33.4,0.531,1.21,13.1,0.25,0.651,0.417,14.286,14.3,0.418,0.45,1.0,0.982,19.7,98.5,82.08,98.0,0.269,L,0,2025-26
22500117,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,478.7,95.7,642.1,128.4,-163.4,-32.7,0.607,1.21,13.3,0.293,0.551,0.411,14.894,14.9,0.387,0.467,1.0,0.973,18.9,94.5,78.75,94.0,0.312,L,0,2025-26
22500095,1610612740,New Orleans,Pelicans,NOP,pelicans,265:00,552.4,110.5,560.7,112.1,-8.4,-1.7,0.571,1.6,16.1,0.339,0.533,0.437,14.286,14.3,0.485,0.528,1.0,0.976,19.2,96.0,80.0,105.0,0.479,L,0,2025-26
22500085,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,564.8,113.0,587.2,117.4,-22.3,-4.5,0.444,1.33,13.4,0.368,0.744,0.53,13.889,13.9,0.51,0.546,1.0,0.984,21.7,108.5,90.42,108.0,0.456,L,0,2025-26
