gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401196,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,495.0,99.0,575.0,115.0,-80.0,-16.0,0.629,1.69,15.8,0.298,0.644,0.474,12.871,12.9,0.423,0.48,1.0,0.983,20.1,100.5,83.75,101.0,0.455,L,0,2024-25
22401177,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,490.6,98.1,715.0,143.0,-224.4,-44.9,0.711,1.8,18.4,0.237,0.633,0.417,14.151,14.2,0.474,0.501,1.0,0.975,21.3,106.5,88.75,106.0,0.305,L,0,2024-25
22401161,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,518.7,103.7,635.5,127.1,-116.8,-23.4,0.683,1.75,18.7,0.286,0.851,0.544,14.953,15.0,0.505,0.532,1.0,0.992,21.4,107.0,89.17,107.0,0.41,L,0,2024-25
22401150,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,553.4,110.7,583.3,116.7,-29.9,-6.0,0.667,1.53,18.6,0.261,0.791,0.517,16.505,16.5,0.549,0.596,1.0,0.991,20.5,102.5,85.42,103.0,0.48,L,0,2024-25
22400617,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,535.0,107.0,555.0,111.0,-20.0,-4.0,0.721,2.58,21.5,0.236,0.769,0.495,12.0,12.0,0.516,0.529,1.0,0.982,20.0,100.0,83.33,100.0,0.468,L,0,2024-25
22401126,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,568.4,113.7,652.6,130.5,-84.2,-16.8,0.675,1.59,19.6,0.348,0.692,0.506,17.895,17.9,0.573,0.589,1.0,0.973,19.0,95.0,79.17,95.0,0.424,L,0,2024-25
22401111,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,505.2,101.0,593.8,118.8,-88.6,-17.7,0.674,1.71,21.0,0.273,0.872,0.554,17.526,17.5,0.529,0.545,1.0,0.954,19.3,96.5,80.42,97.0,0.434,L,0,2024-25
22401085,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,475.7,95.1,456.3,91.3,19.4,3.9,0.632,1.41,16.9,0.268,0.738,0.513,16.505,16.5,0.462,0.493,1.0,0.983,20.6,103.0,85.83,103.0,0.531,W,1,2024-25
22401072,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,500.0,100.0,584.2,116.8,-84.2,-16.8,0.727,1.5,17.6,0.333,0.61,0.482,16.842,16.8,0.451,0.509,1.0,0.973,19.0,95.0,79.17,95.0,0.43,L,0,2024-25
22401041,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,589.5,117.9,526.6,105.3,62.9,12.6,0.837,2.12,24.2,0.4,0.741,0.586,17.895,17.9,0.58,0.604,1.0,0.965,18.9,94.5,78.75,95.0,0.612,W,1,2024-25
22401029,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,670.1,134.0,693.9,138.8,-23.8,-4.8,0.714,1.94,24.0,0.378,0.636,0.519,18.557,18.6,0.694,0.706,1.0,0.973,19.5,97.5,81.25,97.0,0.494,L,0,2024-25
22401016,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,474.5,94.9,676.8,135.4,-202.3,-40.5,0.588,0.77,15.9,0.243,0.659,0.462,26.531,26.5,0.581,0.599,1.0,0.972,19.7,98.5,82.08,98.0,0.315,L,0,2024-25
22401001,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,607.1,121.4,586.7,117.3,20.4,4.1,0.596,1.87,19.4,0.36,0.745,0.546,15.306,15.3,0.601,0.603,1.0,0.966,19.6,98.0,81.67,98.0,0.51,W,1,2024-25
22400987,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,405.0,81.0,641.4,128.3,-236.4,-47.3,0.643,1.06,13.2,0.311,0.675,0.455,17.0,17.0,0.355,0.408,1.0,0.975,19.9,99.5,82.92,100.0,0.229,L,0,2024-25
22400973,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,575.0,115.0,595.0,119.0,-20.0,-4.0,0.739,1.89,22.5,0.37,0.804,0.598,18.0,18.0,0.565,0.594,1.0,0.957,20.0,100.0,83.33,100.0,0.508,L,0,2024-25
22401141,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,511.0,102.2,620.9,124.2,-109.9,-22.0,0.657,1.77,18.3,0.267,0.69,0.471,14.286,14.3,0.487,0.527,1.0,0.971,18.2,91.0,75.83,91.0,0.417,L,0,2024-25
22400943,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,648.0,129.6,600.0,120.0,48.0,9.6,0.723,1.79,23.1,0.395,0.735,0.586,19.388,19.4,0.653,0.683,1.0,0.991,19.8,99.0,82.5,98.0,0.533,W,1,2024-25
22400923,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,541.7,108.3,569.1,113.8,-27.5,-5.5,0.686,1.71,17.6,0.321,0.525,0.429,14.583,14.6,0.488,0.537,1.0,0.982,19.0,95.0,79.17,96.0,0.487,L,0,2024-25
22400913,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,573.5,114.7,722.8,144.6,-149.2,-29.8,0.604,2.07,19.1,0.382,0.565,0.465,13.725,13.7,0.545,0.552,1.0,0.967,20.3,101.5,84.58,102.0,0.384,L,0,2024-25
22400902,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,500.0,100.0,556.1,111.2,-56.1,-11.2,0.548,1.13,12.9,0.333,0.714,0.5,15.464,15.5,0.428,0.497,1.0,0.991,19.5,97.5,81.25,97.0,0.393,L,0,2024-25
22400890,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,580.8,116.2,693.9,138.8,-113.1,-22.6,0.63,3.22,20.4,0.28,0.568,0.415,9.091,9.1,0.543,0.562,1.0,0.973,19.7,98.5,82.08,99.0,0.423,L,0,2024-25
22400872,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,627.5,125.5,593.1,118.6,34.3,6.9,0.66,3.18,22.7,0.346,0.712,0.529,10.784,10.8,0.593,0.594,1.0,0.992,20.4,102.0,85.0,102.0,0.533,W,1,2024-25
22400857,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,574.5,114.9,664.9,133.0,-90.4,-18.1,0.636,1.87,20.4,0.348,0.706,0.5,15.957,16.0,0.569,0.577,1.0,0.982,18.8,94.0,78.33,94.0,0.432,L,0,2024-25
22400848,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,645.8,129.2,597.9,119.6,47.9,9.6,0.5,4.17,17.9,0.328,0.686,0.495,6.25,6.3,0.563,0.567,1.0,0.991,19.3,96.5,80.42,96.0,0.502,W,1,2024-25
22400833,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,534.3,106.9,504.9,101.0,29.4,5.9,0.61,1.32,16.8,0.379,0.672,0.526,18.627,18.6,0.473,0.519,1.0,0.992,20.4,102.0,85.0,102.0,0.525,W,1,2024-25
22400818,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,548.1,109.6,461.5,92.3,86.5,17.3,0.643,1.59,17.8,0.382,0.783,0.605,16.346,16.3,0.505,0.541,1.0,0.976,20.8,104.0,86.67,104.0,0.59,W,1,2024-25
22400803,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,495.2,99.0,538.8,107.8,-43.6,-8.7,0.658,1.79,17.2,0.286,0.792,0.532,13.462,13.5,0.457,0.5,1.0,0.975,20.7,103.5,86.25,104.0,0.456,L,0,2024-25
22400785,1610612740,New Orleans,Pelicans,NOP,pelicans,265:00,625.0,125.0,588.5,117.7,36.5,7.3,0.696,3.2,21.2,0.163,0.6,0.412,8.929,8.9,0.614,0.654,1.0,0.992,20.38,101.89,84.91,112.0,0.538,W,1,2024-25
22400777,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,572.2,114.4,607.1,121.4,-35.0,-7.0,0.636,3.11,20.1,0.269,0.66,0.461,9.278,9.3,0.511,0.545,1.0,0.982,19.5,97.5,81.25,97.0,0.458,L,0,2024-25
22400761,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,500.0,100.0,665.0,133.0,-165.0,-33.0,0.528,0.83,14.0,0.314,0.708,0.505,22.772,22.8,0.5,0.535,1.0,0.991,20.4,102.0,85.0,101.0,0.327,L,0,2024-25
22400750,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,531.5,106.3,554.1,110.8,-22.5,-4.5,0.628,1.69,18.6,0.143,0.717,0.441,14.414,14.4,0.556,0.584,1.0,0.983,22.2,111.0,92.5,111.0,0.483,L,0,2024-25
22400726,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,566.7,113.3,699.0,139.8,-132.4,-26.5,0.605,2.36,18.1,0.25,0.674,0.442,10.476,10.5,0.516,0.57,1.0,0.966,20.8,104.0,86.67,105.0,0.4,L,0,2024-25
22400706,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,594.7,118.9,664.9,133.0,-70.2,-14.0,0.711,2.7,19.6,0.308,0.673,0.485,10.526,10.5,0.534,0.578,1.0,0.973,18.9,94.5,78.75,95.0,0.429,L,0,2024-25
22400683,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,557.7,111.5,572.8,114.6,-15.1,-3.0,0.364,0.8,11.9,0.306,0.867,0.574,19.231,19.2,0.572,0.59,1.0,0.958,20.7,103.5,86.25,104.0,0.431,L,0,2024-25
22400670,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,660.2,132.0,658.7,131.7,1.5,0.3,0.608,3.88,21.2,0.255,0.565,0.409,7.767,7.8,0.609,0.643,1.0,0.991,20.7,103.5,86.25,103.0,0.514,L,0,2024-25
22400654,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,500.0,100.0,538.1,107.6,-38.1,-7.6,0.538,1.62,15.3,0.218,0.672,0.457,12.5,12.5,0.472,0.509,1.0,0.983,20.9,104.5,87.08,104.0,0.476,L,0,2024-25
22400637,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,455.4,91.1,615.0,123.0,-159.6,-31.9,0.656,1.62,15.7,0.222,0.727,0.449,12.871,12.9,0.429,0.482,1.0,0.973,20.1,100.5,83.75,101.0,0.357,L,0,2024-25
22400632,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,630.0,126.0,702.0,140.4,-72.0,-14.4,0.667,2.31,21.1,0.325,0.6,0.471,13.0,13.0,0.627,0.649,1.0,0.973,19.9,99.5,82.92,100.0,0.46,L,0,2024-25
