gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500244,1610612752,New York,Knicks,NYK,knicks,240:00,538.1,107.6,542.5,108.5,-4.4,-0.9,0.535,1.35,15.9,0.315,0.702,0.514,16.19,16.2,0.505,0.54,1.0,0.975,21.1,105.5,87.92,105.0,0.505,L,0,2025-26
22500039,1610612752,New York,Knicks,NYK,knicks,240:00,686.3,137.3,647.1,129.4,39.2,7.8,0.667,4.0,20.3,0.417,0.625,0.517,7.843,7.8,0.563,0.6,1.0,0.984,20.4,102.0,85.0,102.0,0.535,W,1,2025-26
22500215,1610612752,New York,Knicks,NYK,knicks,240:00,529.7,105.9,607.8,121.6,-78.1,-15.6,0.513,1.43,15.0,0.24,0.617,0.423,13.861,13.9,0.506,0.545,1.0,0.982,20.3,101.5,84.58,101.0,0.39,L,0,2025-26
22500208,1610612752,New York,Knicks,NYK,knicks,240:00,604.5,120.9,540.5,108.1,64.0,12.8,0.745,2.33,22.0,0.259,0.814,0.505,13.636,13.6,0.592,0.623,1.0,0.976,22.1,110.5,92.08,110.0,0.522,W,1,2025-26
22500192,1610612752,New York,Knicks,NYK,knicks,240:00,705.3,141.1,510.4,102.1,194.8,39.0,0.646,2.21,21.4,0.442,0.647,0.553,14.737,14.7,0.635,0.667,1.0,0.991,19.1,95.5,79.58,95.0,0.684,W,1,2025-26
22500175,1610612752,New York,Knicks,NYK,knicks,240:00,706.2,141.2,593.8,118.8,112.4,22.5,0.582,2.29,21.1,0.5,0.727,0.609,14.433,14.4,0.632,0.646,1.0,0.992,19.3,96.5,80.42,97.0,0.574,W,1,2025-26
22500159,1610612752,New York,Knicks,NYK,knicks,240:00,583.3,116.7,500.0,100.0,83.3,16.7,0.727,2.67,21.8,0.25,0.83,0.525,11.765,11.8,0.548,0.579,1.0,0.983,20.4,102.0,85.0,102.0,0.578,W,1,2025-26
22500153,1610612752,New York,Knicks,NYK,knicks,240:00,633.7,126.7,574.3,114.9,59.4,11.9,0.721,2.82,20.8,0.327,0.74,0.529,10.891,10.9,0.558,0.611,1.0,0.983,20.2,101.0,84.17,101.0,0.552,W,1,2025-26
22500023,1610612752,New York,Knicks,NYK,knicks,240:00,637.8,127.6,681.8,136.4,-44.1,-8.8,0.6,2.25,19.4,0.3,0.707,0.484,12.245,12.2,0.593,0.618,1.0,1.0,19.7,98.5,82.08,98.0,0.424,L,0,2025-26
22500125,1610612752,New York,Knicks,NYK,knicks,240:00,572.2,114.4,623.7,124.7,-51.5,-10.3,0.615,1.85,17.0,0.357,0.816,0.543,13.402,13.4,0.495,0.543,1.0,0.974,19.4,97.0,80.83,97.0,0.429,L,0,2025-26
22500108,1610612752,New York,Knicks,NYK,knicks,240:00,514.4,102.9,547.6,109.5,-33.2,-6.6,0.605,1.44,15.8,0.311,0.735,0.5,15.385,15.4,0.464,0.499,1.0,0.984,20.9,104.5,87.08,104.0,0.417,L,0,2025-26
22500018,1610612752,New York,Knicks,NYK,knicks,240:00,564.5,112.9,505.3,101.1,59.2,11.8,0.697,1.15,16.3,0.455,0.765,0.604,21.505,21.5,0.483,0.541,1.0,0.949,18.7,93.5,77.92,93.0,0.562,W,1,2025-26
22500003,1610612752,New York,Knicks,NYK,knicks,240:00,566.7,113.3,528.6,105.7,38.1,7.6,0.595,1.57,15.9,0.245,0.837,0.541,13.333,13.3,0.512,0.584,1.0,0.983,21.0,105.0,87.5,105.0,0.564,W,1,2025-26
