gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401188,1610612752,New York,Knicks,NYK,knicks,240:00,576.5,115.3,541.2,108.2,35.3,7.1,0.73,2.25,19.4,0.275,0.8,0.505,12.245,12.2,0.523,0.58,1.0,0.964,19.5,97.5,81.25,98.0,0.54,W,1,2024-25
22401175,1610612752,New York,Knicks,NYK,knicks,240:00,548.4,109.7,574.5,114.9,-26.1,-5.2,0.611,2.0,16.8,0.296,0.667,0.458,11.828,11.8,0.5,0.527,1.0,0.963,18.7,93.5,77.92,93.0,0.438,L,0,2024-25
22401167,1610612752,New York,Knicks,NYK,knicks,240:00,557.9,111.6,611.7,122.3,-53.8,-10.8,0.762,1.88,21.8,0.4,0.676,0.517,17.895,17.9,0.528,0.551,1.0,0.948,18.9,94.5,78.75,95.0,0.495,L,0,2024-25
22401151,1610612752,New York,Knicks,NYK,knicks,265:00,573.5,114.7,583.3,116.7,-9.8,-2.0,0.583,2.55,18.8,0.357,0.76,0.547,10.784,10.8,0.53,0.541,1.0,0.983,18.48,92.38,76.98,102.0,0.509,L,0,2024-25
22401140,1610612752,New York,Knicks,NYK,knicks,240:00,589.5,117.9,521.3,104.3,68.2,13.6,0.7,1.87,21.4,0.229,0.667,0.494,15.789,15.8,0.622,0.662,1.0,0.961,18.9,94.5,78.75,95.0,0.627,W,1,2024-25
22401128,1610612752,New York,Knicks,NYK,knicks,240:00,623.7,124.7,535.7,107.1,88.0,17.6,0.711,2.29,23.2,0.225,0.729,0.5,14.433,14.4,0.625,0.655,1.0,0.981,19.5,97.5,81.25,97.0,0.579,W,1,2024-25
22401103,1610612752,New York,Knicks,NYK,knicks,240:00,552.6,110.5,639.2,127.8,-86.5,-17.3,0.6,1.5,17.5,0.353,0.533,0.438,16.842,16.8,0.506,0.539,1.0,0.982,19.2,96.0,80.0,95.0,0.408,L,0,2024-25
22401098,1610612752,New York,Knicks,NYK,knicks,240:00,541.2,108.2,474.0,94.8,67.3,13.5,0.639,1.21,16.4,0.392,0.673,0.53,19.588,19.6,0.494,0.544,1.0,0.974,19.3,96.5,80.42,97.0,0.551,W,1,2024-25
22401082,1610612752,New York,Knicks,NYK,knicks,240:00,585.1,117.0,494.7,98.9,90.4,18.1,0.6,1.8,20.3,0.293,0.736,0.543,15.957,16.0,0.595,0.613,1.0,0.972,18.8,94.0,78.33,94.0,0.612,W,1,2024-25
22401070,1610612752,New York,Knicks,NYK,knicks,240:00,604.2,120.8,563.2,112.6,41.0,8.2,0.622,3.11,20.1,0.333,0.868,0.57,9.375,9.4,0.548,0.58,1.0,0.973,19.1,95.5,79.58,96.0,0.562,W,1,2024-25
22401056,1610612752,New York,Knicks,NYK,knicks,240:00,607.5,121.5,684.8,137.0,-77.3,-15.5,0.833,3.5,25.0,0.283,0.711,0.495,10.753,10.8,0.577,0.603,1.0,0.971,18.5,92.5,77.08,93.0,0.476,L,0,2024-25
22401048,1610612752,New York,Knicks,NYK,knicks,240:00,633.7,126.7,548.5,109.7,85.1,17.0,0.755,2.67,26.7,0.237,0.821,0.532,14.851,14.9,0.652,0.66,1.0,0.991,20.4,102.0,85.0,101.0,0.579,W,1,2024-25
22401026,1610612752,New York,Knicks,NYK,knicks,240:00,581.0,116.2,490.5,98.1,90.5,18.1,0.659,1.81,19.5,0.327,0.736,0.539,15.238,15.2,0.555,0.593,1.0,0.975,21.0,105.0,87.5,105.0,0.62,W,1,2024-25
22401010,1610612752,New York,Knicks,NYK,knicks,240:00,510.4,102.1,599.0,119.8,-88.5,-17.7,0.722,3.71,19.3,0.232,0.711,0.446,7.292,7.3,0.456,0.496,1.0,0.972,19.2,96.0,80.0,96.0,0.437,L,0,2024-25
22401003,1610612752,New York,Knicks,NYK,knicks,240:00,546.9,109.4,631.6,126.3,-84.7,-16.9,0.718,2.55,19.7,0.316,0.604,0.448,11.458,11.5,0.484,0.519,1.0,0.965,19.1,95.5,79.58,96.0,0.444,L,0,2024-25
22400984,1610612752,New York,Knicks,NYK,knicks,240:00,604.2,120.8,489.7,97.9,114.5,22.9,0.638,2.14,21.0,0.354,0.705,0.522,14.583,14.6,0.579,0.594,1.0,0.982,19.3,96.5,80.42,96.0,0.575,W,1,2024-25
22400974,1610612752,New York,Knicks,NYK,knicks,240:00,500.0,100.0,521.5,104.3,-21.5,-4.3,0.541,1.54,15.6,0.28,0.769,0.529,13.83,13.8,0.483,0.512,1.0,0.972,18.7,93.5,77.92,94.0,0.478,L,0,2024-25
22400953,1610612752,New York,Knicks,NYK,knicks,265:00,548.1,109.6,553.9,110.8,-5.8,-1.2,0.614,1.8,18.1,0.358,0.545,0.454,14.423,14.4,0.532,0.554,1.0,0.975,18.66,93.28,77.74,104.0,0.543,W,1,2024-25
22400939,1610612752,New York,Knicks,NYK,knicks,240:00,665.0,133.0,520.0,104.0,145.0,29.0,0.756,2.13,23.0,0.35,0.667,0.527,16.0,16.0,0.667,0.697,1.0,0.974,20.0,100.0,83.33,100.0,0.659,W,1,2024-25
22400911,1610612752,New York,Knicks,NYK,knicks,240:00,484.7,96.9,535.7,107.1,-51.0,-10.2,0.714,1.67,17.7,0.316,0.759,0.532,15.306,15.3,0.434,0.48,1.0,0.983,19.6,98.0,81.67,98.0,0.466,L,0,2024-25
22400903,1610612752,New York,Knicks,NYK,knicks,265:00,514.2,102.8,543.3,108.7,-29.1,-5.8,0.541,1.25,13.7,0.328,0.667,0.482,15.094,15.1,0.447,0.504,1.0,0.952,19.02,95.09,79.25,106.0,0.467,L,0,2024-25
22400885,1610612752,New York,Knicks,NYK,knicks,240:00,525.8,105.2,581.6,116.3,-55.9,-11.2,0.634,1.86,18.7,0.302,0.696,0.485,14.433,14.4,0.489,0.517,1.0,0.982,19.5,97.5,81.25,97.0,0.413,L,0,2024-25
22400869,1610612752,New York,Knicks,NYK,knicks,265:00,580.0,116.0,560.0,112.0,20.0,4.0,0.587,2.08,18.6,0.36,0.86,0.591,13.0,13.0,0.558,0.571,1.0,0.949,18.11,90.57,75.47,100.0,0.5,W,1,2024-25
22400856,1610612752,New York,Knicks,NYK,knicks,240:00,553.4,110.7,559.4,111.9,-6.0,-1.2,0.659,3.22,20.4,0.208,0.58,0.388,8.738,8.7,0.532,0.559,1.0,0.965,20.4,102.0,85.0,103.0,0.509,W,1,2024-25
22400838,1610612752,New York,Knicks,NYK,knicks,240:00,561.2,112.2,535.7,107.1,25.5,5.1,0.55,1.38,16.9,0.263,0.72,0.523,16.327,16.3,0.565,0.613,1.0,0.981,19.6,98.0,81.67,98.0,0.551,W,1,2024-25
22400811,1610612752,New York,Knicks,NYK,knicks,240:00,541.2,108.2,614.6,122.9,-73.3,-14.7,0.525,1.91,16.4,0.25,0.717,0.469,11.34,11.3,0.511,0.542,1.0,1.0,19.3,96.5,80.42,97.0,0.413,L,0,2024-25
22400797,1610612752,New York,Knicks,NYK,knicks,240:00,509.7,101.9,689.3,137.9,-179.6,-35.9,0.595,1.47,18.0,0.255,0.684,0.438,16.505,16.5,0.528,0.542,1.0,0.991,20.6,103.0,85.83,103.0,0.338,L,0,2024-25
