gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500247,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,630.0,126.0,545.0,109.0,85.0,17.0,0.698,1.67,20.3,0.413,0.644,0.527,18.0,18.0,0.592,0.634,1.0,0.975,20.0,100.0,83.33,100.0,0.602,W,1,2025-26
22500229,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,567.7,113.5,500.0,100.0,67.7,13.5,0.578,1.86,19.3,0.298,0.661,0.5,14.583,14.6,0.567,0.584,1.0,0.982,19.2,96.0,80.0,96.0,0.595,W,1,2025-26
22500222,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,593.1,118.6,446.6,89.3,146.5,29.3,0.636,2.55,20.3,0.182,0.755,0.495,10.784,10.8,0.568,0.617,1.0,0.991,20.5,102.5,85.42,102.0,0.668,W,1,2025-26
22500210,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,623.8,124.8,500.0,100.0,123.8,24.8,0.69,1.45,20.1,0.333,0.773,0.558,19.802,19.8,0.602,0.652,1.0,0.974,20.3,101.5,84.58,101.0,0.606,W,1,2025-26
22500194,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,570.0,114.0,505.1,101.0,64.9,13.0,0.463,3.17,14.4,0.25,0.754,0.504,6.0,6.0,0.484,0.536,1.0,0.982,19.9,99.5,82.92,100.0,0.577,W,1,2025-26
22500038,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,628.6,125.7,485.6,97.1,143.0,28.6,0.551,2.45,18.9,0.256,0.772,0.55,10.476,10.5,0.61,0.65,1.0,0.966,20.9,104.5,87.08,105.0,0.668,W,1,2025-26
22500180,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,550.9,110.2,560.2,112.0,-9.3,-1.9,0.632,1.6,16.6,0.268,0.704,0.482,13.889,13.9,0.5,0.569,1.0,0.983,21.6,108.0,90.0,108.0,0.491,L,0,2025-26
22500170,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,636.4,127.3,545.9,109.2,90.4,18.1,0.622,2.55,20.4,0.227,0.702,0.473,11.111,11.1,0.628,0.658,1.0,0.963,19.7,98.5,82.08,99.0,0.583,W,1,2025-26
22500148,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,691.9,138.4,524.8,105.0,167.2,33.4,0.702,2.54,23.2,0.256,0.679,0.5,13.131,13.1,0.679,0.718,1.0,0.972,20.0,100.0,83.33,99.0,0.661,W,1,2025-26
22500140,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,622.5,124.5,534.7,106.9,87.9,17.6,0.659,4.83,19.5,0.321,0.723,0.505,5.882,5.9,0.531,0.576,1.0,0.975,20.3,101.5,84.58,102.0,0.615,W,1,2025-26
22500126,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,524.5,104.9,500.0,100.0,24.5,4.9,0.619,1.73,18.8,0.235,0.78,0.505,14.706,14.7,0.533,0.555,1.0,0.991,20.3,101.5,84.58,102.0,0.528,W,1,2025-26
22500119,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,520.6,104.1,479.6,95.9,41.0,8.2,0.5,1.62,16.0,0.265,0.8,0.56,13.402,13.4,0.5,0.528,1.0,0.991,19.5,97.5,81.25,97.0,0.57,W,1,2025-26
22500101,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,615.8,123.2,520.8,104.2,95.0,19.0,0.488,1.62,15.6,0.373,0.667,0.524,13.684,13.7,0.538,0.577,1.0,0.991,19.1,95.5,79.58,95.0,0.594,W,1,2025-26
22500005,1610612760,Oklahoma City,Thunder,OKC,thunder,290:00,573.2,114.6,540.0,108.0,33.2,6.6,0.395,1.21,11.3,0.179,0.754,0.496,11.382,11.4,0.505,0.6,1.0,0.985,20.52,102.62,85.52,123.0,0.553,W,1,2025-26
22500001,1610612760,Oklahoma City,Thunder,OKC,thunder,290:00,563.1,112.6,539.1,107.8,23.9,4.8,0.63,2.42,18.5,0.283,0.518,0.397,10.811,10.8,0.505,0.543,1.0,0.984,18.7,93.52,77.93,111.0,0.521,W,1,2025-26
