gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401196,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,575.0,115.0,495.0,99.0,80.0,16.0,0.39,1.6,11.7,0.356,0.702,0.526,10.0,10.0,0.464,0.523,1.0,0.992,20.1,100.5,83.75,100.0,0.545,W,1,2024-25
22401181,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,677.6,135.5,513.9,102.8,163.7,32.7,0.732,4.1,26.5,0.152,0.667,0.455,9.346,9.3,0.68,0.686,1.0,1.0,21.5,107.5,89.58,107.0,0.648,W,1,2024-25
22401164,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,618.8,123.8,549.0,109.8,69.8,14.0,0.533,2.0,17.8,0.25,0.771,0.522,11.881,11.9,0.593,0.639,1.0,0.982,20.3,101.5,84.58,101.0,0.545,W,1,2024-25
22401153,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,680.0,136.0,606.1,121.2,73.9,14.8,0.5,3.71,17.8,0.364,0.612,0.481,7.0,7.0,0.587,0.603,1.0,0.967,19.9,99.5,82.92,100.0,0.546,W,1,2024-25
22401135,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,515.6,103.1,663.2,132.6,-147.5,-29.5,0.513,2.86,15.9,0.189,0.667,0.391,7.292,7.3,0.5,0.52,1.0,0.972,19.1,95.5,79.58,96.0,0.399,L,0,2024-25
22401123,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,544.1,108.8,612.7,122.5,-68.6,-13.7,0.558,1.6,17.5,0.229,0.596,0.411,14.706,14.7,0.556,0.581,1.0,0.982,20.4,102.0,85.0,102.0,0.429,L,0,2024-25
22401108,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,577.7,115.5,500.0,100.0,77.7,15.5,0.595,2.5,17.0,0.345,0.667,0.505,9.709,9.7,0.49,0.543,1.0,0.984,20.6,103.0,85.83,103.0,0.622,W,1,2024-25
22401094,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,641.6,128.3,517.7,103.5,123.9,24.8,0.75,2.79,23.8,0.25,0.741,0.51,12.389,12.4,0.648,0.671,1.0,0.976,22.6,113.0,94.17,113.0,0.607,W,1,2024-25
22401079,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,634.6,126.9,528.6,105.7,106.0,21.2,0.542,2.6,18.4,0.234,0.78,0.515,9.615,9.6,0.601,0.634,1.0,0.983,20.9,104.5,87.08,104.0,0.57,W,1,2024-25
22401064,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,601.0,120.2,500.0,100.0,101.0,20.2,0.636,2.33,19.3,0.283,0.851,0.57,11.538,11.5,0.561,0.611,1.0,0.983,20.8,104.0,86.67,104.0,0.583,W,1,2024-25
22401052,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,605.0,121.0,525.0,105.0,80.0,16.0,0.698,1.76,21.4,0.238,0.839,0.582,17.0,17.0,0.64,0.666,1.0,0.964,20.0,100.0,83.33,100.0,0.569,W,1,2024-25
22401036,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,530.9,106.2,520.6,104.1,10.3,2.1,0.757,3.11,20.1,0.268,0.714,0.476,9.278,9.3,0.467,0.511,1.0,0.991,19.4,97.0,80.83,97.0,0.51,W,1,2024-25
22401017,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,726.8,145.4,552.1,110.4,174.7,34.9,0.537,3.22,20.3,0.405,0.837,0.624,9.278,9.3,0.686,0.695,1.0,0.956,19.3,96.5,80.42,97.0,0.614,W,1,2024-25
22401002,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,671.7,134.3,500.0,100.0,171.7,34.3,0.766,2.57,24.0,0.319,0.726,0.55,14.141,14.1,0.656,0.673,1.0,0.974,19.9,99.5,82.92,99.0,0.67,W,1,2024-25
22400982,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,617.3,123.5,541.2,108.2,76.1,15.2,0.652,3.0,21.1,0.311,0.782,0.57,10.204,10.2,0.573,0.605,1.0,0.964,19.5,97.5,81.25,98.0,0.613,W,1,2024-25
22400969,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,538.1,107.6,514.4,102.9,23.7,4.7,0.395,0.94,12.6,0.277,0.833,0.558,17.143,17.1,0.539,0.573,1.0,0.966,20.9,104.5,87.08,105.0,0.504,W,1,2024-25
22400946,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,608.2,121.6,583.3,116.7,24.9,5.0,0.475,1.58,14.4,0.314,0.679,0.5,12.371,12.4,0.567,0.606,1.0,0.973,19.3,96.5,80.42,97.0,0.534,W,1,2024-25
22400936,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,641.4,128.3,707.1,141.4,-65.7,-13.1,0.617,2.64,19.7,0.352,0.706,0.489,11.111,11.1,0.565,0.593,1.0,0.975,19.8,99.0,82.5,99.0,0.432,L,0,2024-25
22400920,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,641.4,128.3,520.2,104.0,121.2,24.2,0.543,5.0,18.4,0.24,0.73,0.513,5.051,5.1,0.559,0.605,1.0,0.982,19.8,99.0,82.5,99.0,0.635,W,1,2024-25
22400908,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,524.5,104.9,432.0,86.4,92.5,18.5,0.641,1.92,18.9,0.111,0.714,0.463,12.745,12.7,0.548,0.585,1.0,0.963,20.5,102.5,85.42,102.0,0.659,W,1,2024-25
22400895,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,571.4,114.3,495.2,99.0,76.2,15.2,0.614,2.45,19.9,0.093,0.741,0.454,10.476,10.5,0.592,0.629,1.0,0.972,20.9,104.5,87.08,105.0,0.577,W,1,2024-25
22400879,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,622.7,124.5,592.6,118.5,30.1,6.0,0.646,2.38,19.7,0.32,0.685,0.51,11.818,11.8,0.582,0.629,1.0,0.968,21.8,109.0,90.83,110.0,0.564,W,1,2024-25
22400871,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,715.7,143.1,647.1,129.4,68.6,13.7,0.618,4.86,22.5,0.319,0.773,0.538,6.863,6.9,0.639,0.665,1.0,0.983,20.4,102.0,85.0,102.0,0.548,W,1,2024-25
