gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500236,1610612753,Orlando,Magic,ORL,magic,265:00,533.0,106.6,557.1,111.4,-24.1,-4.8,0.553,2.63,15.2,0.224,0.633,0.432,7.547,7.5,0.484,0.533,1.0,0.966,19.11,95.55,79.62,106.0,0.496,L,0,2025-26
22500040,1610612753,Orlando,Magic,ORL,magic,240:00,570.7,114.1,532.6,106.5,38.0,7.6,0.583,1.11,16.3,0.378,0.778,0.596,20.652,20.7,0.558,0.602,1.0,0.991,18.4,92.0,76.67,92.0,0.536,W,1,2025-26
22500215,1610612753,Orlando,Magic,ORL,magic,240:00,607.8,121.6,529.7,105.9,78.1,15.6,0.69,1.93,19.5,0.383,0.76,0.577,14.706,14.7,0.558,0.617,1.0,0.967,20.3,101.5,84.58,102.0,0.61,W,1,2025-26
22500200,1610612753,Orlando,Magic,ORL,magic,240:00,580.8,116.2,571.4,114.3,9.4,1.9,0.667,2.0,18.3,0.373,0.764,0.575,13.131,13.1,0.494,0.564,1.0,0.991,19.7,98.5,82.08,99.0,0.564,W,1,2025-26
22500193,1610612753,Orlando,Magic,ORL,magic,240:00,563.2,112.6,578.1,115.6,-15.0,-3.0,0.6,1.24,15.9,0.348,0.68,0.521,17.895,17.9,0.487,0.575,1.0,0.991,19.1,95.5,79.58,95.0,0.504,L,0,2025-26
22500028,1610612753,Orlando,Magic,ORL,magic,240:00,621.2,124.2,555.6,111.1,65.7,13.1,0.683,1.87,20.1,0.261,0.643,0.471,15.152,15.2,0.604,0.643,1.0,0.982,19.8,99.0,82.5,99.0,0.574,W,1,2025-26
22500166,1610612753,Orlando,Magic,ORL,magic,240:00,560.0,112.0,628.7,125.7,-68.7,-13.7,0.722,1.37,18.2,0.354,0.73,0.518,19.0,19.0,0.5,0.574,1.0,0.974,20.1,100.5,83.75,100.0,0.423,L,0,2025-26
22500145,1610612753,Orlando,Magic,ORL,magic,240:00,584.1,116.8,435.2,87.0,148.9,29.8,0.681,1.88,21.1,0.283,0.723,0.541,15.888,15.9,0.576,0.615,1.0,0.975,21.5,107.5,89.58,107.0,0.733,W,1,2025-26
22500138,1610612753,Orlando,Magic,ORL,magic,240:00,640.6,128.1,557.3,111.5,83.3,16.7,0.644,2.23,20.7,0.348,0.636,0.489,13.542,13.5,0.609,0.633,1.0,0.991,19.2,96.0,80.0,96.0,0.572,W,1,2025-26
22500129,1610612753,Orlando,Magic,ORL,magic,240:00,574.3,114.9,681.8,136.4,-107.6,-21.5,0.579,1.29,15.2,0.386,0.571,0.472,16.832,16.8,0.53,0.577,1.0,0.943,20.0,100.0,83.33,101.0,0.39,L,0,2025-26
22500114,1610612753,Orlando,Magic,ORL,magic,240:00,632.7,126.5,686.9,137.4,-54.2,-10.8,0.6,2.08,19.1,0.356,0.596,0.485,13.265,13.3,0.598,0.628,1.0,0.982,19.7,98.5,82.08,98.0,0.494,L,0,2025-26
22500100,1610612753,Orlando,Magic,ORL,magic,240:00,453.7,90.7,514.0,102.8,-60.3,-12.1,0.353,0.6,8.6,0.333,0.792,0.543,18.519,18.5,0.408,0.483,1.0,0.969,21.5,107.5,89.58,108.0,0.396,L,0,2025-26
22500090,1610612753,Orlando,Magic,ORL,magic,240:00,519.4,103.9,549.5,109.9,-30.1,-6.0,0.568,0.95,14.7,0.358,0.745,0.54,21.359,21.4,0.532,0.567,1.0,0.943,20.4,102.0,85.0,103.0,0.434,L,0,2025-26
22500081,1610612753,Orlando,Magic,ORL,magic,240:00,563.1,112.6,540.2,108.0,22.9,4.6,0.548,1.53,15.8,0.25,0.717,0.486,13.514,13.5,0.533,0.593,1.0,0.984,22.3,111.5,92.92,111.0,0.528,W,1,2025-26
