gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401186,1610612753,Orlando,Magic,ORL,magic,240:00,530.3,106.1,590.9,118.2,-60.6,-12.1,0.625,1.67,18.2,0.265,0.738,0.484,15.152,15.2,0.54,0.555,1.0,0.973,19.8,99.0,82.5,99.0,0.462,L,0,2024-25
22401172,1610612753,Orlando,Magic,ORL,magic,240:00,614.3,122.9,542.5,108.5,71.8,14.4,0.653,1.6,21.6,0.282,0.596,0.462,19.048,19.0,0.653,0.684,1.0,0.974,21.1,105.5,87.92,105.0,0.591,W,1,2024-25
22401156,1610612753,Orlando,Magic,ORL,magic,240:00,527.5,105.5,427.0,85.4,100.5,20.1,0.622,2.3,18.0,0.315,0.765,0.533,10.989,11.0,0.495,0.508,1.0,0.99,18.0,90.0,75.0,91.0,0.594,W,1,2024-25
22401149,1610612753,Orlando,Magic,ORL,magic,240:00,613.4,122.7,577.3,115.5,36.1,7.2,0.548,1.64,16.8,0.378,0.6,0.495,14.433,14.4,0.583,0.609,1.0,0.974,19.4,97.0,80.83,97.0,0.561,W,1,2024-25
22401112,1610612753,Orlando,Magic,ORL,magic,240:00,605.6,121.1,544.9,109.0,60.6,12.1,0.711,2.25,20.1,0.362,0.723,0.543,13.333,13.3,0.53,0.586,1.0,0.935,17.9,89.5,74.58,90.0,0.623,W,1,2024-25
22400988,1610612753,Orlando,Magic,ORL,magic,240:00,610.5,122.1,558.5,111.7,52.0,10.4,0.651,2.15,20.4,0.319,0.721,0.511,13.684,13.7,0.578,0.609,1.0,0.954,18.9,94.5,78.75,95.0,0.56,W,1,2024-25
22401091,1610612753,Orlando,Magic,ORL,magic,240:00,467.7,93.5,510.6,102.1,-42.9,-8.6,0.6,1.2,15.1,0.17,0.652,0.409,16.129,16.1,0.441,0.508,1.0,0.98,18.7,93.5,77.92,93.0,0.434,L,0,2024-25
22401074,1610612753,Orlando,Magic,ORL,magic,240:00,623.7,124.7,469.1,93.8,154.6,30.9,0.705,2.21,21.4,0.36,0.776,0.566,14.433,14.4,0.596,0.608,1.0,0.974,19.4,97.0,80.83,97.0,0.646,W,1,2024-25
22401060,1610612753,Orlando,Magic,ORL,magic,240:00,474.2,94.8,520.6,104.1,-46.4,-9.3,0.412,0.82,11.4,0.24,0.814,0.505,17.526,17.5,0.456,0.508,1.0,0.972,19.4,97.0,80.83,97.0,0.415,L,0,2024-25
22401045,1610612753,Orlando,Magic,ORL,magic,240:00,584.2,116.8,553.2,110.6,31.0,6.2,0.537,2.0,16.5,0.333,0.745,0.547,11.579,11.6,0.528,0.564,1.0,0.955,18.9,94.5,78.75,95.0,0.553,W,1,2024-25
22401038,1610612753,Orlando,Magic,ORL,magic,240:00,655.6,131.1,576.1,115.2,79.5,15.9,0.595,2.78,19.2,0.349,0.681,0.522,10.0,10.0,0.582,0.62,1.0,0.99,18.2,91.0,75.83,90.0,0.57,W,1,2024-25
22401014,1610612753,Orlando,Magic,ORL,magic,240:00,600.0,120.0,525.0,105.0,75.0,15.0,0.543,1.92,17.9,0.314,0.778,0.552,13.0,13.0,0.568,0.59,1.0,0.983,20.0,100.0,83.33,100.0,0.56,W,1,2024-25
22400999,1610612753,Orlando,Magic,ORL,magic,240:00,556.7,111.3,604.2,120.8,-47.5,-9.5,0.561,1.92,16.9,0.321,0.636,0.464,12.371,12.4,0.495,0.536,1.0,0.982,19.3,96.5,80.42,97.0,0.452,L,0,2024-25
22400979,1610612753,Orlando,Magic,ORL,magic,240:00,534.7,106.9,515.0,103.0,19.7,3.9,0.618,1.17,15.1,0.34,0.655,0.509,17.822,17.8,0.5,0.563,1.0,0.949,20.1,100.5,83.75,101.0,0.554,W,1,2024-25
22400963,1610612753,Orlando,Magic,ORL,magic,240:00,560.6,112.1,584.2,116.8,-23.6,-4.7,0.45,1.64,14.3,0.18,0.7,0.411,11.111,11.1,0.517,0.562,1.0,1.0,20.0,100.0,83.33,99.0,0.423,L,0,2024-25
22401141,1610612753,Orlando,Magic,ORL,magic,240:00,620.9,124.2,511.0,102.2,109.9,22.0,0.581,2.27,19.4,0.31,0.733,0.529,12.088,12.1,0.596,0.621,1.0,0.952,18.2,91.0,75.83,91.0,0.583,W,1,2024-25
22400934,1610612753,Orlando,Magic,ORL,magic,240:00,461.5,92.3,521.5,104.3,-60.0,-12.0,0.536,1.67,12.4,0.246,0.517,0.378,9.89,9.9,0.372,0.435,1.0,0.991,18.4,92.0,76.67,91.0,0.425,L,0,2024-25
22400917,1610612753,Orlando,Magic,ORL,magic,240:00,584.2,116.8,573.7,114.7,10.5,2.1,0.452,1.9,15.7,0.167,0.842,0.488,10.526,10.5,0.585,0.614,1.0,0.971,19.0,95.0,79.17,95.0,0.476,W,1,2024-25
22400944,1610612753,Orlando,Magic,ORL,magic,240:00,597.1,119.4,612.7,122.5,-15.7,-3.1,0.65,2.17,18.1,0.294,0.622,0.448,11.65,11.7,0.511,0.588,1.0,0.975,20.5,102.5,85.42,103.0,0.507,L,0,2024-25
22400883,1610612753,Orlando,Magic,ORL,magic,240:00,576.5,115.3,587.6,117.5,-11.1,-2.2,0.7,2.0,20.6,0.217,0.625,0.426,14.286,14.3,0.572,0.607,1.0,0.981,19.5,97.5,81.25,98.0,0.499,L,0,2024-25
22400870,1610612753,Orlando,Magic,ORL,magic,240:00,542.6,108.5,559.1,111.8,-16.6,-3.3,0.567,1.21,14.0,0.256,0.667,0.483,14.894,14.9,0.5,0.597,1.0,0.971,18.7,93.5,77.92,94.0,0.5,L,0,2024-25
22400845,1610612753,Orlando,Magic,ORL,magic,240:00,599.0,119.8,636.8,127.4,-37.9,-7.6,0.511,1.28,16.5,0.426,0.689,0.554,18.75,18.8,0.567,0.593,1.0,0.974,19.1,95.5,79.58,96.0,0.463,L,0,2024-25
22400830,1610612753,Orlando,Magic,ORL,magic,240:00,440.9,88.2,663.0,132.6,-222.2,-44.4,0.636,1.75,16.0,0.305,0.757,0.479,12.903,12.9,0.394,0.426,1.0,0.964,18.5,92.5,77.08,93.0,0.298,L,0,2024-25
22400815,1610612753,Orlando,Magic,ORL,magic,240:00,567.0,113.4,463.9,92.8,103.1,20.6,0.625,1.56,17.7,0.385,0.771,0.57,16.495,16.5,0.506,0.552,1.0,0.966,19.4,97.0,80.83,97.0,0.62,W,1,2024-25
22400798,1610612753,Orlando,Magic,ORL,magic,240:00,514.9,103.0,514.7,102.9,0.1,0.0,0.639,1.64,16.3,0.316,0.684,0.5,13.861,13.9,0.46,0.507,1.0,0.983,20.3,101.5,84.58,101.0,0.512,L,0,2024-25
22400790,1610612753,Orlando,Magic,ORL,magic,240:00,575.8,115.2,545.5,109.1,30.3,6.1,0.366,1.88,11.8,0.265,0.662,0.491,8.081,8.1,0.518,0.56,1.0,0.973,19.8,99.0,82.5,99.0,0.568,W,1,2024-25
22400770,1610612753,Orlando,Magic,ORL,magic,240:00,548.4,109.7,462.4,92.5,86.0,17.2,0.595,2.0,16.5,0.316,0.816,0.547,11.828,11.8,0.489,0.519,1.0,0.955,18.6,93.0,77.5,93.0,0.561,W,1,2024-25
22400756,1610612753,Orlando,Magic,ORL,magic,240:00,535.4,107.1,554.5,110.9,-19.1,-3.8,0.595,1.22,16.9,0.205,0.8,0.488,18.182,18.2,0.551,0.598,1.0,0.972,20.0,100.0,83.33,99.0,0.448,L,0,2024-25
22400743,1610612753,Orlando,Magic,ORL,magic,240:00,577.3,115.5,572.2,114.4,5.2,1.0,0.422,1.27,14.4,0.362,0.865,0.583,15.464,15.5,0.568,0.579,1.0,0.982,19.4,97.0,80.83,97.0,0.454,W,1,2024-25
22400730,1610612753,Orlando,Magic,ORL,magic,240:00,459.2,91.8,565.7,113.1,-106.5,-21.3,0.677,1.5,15.8,0.25,0.644,0.426,14.286,14.3,0.399,0.463,1.0,0.982,19.7,98.5,82.08,98.0,0.387,L,0,2024-25
