gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500243,1610612755,Philadelphia,76ers,PHI,sixers,239:60,578.9,115.8,568.4,113.7,10.5,2.1,0.667,2.89,19.1,0.288,0.769,0.529,9.474,9.5,0.53,0.566,1.0,0.964,19.0,95.0,79.17,95.0,0.545,W,1,2025-26
22500041,1610612755,Philadelphia,76ers,PHI,sixers,240:00,525.0,105.0,575.8,115.2,-50.8,-10.2,0.487,1.27,14.1,0.314,0.717,0.519,15.0,15.0,0.511,0.543,1.0,0.966,19.9,99.5,82.92,100.0,0.434,L,0,2025-26
22500209,1610612755,Philadelphia,76ers,PHI,sixers,240:00,542.6,108.5,531.9,106.4,10.6,2.1,0.667,2.67,18.8,0.196,0.672,0.45,9.574,9.6,0.512,0.552,1.0,0.971,18.8,94.0,78.33,94.0,0.501,W,1,2025-26
22500195,1610612755,Philadelphia,76ers,PHI,sixers,240:00,545.5,109.1,555.0,111.0,-9.5,-1.9,0.611,1.1,15.7,0.373,0.745,0.551,20.202,20.2,0.5,0.561,1.0,0.983,19.9,99.5,82.92,99.0,0.478,L,0,2025-26
22500184,1610612755,Philadelphia,76ers,PHI,sixers,240:00,637.3,127.5,588.2,117.6,49.0,9.8,0.633,2.21,20.1,0.412,0.736,0.577,13.725,13.7,0.563,0.6,1.0,0.976,20.4,102.0,85.0,102.0,0.558,W,1,2025-26
22500171,1610612755,Philadelphia,76ers,PHI,sixers,240:00,581.7,116.3,628.6,125.7,-46.8,-9.4,0.591,1.37,17.2,0.412,0.674,0.532,18.269,18.3,0.556,0.586,1.0,0.968,20.9,104.5,87.08,104.0,0.432,L,0,2025-26
22500167,1610612755,Philadelphia,76ers,PHI,sixers,240:00,549.5,109.9,553.9,110.8,-4.4,-0.9,0.55,1.38,15.5,0.339,0.633,0.476,15.842,15.8,0.484,0.531,1.0,0.992,20.3,101.5,84.58,101.0,0.452,L,0,2025-26
22500149,1610612755,Philadelphia,76ers,PHI,sixers,240:00,632.4,126.5,514.7,102.9,117.6,23.5,0.68,2.27,22.2,0.354,0.63,0.5,14.706,14.7,0.599,0.623,1.0,0.983,20.4,102.0,85.0,102.0,0.597,W,1,2025-26
22500021,1610612755,Philadelphia,76ers,PHI,sixers,240:00,556.7,111.3,561.9,112.4,-5.2,-1.0,0.73,1.5,19.9,0.267,0.65,0.486,18.557,18.6,0.558,0.595,1.0,0.982,19.4,97.0,80.83,97.0,0.533,L,0,2025-26
22500123,1610612755,Philadelphia,76ers,PHI,sixers,265:00,626.1,125.2,598.2,119.6,27.9,5.6,0.578,1.86,16.6,0.356,0.645,0.504,12.613,12.6,0.535,0.598,1.0,0.992,20.2,100.98,84.15,111.0,0.528,W,1,2025-26
22500114,1610612755,Philadelphia,76ers,PHI,sixers,240:00,686.9,137.4,632.7,126.5,54.2,10.8,0.521,3.57,17.2,0.404,0.644,0.515,7.071,7.1,0.567,0.612,1.0,0.967,19.7,98.5,82.08,99.0,0.506,W,1,2025-26
22500102,1610612755,Philadelphia,76ers,PHI,sixers,240:00,601.0,120.2,587.4,117.5,13.6,2.7,0.707,1.93,19.3,0.327,0.66,0.495,14.423,14.4,0.575,0.618,1.0,0.959,20.7,103.5,86.25,104.0,0.522,W,1,2025-26
22500083,1610612755,Philadelphia,76ers,PHI,sixers,240:00,585.0,117.0,580.0,116.0,5.0,1.0,0.59,1.64,16.7,0.306,0.706,0.51,14.0,14.0,0.553,0.596,1.0,0.983,20.0,100.0,83.33,100.0,0.511,W,1,2025-26
