gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500239,1610612756,Phoenix,Suns,PHX,suns,240:00,598.0,119.6,607.8,121.6,-9.8,-2.0,0.489,1.35,15.8,0.415,0.744,0.563,16.667,16.7,0.536,0.579,1.0,0.976,20.4,102.0,85.0,102.0,0.459,L,0,2025-26
22500226,1610612756,Phoenix,Suns,PHX,suns,240:00,678.6,135.7,500.0,100.0,178.6,35.7,0.388,1.73,14.8,0.282,0.656,0.51,11.224,11.2,0.653,0.686,1.0,0.982,19.6,98.0,81.67,98.0,0.656,W,1,2025-26
22500221,1610612756,Phoenix,Suns,PHX,suns,240:00,585.7,117.1,542.9,108.6,42.9,8.6,0.705,2.58,20.4,0.291,0.739,0.495,11.429,11.4,0.537,0.578,1.0,0.975,21.0,105.0,87.5,105.0,0.524,W,1,2025-26
22500204,1610612756,Phoenix,Suns,PHX,suns,240:00,605.0,121.0,500.0,100.0,105.0,21.0,0.744,1.61,20.3,0.349,0.686,0.532,18.0,18.0,0.622,0.66,1.0,0.965,19.8,99.0,82.5,100.0,0.655,W,1,2025-26
22500190,1610612756,Phoenix,Suns,PHX,suns,240:00,633.3,126.7,578.7,115.7,54.7,10.9,0.75,2.14,21.6,0.422,0.816,0.602,15.556,15.6,0.578,0.618,1.0,0.945,17.9,89.5,74.58,90.0,0.546,W,1,2025-26
22500182,1610612756,Phoenix,Suns,PHX,suns,240:00,605.3,121.1,525.8,105.2,79.5,15.9,0.659,1.69,18.9,0.389,0.667,0.52,16.842,16.8,0.549,0.573,1.0,0.991,19.2,96.0,80.0,95.0,0.533,W,1,2025-26
22500169,1610612756,Phoenix,Suns,PHX,suns,240:00,535.0,107.0,602.0,120.4,-67.0,-13.4,0.625,1.47,17.2,0.385,0.791,0.568,17.0,17.0,0.505,0.546,1.0,0.958,19.8,99.0,82.5,100.0,0.45,L,0,2025-26
22500154,1610612756,Phoenix,Suns,PHX,suns,240:00,637.3,127.5,572.8,114.6,64.4,12.9,0.739,1.7,23.6,0.235,0.625,0.478,19.608,19.6,0.703,0.733,1.0,0.991,20.5,102.5,85.42,102.0,0.581,W,1,2025-26
22500025,1610612756,Phoenix,Suns,PHX,suns,240:00,578.4,115.7,475.2,95.0,103.2,20.6,0.698,2.5,20.7,0.255,0.709,0.491,11.765,11.8,0.566,0.596,1.0,0.939,20.3,101.5,84.58,102.0,0.633,W,1,2025-26
22500137,1610612756,Phoenix,Suns,PHX,suns,240:00,533.0,106.6,537.7,107.5,-4.7,-0.9,0.61,1.19,17.6,0.234,0.776,0.51,19.811,19.8,0.57,0.604,1.0,0.966,21.2,106.0,88.33,106.0,0.474,L,0,2025-26
22500120,1610612756,Phoenix,Suns,PHX,suns,265:00,587.7,117.5,605.3,121.1,-17.5,-3.5,0.822,2.64,21.1,0.381,0.492,0.438,12.281,12.3,0.519,0.56,1.0,0.971,20.65,103.25,86.04,114.0,0.507,L,0,2025-26
22500104,1610612756,Phoenix,Suns,PHX,suns,240:00,528.6,105.7,627.4,125.5,-98.8,-19.8,0.632,1.2,16.7,0.294,0.667,0.462,19.048,19.0,0.528,0.568,1.0,0.967,21.1,105.5,87.92,105.0,0.356,L,0,2025-26
22500099,1610612756,Phoenix,Suns,PHX,suns,240:00,525.8,105.2,664.9,133.0,-139.2,-27.8,0.622,1.28,16.5,0.333,0.697,0.467,18.557,18.6,0.5,0.528,1.0,0.983,19.4,97.0,80.83,97.0,0.326,L,0,2025-26
22500088,1610612756,Phoenix,Suns,PHX,suns,240:00,588.2,117.6,580.0,116.0,8.2,1.6,0.511,1.44,15.4,0.444,0.686,0.562,15.686,15.7,0.526,0.559,1.0,0.96,20.2,101.0,84.17,102.0,0.503,W,1,2025-26
