gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401200,1610612756,Phoenix,Suns,PHX,suns,240:00,544.4,108.9,605.6,121.1,-61.1,-12.2,0.7,2.15,21.9,0.239,0.69,0.455,14.444,14.4,0.565,0.566,1.0,0.98,18.0,90.0,75.0,90.0,0.436,L,0,2024-25
22401182,1610612756,Phoenix,Suns,PHX,suns,240:00,596.9,119.4,500.0,100.0,96.9,19.4,0.614,2.45,19.4,0.288,0.788,0.538,11.224,11.2,0.563,0.586,1.0,0.991,19.6,98.0,81.67,98.0,0.579,W,1,2024-25
22401164,1610612756,Phoenix,Suns,PHX,suns,240:00,549.0,109.8,618.8,123.8,-69.8,-14.0,0.738,2.07,21.7,0.229,0.75,0.478,14.706,14.7,0.569,0.587,1.0,0.964,20.3,101.5,84.58,102.0,0.455,L,0,2024-25
22401154,1610612756,Phoenix,Suns,PHX,suns,240:00,470.3,94.1,645.6,129.1,-175.3,-35.1,0.629,1.16,16.2,0.241,0.538,0.387,18.812,18.8,0.466,0.502,1.0,1.0,20.4,102.0,85.0,101.0,0.329,L,0,2024-25
22401140,1610612756,Phoenix,Suns,PHX,suns,240:00,521.3,104.3,589.5,117.9,-68.2,-13.6,0.513,1.67,15.2,0.333,0.771,0.506,12.766,12.8,0.446,0.488,1.0,0.991,18.9,94.5,78.75,94.0,0.373,L,0,2024-25
22401120,1610612756,Phoenix,Suns,PHX,suns,240:00,553.8,110.8,654.3,130.9,-100.5,-20.1,0.585,3.0,18.5,0.241,0.727,0.459,8.602,8.6,0.505,0.526,1.0,0.972,18.7,93.5,77.92,93.0,0.41,L,0,2024-25
22401101,1610612756,Phoenix,Suns,PHX,suns,240:00,640.6,128.1,678.6,135.7,-37.9,-7.6,0.591,1.86,18.6,0.375,0.75,0.5,14.583,14.6,0.576,0.607,1.0,0.991,19.4,97.0,80.83,96.0,0.414,L,0,2024-25
22401088,1610612756,Phoenix,Suns,PHX,suns,240:00,519.0,103.8,718.4,143.7,-199.4,-39.9,0.595,1.32,17.7,0.261,0.652,0.457,18.095,18.1,0.54,0.577,1.0,0.974,20.8,104.0,86.67,105.0,0.356,L,0,2024-25
22401071,1610612756,Phoenix,Suns,PHX,suns,240:00,579.8,116.0,652.6,130.5,-72.8,-14.6,0.683,1.75,21.5,0.2,0.651,0.434,17.021,17.0,0.633,0.643,1.0,0.99,18.9,94.5,78.75,94.0,0.435,L,0,2024-25
22401058,1610612756,Phoenix,Suns,PHX,suns,240:00,531.3,106.3,687.5,137.5,-156.3,-31.3,0.611,1.57,16.7,0.283,0.644,0.449,14.583,14.6,0.489,0.53,1.0,0.982,19.2,96.0,80.0,96.0,0.351,L,0,2024-25
22401043,1610612756,Phoenix,Suns,PHX,suns,240:00,587.0,117.4,582.4,116.5,4.5,0.9,0.641,1.56,18.9,0.356,0.765,0.573,17.391,17.4,0.561,0.601,1.0,0.981,18.3,91.5,76.25,92.0,0.512,W,1,2024-25
22401021,1610612756,Phoenix,Suns,PHX,suns,240:00,640.6,128.1,583.3,116.7,57.3,11.5,0.688,2.2,22.8,0.364,0.704,0.551,15.625,15.6,0.625,0.644,1.0,0.964,19.2,96.0,80.0,96.0,0.544,W,1,2024-25
22401007,1610612756,Phoenix,Suns,PHX,suns,240:00,628.7,125.7,605.0,121.0,23.7,4.7,0.723,3.09,22.4,0.333,0.818,0.558,10.891,10.9,0.568,0.606,1.0,0.975,20.1,100.5,83.75,101.0,0.534,W,1,2024-25
