gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500238,1610612757,Portland,Trail Blazers,POR,blazers,265:00,593.8,118.8,616.1,123.2,-22.3,-4.5,0.565,2.17,15.4,0.443,0.647,0.529,10.714,10.7,0.469,0.523,1.0,0.965,20.29,101.43,84.53,112.0,0.431,L,0,2025-26
22500042,1610612757,Portland,Trail Blazers,POR,blazers,240:00,580.0,116.0,693.1,138.6,-113.1,-22.6,0.429,0.9,13.1,0.377,0.6,0.491,20.0,20.0,0.545,0.575,1.0,1.0,20.1,100.5,83.75,100.0,0.369,L,0,2025-26
22500219,1610612757,Portland,Trail Blazers,POR,blazers,240:00,651.0,130.2,615.8,123.2,35.3,7.1,0.542,2.0,19.5,0.297,0.694,0.523,13.542,13.5,0.657,0.691,1.0,0.963,19.1,95.5,79.58,96.0,0.553,W,1,2025-26
22500200,1610612757,Portland,Trail Blazers,POR,blazers,240:00,571.4,114.3,580.8,116.2,-9.4,-1.9,0.55,2.2,16.5,0.236,0.627,0.425,10.204,10.2,0.517,0.552,1.0,0.973,19.7,98.5,82.08,98.0,0.436,L,0,2025-26
22500187,1610612757,Portland,Trail Blazers,POR,blazers,240:00,579.6,115.9,601.8,120.4,-22.1,-4.4,0.592,1.45,17.4,0.397,0.712,0.539,17.699,17.7,0.514,0.55,1.0,0.986,22.6,113.0,94.17,113.0,0.416,L,0,2025-26
22500180,1610612757,Portland,Trail Blazers,POR,blazers,240:00,560.2,112.0,550.9,110.2,9.3,1.9,0.667,1.33,16.2,0.296,0.732,0.518,16.667,16.7,0.517,0.593,1.0,0.96,21.6,108.0,90.0,108.0,0.509,W,1,2025-26
22500163,1610612757,Portland,Trail Blazers,POR,blazers,240:00,569.3,113.9,608.9,121.8,-39.6,-7.9,0.548,1.28,16.3,0.375,0.714,0.518,17.822,17.8,0.547,0.586,1.0,0.983,20.2,101.0,84.17,101.0,0.445,L,0,2025-26
22500026,1610612757,Portland,Trail Blazers,POR,blazers,240:00,550.5,110.1,545.9,109.2,4.6,0.9,0.684,2.0,17.9,0.368,0.659,0.495,13.131,13.1,0.478,0.521,1.0,0.966,19.7,98.5,82.08,99.0,0.486,W,1,2025-26
22500135,1610612757,Portland,Trail Blazers,POR,blazers,240:00,618.2,123.6,603.6,120.7,14.6,2.9,0.739,1.89,20.7,0.392,0.58,0.485,16.364,16.4,0.589,0.63,1.0,0.962,22.1,110.5,92.08,110.0,0.489,W,1,2025-26
22500122,1610612757,Portland,Trail Blazers,POR,blazers,240:00,575.5,115.1,500.0,100.0,75.5,15.1,0.511,1.26,15.6,0.429,0.625,0.519,17.925,17.9,0.524,0.557,1.0,0.985,21.4,107.0,89.17,106.0,0.56,W,1,2025-26
22500112,1610612757,Portland,Trail Blazers,POR,blazers,240:00,524.5,104.9,553.4,110.7,-28.9,-5.8,0.706,1.5,16.2,0.355,0.722,0.49,15.686,15.7,0.429,0.5,1.0,0.992,20.5,102.5,85.42,102.0,0.41,L,0,2025-26
22500097,1610612757,Portland,Trail Blazers,POR,blazers,240:00,631.8,126.4,536.0,107.2,95.8,19.2,0.6,1.58,19.7,0.295,0.66,0.484,17.273,17.3,0.624,0.668,1.0,0.992,22.1,110.5,92.08,110.0,0.573,W,1,2025-26
22500089,1610612757,Portland,Trail Blazers,POR,blazers,240:00,553.4,110.7,561.9,112.4,-8.5,-1.7,0.694,1.56,17.1,0.333,0.694,0.505,15.534,15.5,0.472,0.541,1.0,0.992,20.8,104.0,86.67,103.0,0.489,L,0,2025-26
