gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401199,1610612757,Portland,Trail Blazers,POR,blazers,240:00,598.9,119.8,445.1,89.0,153.8,30.8,0.643,1.69,18.2,0.492,0.627,0.554,17.582,17.6,0.516,0.518,1.0,0.967,18.2,91.0,75.83,91.0,0.616,W,1,2024-25
22401183,1610612757,Portland,Trail Blazers,POR,blazers,240:00,421.6,84.3,504.9,101.0,-83.3,-16.7,0.656,0.95,15.0,0.304,0.788,0.537,21.569,21.6,0.412,0.454,1.0,0.983,20.4,102.0,85.0,102.0,0.387,L,0,2024-25
22401162,1610612757,Portland,Trail Blazers,POR,blazers,265:00,538.5,107.7,568.4,113.7,-29.9,-6.0,0.563,1.59,16.9,0.295,0.646,0.45,14.53,14.5,0.514,0.542,1.0,0.992,21.19,105.96,88.3,117.0,0.449,L,0,2024-25
22401139,1610612757,Portland,Trail Blazers,POR,blazers,240:00,560.7,112.1,509.3,101.9,51.4,10.3,0.595,1.67,17.5,0.234,0.714,0.495,14.019,14.0,0.556,0.595,1.0,0.983,21.4,107.0,89.17,107.0,0.559,W,1,2024-25
22401122,1610612757,Portland,Trail Blazers,POR,blazers,240:00,528.0,105.6,541.3,108.3,-13.2,-2.6,0.523,4.6,15.1,0.297,0.735,0.472,4.673,4.7,0.43,0.46,1.0,1.0,21.6,108.0,90.0,107.0,0.427,L,0,2024-25
22401116,1610612757,Portland,Trail Blazers,POR,blazers,240:00,554.5,110.9,509.9,102.0,44.6,8.9,0.476,0.8,14.1,0.467,0.704,0.596,24.752,24.8,0.547,0.591,1.0,0.943,20.2,101.0,84.17,101.0,0.559,W,1,2024-25
22401097,1610612757,Portland,Trail Blazers,POR,blazers,240:00,577.3,115.5,513.6,102.7,63.6,12.7,0.638,1.76,18.3,0.4,0.712,0.545,15.455,15.5,0.519,0.553,1.0,0.985,22.0,110.0,91.67,110.0,0.551,W,1,2024-25
22401082,1610612757,Portland,Trail Blazers,POR,blazers,240:00,494.7,98.9,585.1,117.0,-90.4,-18.1,0.5,1.36,15.0,0.264,0.707,0.457,14.894,14.9,0.489,0.499,1.0,0.981,18.8,94.0,78.33,94.0,0.388,L,0,2024-25
22401066,1610612757,Portland,Trail Blazers,POR,blazers,240:00,551.5,110.3,659.8,132.0,-108.2,-21.6,0.657,1.92,16.9,0.315,0.607,0.415,12.371,12.4,0.489,0.538,1.0,0.973,19.4,97.0,80.83,97.0,0.376,L,0,2024-25
22401051,1610612757,Portland,Trail Blazers,POR,blazers,240:00,572.2,114.4,635.4,127.1,-63.3,-12.7,0.7,2.8,18.8,0.406,0.675,0.51,10.309,10.3,0.485,0.506,1.0,0.983,19.3,96.5,80.42,97.0,0.437,L,0,2024-25
