gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500234,1610612758,Sacramento,Kings,SAC,kings,240:00,544.6,108.9,597.1,119.4,-52.5,-10.5,0.61,2.08,18.7,0.167,0.733,0.441,11.881,11.9,0.54,0.569,1.0,0.991,20.4,102.0,85.0,101.0,0.423,L,0,2025-26
22500044,1610612758,Sacramento,Kings,SAC,kings,240:00,523.8,104.8,596.2,119.2,-72.3,-14.5,0.78,2.13,20.6,0.31,0.615,0.455,14.286,14.3,0.505,0.524,1.0,0.967,20.9,104.5,87.08,105.0,0.44,L,0,2025-26
22500223,1610612758,Sacramento,Kings,SAC,kings,240:00,463.0,92.6,610.1,122.0,-147.1,-29.4,0.611,1.1,15.4,0.232,0.718,0.432,18.519,18.5,0.467,0.5,1.0,0.975,21.7,108.5,90.42,108.0,0.286,L,0,2025-26
22500212,1610612758,Sacramento,Kings,SAC,kings,240:00,562.5,112.5,628.9,125.8,-66.4,-13.3,0.756,3.1,22.5,0.239,0.609,0.424,10.417,10.4,0.541,0.568,1.0,0.991,19.3,96.5,80.42,96.0,0.445,L,0,2025-26
22500197,1610612758,Sacramento,Kings,SAC,kings,240:00,551.9,110.4,679.2,135.8,-127.4,-25.5,0.625,1.39,17.1,0.296,0.723,0.495,16.981,17.0,0.517,0.564,1.0,0.983,21.2,106.0,88.33,106.0,0.39,L,0,2025-26
22500038,1610612758,Sacramento,Kings,SAC,kings,240:00,485.6,97.1,628.6,125.7,-143.0,-28.6,0.711,1.59,18.8,0.228,0.744,0.45,16.346,16.3,0.495,0.512,1.0,0.974,20.9,104.5,87.08,104.0,0.332,L,0,2025-26
22500181,1610612758,Sacramento,Kings,SAC,kings,240:00,565.4,113.1,547.2,109.4,18.3,3.7,0.659,1.69,18.8,0.239,0.75,0.51,14.953,15.0,0.56,0.62,1.0,0.983,21.3,106.5,88.75,107.0,0.549,W,1,2025-26
22500162,1610612758,Sacramento,Kings,SAC,kings,240:00,579.4,115.9,607.5,121.5,-28.0,-5.6,0.574,1.8,18.5,0.255,0.788,0.535,14.019,14.0,0.572,0.614,1.0,0.966,21.4,107.0,89.17,107.0,0.463,L,0,2025-26
22500142,1610612758,Sacramento,Kings,SAC,kings,240:00,681.8,136.4,671.7,134.3,10.1,2.0,0.667,3.0,20.5,0.37,0.75,0.547,10.101,10.1,0.575,0.645,1.0,0.966,19.8,99.0,82.5,99.0,0.515,W,1,2025-26
22500132,1610612758,Sacramento,Kings,SAC,kings,240:00,559.4,111.9,630.0,126.0,-70.6,-14.1,0.651,2.8,20.7,0.143,0.667,0.414,9.901,9.9,0.567,0.605,1.0,0.972,20.1,100.5,83.75,101.0,0.465,L,0,2025-26
22500126,1610612758,Sacramento,Kings,SAC,kings,240:00,500.0,100.0,524.5,104.9,-24.5,-4.9,0.583,1.24,15.9,0.22,0.765,0.495,16.832,16.8,0.482,0.536,1.0,1.0,20.3,101.5,84.58,101.0,0.472,L,0,2025-26
22500113,1610612758,Sacramento,Kings,SAC,kings,240:00,555.6,111.1,593.5,118.7,-37.9,-7.6,0.6,1.69,17.5,0.322,0.698,0.48,14.815,14.8,0.535,0.551,1.0,0.961,21.5,107.5,89.58,108.0,0.422,L,0,2025-26
22500098,1610612758,Sacramento,Kings,SAC,kings,240:00,541.2,108.2,525.3,105.1,16.0,3.2,0.575,1.77,18.4,0.109,0.633,0.379,13.402,13.4,0.566,0.586,1.0,1.0,19.6,98.0,81.67,97.0,0.496,W,1,2025-26
22500088,1610612758,Sacramento,Kings,SAC,kings,240:00,580.0,116.0,588.2,117.6,-8.2,-1.6,0.511,1.85,17.1,0.314,0.556,0.438,13.0,13.0,0.548,0.557,1.0,1.0,20.2,101.0,84.17,100.0,0.497,L,0,2025-26
