gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401200,1610612758,Sacramento,Kings,SAC,kings,240:00,605.6,121.1,544.4,108.9,61.1,12.2,0.674,2.38,23.1,0.31,0.761,0.545,14.444,14.4,0.602,0.61,1.0,0.961,18.0,90.0,75.0,90.0,0.564,W,1,2024-25
22401184,1610612758,Sacramento,Kings,SAC,kings,240:00,537.6,107.5,554.9,111.0,-17.3,-3.5,0.622,2.09,17.6,0.306,0.805,0.533,11.828,11.8,0.494,0.541,1.0,0.954,18.4,92.0,76.67,93.0,0.501,L,0,2024-25
22401165,1610612758,Sacramento,Kings,SAC,kings,240:00,617.0,123.4,659.6,131.9,-42.6,-8.5,0.581,3.13,18.8,0.28,0.667,0.469,8.511,8.5,0.554,0.583,1.0,0.991,18.8,94.0,78.33,94.0,0.429,L,0,2024-25
22401144,1610612758,Sacramento,Kings,SAC,kings,240:00,675.5,135.1,615.8,123.2,59.7,11.9,0.426,1.67,14.8,0.447,0.673,0.566,12.766,12.8,0.577,0.617,1.0,0.974,18.9,94.5,78.75,94.0,0.529,W,1,2024-25
22401138,1610612758,Sacramento,Kings,SAC,kings,240:00,625.0,125.0,582.5,116.5,42.5,8.5,0.568,1.47,18.8,0.3,0.66,0.494,17.708,17.7,0.622,0.654,1.0,0.972,19.3,96.5,80.42,96.0,0.525,W,1,2024-25
22401118,1610612758,Sacramento,Kings,SAC,kings,240:00,644.3,128.9,531.3,106.3,113.1,22.6,0.578,3.25,19.0,0.286,0.679,0.49,8.247,8.2,0.582,0.618,1.0,0.964,19.3,96.5,80.42,97.0,0.598,W,1,2024-25
22401105,1610612758,Sacramento,Kings,SAC,kings,240:00,555.0,111.0,585.9,117.2,-30.9,-6.2,0.625,2.27,17.2,0.362,0.814,0.554,11.0,11.0,0.474,0.517,1.0,0.983,19.9,99.5,82.92,100.0,0.485,L,0,2024-25
22401090,1610612758,Sacramento,Kings,SAC,kings,240:00,534.3,106.9,549.5,109.9,-15.2,-3.0,0.512,1.83,16.1,0.25,0.813,0.52,11.765,11.8,0.533,0.548,1.0,0.965,20.3,101.5,84.58,102.0,0.467,L,0,2024-25
22401074,1610612758,Sacramento,Kings,SAC,kings,240:00,469.1,93.8,623.7,124.7,-154.6,-30.9,0.5,1.06,13.7,0.224,0.64,0.434,16.495,16.5,0.463,0.507,1.0,0.991,19.4,97.0,80.83,97.0,0.354,L,0,2024-25
22401066,1610612758,Sacramento,Kings,SAC,kings,240:00,659.8,132.0,551.5,110.3,108.2,21.6,0.5,1.14,18.3,0.393,0.685,0.585,21.649,21.6,0.716,0.745,1.0,0.981,19.4,97.0,80.83,97.0,0.624,W,1,2024-25
22401052,1610612758,Sacramento,Kings,SAC,kings,240:00,525.0,105.0,605.0,121.0,-80.0,-16.0,0.865,2.91,22.7,0.161,0.762,0.418,11.0,11.0,0.533,0.545,1.0,0.982,20.0,100.0,83.33,100.0,0.431,L,0,2024-25
22401044,1610612758,Sacramento,Kings,SAC,kings,240:00,494.8,99.0,570.7,114.1,-75.9,-15.2,0.59,1.53,18.0,0.184,0.75,0.475,15.625,15.6,0.5,0.523,1.0,0.99,19.5,97.5,81.25,96.0,0.432,L,0,2024-25
22401027,1610612758,Sacramento,Kings,SAC,kings,240:00,587.0,117.4,626.4,125.3,-39.4,-7.9,0.512,2.63,16.2,0.373,0.698,0.521,8.696,8.7,0.5,0.536,1.0,0.991,18.3,91.5,76.25,92.0,0.462,L,0,2024-25
22401013,1610612758,Sacramento,Kings,SAC,kings,240:00,591.8,118.4,659.8,132.0,-68.0,-13.6,0.659,2.25,20.0,0.261,0.643,0.443,12.245,12.2,0.564,0.603,1.0,0.981,19.5,97.5,81.25,98.0,0.436,L,0,2024-25
22401009,1610612758,Sacramento,Kings,SAC,kings,240:00,634.0,126.8,607.1,121.4,26.9,5.4,0.609,2.15,20.0,0.326,0.795,0.541,13.402,13.4,0.593,0.627,1.0,0.973,19.5,97.5,81.25,97.0,0.5,W,1,2024-25
22400992,1610612758,Sacramento,Kings,SAC,kings,240:00,634.6,126.9,586.5,117.3,48.1,9.6,0.761,2.5,23.0,0.277,0.674,0.473,13.462,13.5,0.636,0.652,1.0,0.966,20.8,104.0,86.67,104.0,0.532,W,1,2024-25
22400967,1610612758,Sacramento,Kings,SAC,kings,240:00,552.1,110.4,648.9,129.8,-96.9,-19.4,0.625,1.32,18.4,0.357,0.769,0.556,19.792,19.8,0.543,0.59,1.0,0.973,19.0,95.0,79.17,96.0,0.418,L,0,2024-25
22400957,1610612758,Sacramento,Kings,SAC,kings,240:00,525.3,105.1,670.1,134.0,-144.9,-29.0,0.676,1.67,18.9,0.178,0.743,0.425,15.152,15.2,0.557,0.586,1.0,0.953,19.6,98.0,81.67,99.0,0.386,L,0,2024-25
22400939,1610612758,Sacramento,Kings,SAC,kings,240:00,520.0,104.0,665.0,133.0,-145.0,-29.0,0.5,1.0,13.3,0.333,0.65,0.473,18.0,18.0,0.477,0.534,1.0,0.966,20.0,100.0,83.33,100.0,0.341,L,0,2024-25
22400927,1610612758,Sacramento,Kings,SAC,kings,265:00,550.0,110.0,566.3,113.3,-16.3,-3.3,0.675,3.38,19.6,0.224,0.911,0.553,8.0,8.0,0.511,0.561,1.0,0.964,17.93,89.66,74.72,100.0,0.525,L,0,2024-25
22400910,1610612758,Sacramento,Kings,SAC,kings,240:00,668.4,133.7,579.8,116.0,88.6,17.7,0.633,3.88,21.4,0.388,0.774,0.588,8.421,8.4,0.599,0.608,1.0,0.982,18.9,94.5,78.75,95.0,0.581,W,1,2024-25
22400896,1610612758,Sacramento,Kings,SAC,kings,240:00,561.2,112.2,580.0,116.0,-18.8,-3.8,0.5,1.83,16.2,0.302,0.673,0.48,12.245,12.2,0.516,0.538,1.0,1.0,19.8,99.0,82.5,98.0,0.453,L,0,2024-25
22400880,1610612758,Sacramento,Kings,SAC,kings,240:00,648.9,129.8,526.9,105.4,122.1,24.4,0.723,4.86,24.5,0.256,0.767,0.512,7.447,7.4,0.611,0.64,1.0,0.971,18.7,93.5,77.92,94.0,0.58,W,1,2024-25
22400862,1610612758,Sacramento,Kings,SAC,kings,240:00,594.7,118.9,530.9,106.2,63.8,12.8,0.477,1.5,16.2,0.318,0.698,0.526,14.737,14.7,0.557,0.587,1.0,0.982,19.2,96.0,80.0,95.0,0.587,W,1,2024-25
22400843,1610612758,Sacramento,Kings,SAC,kings,240:00,608.2,121.6,515.3,103.1,92.9,18.6,0.609,1.75,20.4,0.317,0.86,0.615,16.495,16.5,0.615,0.639,1.0,0.963,19.5,97.5,81.25,97.0,0.57,W,1,2024-25
22400828,1610612758,Sacramento,Kings,SAC,kings,240:00,656.6,131.3,444.4,88.9,212.1,42.4,0.638,1.67,20.8,0.366,0.672,0.545,18.182,18.2,0.655,0.685,1.0,0.982,19.8,99.0,82.5,99.0,0.694,W,1,2024-25
22400805,1610612758,Sacramento,Kings,SAC,kings,240:00,562.5,112.5,680.4,136.1,-117.9,-23.6,0.65,1.08,19.0,0.375,0.651,0.518,25.0,25.0,0.576,0.621,1.0,0.964,19.3,96.5,80.42,96.0,0.406,L,0,2024-25
22400785,1610612758,Sacramento,Kings,SAC,kings,265:00,588.5,117.7,625.0,125.0,-36.5,-7.3,0.776,2.53,21.6,0.4,0.837,0.588,13.274,13.3,0.513,0.548,1.0,0.978,20.38,101.89,84.91,113.0,0.462,L,0,2024-25
22400777,1610612758,Sacramento,Kings,SAC,kings,240:00,607.1,121.4,572.2,114.4,35.0,7.0,0.683,2.55,19.7,0.34,0.731,0.539,11.224,11.2,0.563,0.596,1.0,0.982,19.5,97.5,81.25,98.0,0.542,W,1,2024-25
22400762,1610612758,Sacramento,Kings,SAC,kings,265:00,586.4,117.3,576.6,115.3,9.8,2.0,0.528,1.33,18.1,0.37,0.82,0.604,19.091,19.1,0.599,0.618,1.0,0.976,20.02,100.08,83.4,110.0,0.497,W,1,2024-25
22400750,1610612758,Sacramento,Kings,SAC,kings,240:00,554.1,110.8,531.5,106.3,22.5,4.5,0.558,1.33,16.0,0.283,0.857,0.559,16.216,16.2,0.533,0.583,1.0,0.984,22.2,111.0,92.5,111.0,0.517,W,1,2024-25
22400732,1610612758,Sacramento,Kings,SAC,kings,240:00,520.4,104.1,556.7,111.3,-36.3,-7.3,0.568,1.91,15.8,0.269,0.698,0.486,11.224,11.2,0.477,0.522,1.0,0.964,19.5,97.5,81.25,98.0,0.479,L,0,2024-25
22400727,1610612758,Sacramento,Kings,SAC,kings,240:00,578.1,115.6,677.1,135.4,-99.0,-19.8,0.575,1.21,17.0,0.372,0.667,0.512,19.792,19.8,0.563,0.601,1.0,0.973,19.2,96.0,80.0,96.0,0.422,L,0,2024-25
22400704,1610612758,Sacramento,Kings,SAC,kings,240:00,604.2,120.8,606.4,121.3,-2.2,-0.4,0.511,1.92,16.5,0.408,0.725,0.57,12.5,12.5,0.543,0.575,1.0,0.948,19.0,95.0,79.17,96.0,0.511,W,1,2024-25
22400691,1610612758,Sacramento,Kings,SAC,kings,240:00,523.8,104.8,679.2,135.8,-155.4,-31.1,0.625,3.13,17.4,0.212,0.558,0.364,7.619,7.6,0.455,0.494,1.0,0.983,21.1,105.5,87.92,105.0,0.362,L,0,2024-25
22400669,1610612758,Sacramento,Kings,SAC,kings,240:00,547.4,109.5,615.8,123.2,-68.4,-13.7,0.85,2.83,23.1,0.353,0.829,0.565,12.632,12.6,0.5,0.533,1.0,0.973,19.0,95.0,79.17,95.0,0.467,L,0,2024-25
22400651,1610612758,Sacramento,Kings,SAC,kings,240:00,585.1,117.0,516.1,103.2,69.0,13.8,0.689,1.72,22.1,0.385,0.648,0.538,19.149,19.1,0.604,0.615,1.0,0.963,18.7,93.5,77.92,94.0,0.616,W,1,2024-25
22400641,1610612758,Sacramento,Kings,SAC,kings,240:00,582.5,116.5,687.5,137.5,-105.0,-21.0,0.717,2.75,22.6,0.22,0.593,0.413,11.65,11.7,0.558,0.588,1.0,1.0,20.7,103.5,86.25,103.0,0.411,L,0,2024-25
