gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500234,1610612759,San Antonio,Spurs,SAS,spurs,240:00,597.1,119.4,544.6,108.9,52.5,10.5,0.809,2.53,25.2,0.267,0.833,0.559,14.563,14.6,0.621,0.648,1.0,0.965,20.4,102.0,85.0,103.0,0.577,W,1,2025-26
22500047,1610612759,San Antonio,Spurs,SAS,spurs,240:00,551.0,110.2,561.9,112.4,-10.8,-2.2,0.718,1.33,19.2,0.426,0.673,0.559,21.429,21.4,0.541,0.578,1.0,0.966,19.5,97.5,81.25,98.0,0.547,L,0,2025-26
22500220,1610612759,San Antonio,Spurs,SAS,spurs,240:00,566.0,113.2,584.1,116.8,-18.1,-3.6,0.652,1.5,19.9,0.32,0.731,0.529,18.868,18.9,0.564,0.594,1.0,1.0,21.3,106.5,88.75,106.0,0.47,L,0,2025-26
22500202,1610612759,San Antonio,Spurs,SAS,spurs,240:00,581.7,116.3,557.1,111.4,24.6,4.9,0.682,2.0,21.0,0.205,0.722,0.49,14.423,14.4,0.57,0.618,1.0,0.991,20.9,104.5,87.08,104.0,0.543,W,1,2025-26
22500188,1610612759,San Antonio,Spurs,SAS,spurs,240:00,630.0,126.0,595.0,119.0,35.0,7.0,0.646,2.58,21.7,0.286,0.686,0.505,12.0,12.0,0.611,0.643,1.0,0.982,20.0,100.0,83.33,100.0,0.548,W,1,2025-26
22500032,1610612759,San Antonio,Spurs,SAS,spurs,240:00,599.0,119.8,555.6,111.1,43.5,8.7,0.75,1.43,20.0,0.417,0.583,0.5,20.792,20.8,0.563,0.617,1.0,0.975,20.0,100.0,83.33,101.0,0.566,W,1,2025-26
22500179,1610612759,San Antonio,Spurs,SAS,spurs,240:00,574.3,114.9,590.0,118.0,-15.7,-3.1,0.611,1.16,16.3,0.279,0.612,0.457,18.812,18.8,0.574,0.633,1.0,0.982,20.1,100.5,83.75,101.0,0.478,L,0,2025-26
22500154,1610612759,San Antonio,Spurs,SAS,spurs,240:00,572.8,114.6,637.3,127.5,-64.4,-12.9,0.467,1.5,14.6,0.375,0.765,0.522,13.592,13.6,0.51,0.546,1.0,0.976,20.5,102.5,85.42,103.0,0.419,L,0,2025-26
22500141,1610612759,San Antonio,Spurs,SAS,spurs,240:00,529.7,105.9,510.1,102.0,19.6,3.9,0.684,2.36,18.8,0.24,0.827,0.539,10.891,10.9,0.523,0.557,1.0,0.964,20.0,100.0,83.33,101.0,0.554,W,1,2025-26
22500118,1610612759,San Antonio,Spurs,SAS,spurs,240:00,605.0,121.0,525.5,105.1,79.5,15.9,0.744,1.38,21.2,0.29,0.867,0.632,21.0,21.0,0.679,0.73,1.0,0.963,19.8,99.0,82.5,100.0,0.631,W,1,2025-26
22500105,1610612759,San Antonio,Spurs,SAS,spurs,240:00,621.1,124.2,563.2,112.6,57.9,11.6,0.513,1.33,15.4,0.395,0.698,0.563,15.789,15.8,0.577,0.629,1.0,0.955,19.0,95.0,79.17,95.0,0.592,W,1,2025-26
22500095,1610612759,San Antonio,Spurs,SAS,spurs,265:00,560.7,112.1,552.4,110.5,8.4,1.7,0.556,1.32,15.7,0.467,0.661,0.563,17.757,17.8,0.526,0.548,1.0,0.955,19.2,96.0,80.0,107.0,0.521,W,1,2025-26
22500004,1610612759,San Antonio,Spurs,SAS,spurs,240:00,625.0,125.0,455.4,91.1,169.6,33.9,0.48,1.6,17.4,0.311,0.764,0.56,15.0,15.0,0.621,0.629,1.0,0.974,20.1,100.5,83.75,100.0,0.688,W,1,2025-26
