gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401197,1610612759,San Antonio,Spurs,SAS,spurs,240:00,595.2,119.0,572.8,114.6,22.4,4.5,0.512,1.83,16.2,0.238,0.745,0.526,11.429,11.4,0.577,0.637,1.0,0.974,20.8,104.0,86.67,105.0,0.565,W,1,2024-25
22401182,1610612759,San Antonio,Spurs,SAS,spurs,240:00,500.0,100.0,596.9,119.4,-96.9,-19.4,0.718,1.87,20.4,0.212,0.712,0.462,15.306,15.3,0.506,0.519,1.0,0.982,19.6,98.0,81.67,98.0,0.421,L,0,2024-25
22401163,1610612759,San Antonio,Spurs,SAS,spurs,240:00,612.9,122.6,584.2,116.8,28.7,5.7,0.59,1.53,18.0,0.279,0.63,0.474,16.129,16.1,0.593,0.632,1.0,0.981,18.8,94.0,78.33,93.0,0.501,W,1,2024-25
22401155,1610612759,San Antonio,Spurs,SAS,spurs,240:00,585.0,117.0,610.0,122.0,-25.0,-5.0,0.644,1.71,20.9,0.217,0.596,0.409,17.0,17.0,0.629,0.636,1.0,0.973,20.0,100.0,83.33,100.0,0.469,L,0,2024-25
22401139,1610612759,San Antonio,Spurs,SAS,spurs,240:00,509.3,101.9,560.7,112.1,-51.4,-10.3,0.634,1.44,17.4,0.286,0.766,0.505,16.822,16.8,0.489,0.523,1.0,0.984,21.4,107.0,89.17,107.0,0.441,L,0,2024-25
22401124,1610612759,San Antonio,Spurs,SAS,spurs,240:00,553.9,110.8,558.8,111.8,-4.9,-1.0,0.659,2.25,19.0,0.278,0.771,0.51,11.765,11.8,0.521,0.552,1.0,0.991,20.4,102.0,85.0,102.0,0.484,L,0,2024-25
22401110,1610612759,San Antonio,Spurs,SAS,spurs,240:00,538.1,107.6,504.8,101.0,33.3,6.7,0.628,2.7,19.0,0.179,0.742,0.475,9.524,9.5,0.531,0.55,1.0,0.983,21.0,105.0,87.5,105.0,0.529,W,1,2024-25
22400988,1610612759,San Antonio,Spurs,SAS,spurs,240:00,558.5,111.7,610.5,122.1,-52.0,-10.4,0.6,1.41,18.6,0.279,0.681,0.489,18.085,18.1,0.574,0.593,1.0,1.0,18.9,94.5,78.75,94.0,0.44,L,0,2024-25
22401086,1610612759,San Antonio,Spurs,SAS,spurs,240:00,504.8,101.0,704.8,141.0,-200.0,-40.0,0.75,1.43,21.1,0.17,0.682,0.418,20.0,20.0,0.571,0.582,1.0,0.991,21.0,105.0,87.5,105.0,0.317,L,0,2024-25
22401080,1610612759,San Antonio,Spurs,SAS,spurs,240:00,578.1,115.6,636.8,127.4,-58.7,-11.7,0.658,5.0,18.9,0.226,0.62,0.417,5.208,5.2,0.517,0.561,1.0,0.972,19.1,95.5,79.58,96.0,0.443,L,0,2024-25
22401059,1610612759,San Antonio,Spurs,SAS,spurs,240:00,568.6,113.7,601.9,120.4,-33.3,-6.7,0.628,2.7,18.0,0.318,0.618,0.455,9.804,9.8,0.472,0.503,1.0,0.992,20.5,102.5,85.42,102.0,0.425,L,0,2024-25
22401046,1610612759,San Antonio,Spurs,SAS,spurs,240:00,516.1,103.2,655.9,131.2,-139.8,-28.0,0.636,1.91,15.6,0.35,0.784,0.515,11.828,11.8,0.44,0.481,1.0,0.974,18.6,93.0,77.5,93.0,0.329,L,0,2024-25
22401033,1610612759,San Antonio,Spurs,SAS,spurs,240:00,597.1,119.4,436.3,87.3,160.8,32.2,0.659,1.93,18.9,0.283,0.655,0.49,13.592,13.6,0.558,0.615,1.0,0.983,20.5,102.5,85.42,103.0,0.685,W,1,2024-25
22401018,1610612759,San Antonio,Spurs,SAS,spurs,240:00,615.4,123.1,582.5,116.5,32.9,6.6,0.766,2.4,23.8,0.262,0.75,0.487,14.423,14.4,0.635,0.66,1.0,0.965,20.7,103.5,86.25,104.0,0.535,W,1,2024-25
22401003,1610612759,San Antonio,Spurs,SAS,spurs,240:00,631.6,126.3,546.9,109.4,84.7,16.9,0.622,1.87,19.9,0.396,0.684,0.552,15.789,15.8,0.589,0.607,1.0,0.982,19.1,95.5,79.58,95.0,0.556,W,1,2024-25
22400537,1610612759,San Antonio,Spurs,SAS,spurs,240:00,550.5,110.1,618.8,123.8,-68.3,-13.7,0.732,1.76,21.3,0.255,0.735,0.5,17.172,17.2,0.551,0.579,1.0,1.0,20.0,100.0,83.33,99.0,0.422,L,0,2024-25
22400973,1610612759,San Antonio,Spurs,SAS,spurs,240:00,595.0,119.0,575.0,115.0,20.0,4.0,0.667,2.6,19.1,0.196,0.63,0.402,10.0,10.0,0.56,0.604,1.0,0.991,20.0,100.0,83.33,100.0,0.492,W,1,2024-25
22400964,1610612759,San Antonio,Spurs,SAS,spurs,240:00,683.7,136.7,732.3,146.5,-48.6,-9.7,0.563,1.93,18.8,0.408,0.528,0.459,14.286,14.3,0.616,0.64,1.0,0.991,19.7,98.5,82.08,98.0,0.445,L,0,2024-25
22400951,1610612759,San Antonio,Spurs,SAS,spurs,240:00,611.7,122.3,574.3,114.9,37.4,7.5,0.64,2.0,21.3,0.378,0.897,0.619,15.534,15.5,0.59,0.624,1.0,0.992,20.4,102.0,85.0,103.0,0.535,W,1,2024-25
22400937,1610612759,San Antonio,Spurs,SAS,spurs,240:00,658.2,131.6,678.6,135.7,-20.4,-4.1,0.592,3.22,20.3,0.333,0.628,0.473,9.184,9.2,0.612,0.617,1.0,0.982,19.6,98.0,81.67,98.0,0.464,L,0,2024-25
22400925,1610612759,San Antonio,Spurs,SAS,spurs,240:00,626.3,125.3,712.1,142.4,-85.9,-17.2,0.553,2.17,19.1,0.275,0.581,0.434,12.121,12.1,0.618,0.649,1.0,0.982,19.8,99.0,82.5,99.0,0.446,L,0,2024-25
22400910,1610612759,San Antonio,Spurs,SAS,spurs,240:00,579.8,116.0,668.4,133.7,-88.6,-17.7,0.675,3.38,20.3,0.226,0.612,0.412,8.511,8.5,0.552,0.561,1.0,0.981,18.9,94.5,78.75,94.0,0.419,L,0,2024-25
22400888,1610612759,San Antonio,Spurs,SAS,spurs,240:00,654.6,130.9,570.7,114.1,83.9,16.8,0.712,2.47,24.7,0.34,0.714,0.531,15.464,15.5,0.642,0.639,1.0,0.982,19.6,98.0,81.67,97.0,0.562,W,1,2024-25
22400871,1610612759,San Antonio,Spurs,SAS,spurs,240:00,647.1,129.4,715.7,143.1,-68.6,-13.7,0.706,2.77,24.3,0.227,0.681,0.462,12.745,12.7,0.659,0.673,1.0,0.973,20.4,102.0,85.0,102.0,0.452,L,0,2024-25
22400863,1610612759,San Antonio,Spurs,SAS,spurs,240:00,631.1,126.2,621.4,124.3,9.7,1.9,0.66,2.54,21.6,0.362,0.667,0.516,12.621,12.6,0.594,0.615,1.0,0.967,20.6,103.0,85.83,103.0,0.495,W,1,2024-25
22400844,1610612759,San Antonio,Spurs,SAS,spurs,240:00,514.6,102.9,578.4,115.7,-63.9,-12.8,0.667,3.5,19.2,0.279,0.564,0.414,7.767,7.8,0.455,0.485,1.0,0.992,20.5,102.5,85.42,103.0,0.466,L,0,2024-25
22400833,1610612759,San Antonio,Spurs,SAS,spurs,240:00,504.9,101.0,534.3,106.9,-29.4,-5.9,0.763,1.45,19.5,0.328,0.621,0.474,19.608,19.6,0.478,0.51,1.0,1.0,20.4,102.0,85.0,102.0,0.475,L,0,2024-25
22400818,1610612759,San Antonio,Spurs,SAS,spurs,240:00,461.5,92.3,548.1,109.6,-86.5,-17.3,0.906,2.9,19.6,0.217,0.618,0.395,9.615,9.6,0.407,0.444,1.0,0.992,20.8,104.0,86.67,104.0,0.41,L,0,2024-25
22400802,1610612759,San Antonio,Spurs,SAS,spurs,240:00,550.0,110.0,618.8,123.8,-68.8,-13.8,0.628,1.59,19.9,0.196,0.532,0.366,17.0,17.0,0.571,0.587,1.0,0.982,20.1,100.5,83.75,100.0,0.425,L,0,2024-25
22400795,1610612759,San Antonio,Spurs,SAS,spurs,240:00,582.5,116.5,534.3,106.9,48.2,9.6,0.682,2.73,20.4,0.275,0.864,0.547,10.68,10.7,0.554,0.584,1.0,0.957,20.5,102.5,85.42,103.0,0.555,W,1,2024-25
22400769,1610612759,San Antonio,Spurs,SAS,spurs,240:00,520.2,104.0,580.0,116.0,-59.8,-12.0,0.714,3.75,21.4,0.2,0.596,0.393,8.081,8.1,0.484,0.508,1.0,0.991,19.9,99.5,82.92,99.0,0.467,L,0,2024-25
22400757,1610612759,San Antonio,Spurs,SAS,spurs,240:00,648.5,129.7,587.4,117.5,61.1,12.2,0.622,2.33,19.9,0.273,0.673,0.484,11.881,11.9,0.608,0.65,1.0,0.991,20.4,102.0,85.0,101.0,0.561,W,1,2024-25
22400743,1610612759,San Antonio,Spurs,SAS,spurs,240:00,572.2,114.4,577.3,115.5,-5.2,-1.0,0.659,1.93,20.9,0.135,0.638,0.417,14.433,14.4,0.617,0.647,1.0,0.98,19.4,97.0,80.83,97.0,0.546,L,0,2024-25
22400734,1610612759,San Antonio,Spurs,SAS,spurs,240:00,597.9,119.6,609.4,121.9,-11.4,-2.3,0.595,3.13,18.4,0.278,0.648,0.463,8.247,8.2,0.522,0.566,1.0,0.982,19.3,96.5,80.42,97.0,0.486,L,0,2024-25
22400719,1610612759,San Antonio,Spurs,SAS,spurs,240:00,588.8,117.8,578.7,115.7,10.1,2.0,0.706,3.6,23.1,0.25,0.711,0.464,9.346,9.3,0.564,0.583,1.0,0.992,21.5,107.5,89.58,107.0,0.513,W,1,2024-25
22400703,1610612759,San Antonio,Spurs,SAS,spurs,240:00,486.6,97.3,571.4,114.3,-84.8,-17.0,0.756,1.35,19.9,0.25,0.788,0.519,20.536,20.5,0.516,0.546,1.0,0.984,22.4,112.0,93.33,112.0,0.414,L,0,2024-25
22400693,1610612759,San Antonio,Spurs,SAS,spurs,240:00,525.5,105.1,535.7,107.1,-10.2,-2.0,0.711,2.45,19.4,0.255,0.714,0.471,11.224,11.2,0.484,0.514,1.0,0.982,19.6,98.0,81.67,98.0,0.466,L,0,2024-25
22400684,1610612759,San Antonio,Spurs,SAS,spurs,240:00,692.3,138.5,578.4,115.7,113.9,22.8,0.74,6.17,23.4,0.358,0.683,0.531,5.769,5.8,0.608,0.637,1.0,0.967,20.6,103.0,85.83,104.0,0.622,W,1,2024-25
22400671,1610612759,San Antonio,Spurs,SAS,spurs,240:00,580.0,116.0,633.7,126.7,-53.7,-10.7,0.643,2.7,20.0,0.167,0.568,0.359,10.0,10.0,0.563,0.592,1.0,0.981,20.1,100.5,83.75,100.0,0.43,L,0,2024-25
22400633,1610612759,San Antonio,Spurs,SAS,spurs,240:00,480.4,96.1,666.7,133.3,-186.3,-37.3,0.629,0.92,15.5,0.333,0.62,0.471,23.529,23.5,0.476,0.51,1.0,0.967,20.4,102.0,85.0,102.0,0.317,L,0,2024-25
22400621,1610612759,San Antonio,Spurs,SAS,spurs,240:00,673.1,134.6,523.8,104.8,149.3,29.9,0.741,2.15,26.4,0.421,0.8,0.645,19.231,19.2,0.698,0.71,1.0,0.983,20.9,104.5,87.08,104.0,0.633,W,1,2024-25
22400592,1610612759,San Antonio,Spurs,SAS,spurs,240:00,535.0,107.0,640.0,128.0,-105.0,-21.0,0.683,1.87,19.6,0.283,0.711,0.48,15.0,15.0,0.533,0.546,1.0,0.974,20.0,100.0,83.33,100.0,0.399,L,0,2024-25
22400582,1610612759,San Antonio,Spurs,SAS,spurs,240:00,554.5,110.9,693.1,138.6,-138.6,-27.7,0.725,1.71,20.4,0.273,0.711,0.494,16.832,16.8,0.554,0.595,1.0,0.982,20.2,101.0,84.17,101.0,0.409,L,0,2024-25
22400567,1610612759,San Antonio,Spurs,SAS,spurs,240:00,558.3,111.7,620.2,124.0,-61.9,-12.4,0.55,2.0,16.4,0.192,0.696,0.454,10.68,10.7,0.539,0.57,1.0,1.0,20.7,103.5,86.25,103.0,0.449,L,0,2024-25
22400552,1610612759,San Antonio,Spurs,SAS,spurs,240:00,656.3,131.3,531.3,106.3,125.0,25.0,0.625,2.73,21.3,0.357,0.627,0.505,11.458,11.5,0.606,0.638,1.0,0.982,19.2,96.0,80.0,96.0,0.635,W,1,2024-25
22400516,1610612759,San Antonio,Spurs,SAS,spurs,240:00,530.3,106.1,605.0,121.0,-74.7,-14.9,0.686,2.67,17.6,0.226,0.7,0.438,9.091,9.1,0.463,0.506,1.0,1.0,19.9,99.5,82.92,99.0,0.424,L,0,2024-25
22400498,1610612759,San Antonio,Spurs,SAS,spurs,240:00,534.0,106.8,553.4,110.7,-19.4,-3.9,0.705,1.82,20.5,0.327,0.644,0.495,16.505,16.5,0.542,0.548,1.0,0.983,20.6,103.0,85.83,103.0,0.49,L,0,2024-25
22400484,1610612759,San Antonio,Spurs,SAS,spurs,265:00,504.5,100.9,564.8,113.0,-60.3,-12.1,0.683,2.0,18.1,0.281,0.714,0.496,12.727,12.7,0.457,0.496,1.0,0.961,19.74,98.72,82.26,110.0,0.431,L,0,2024-25
22400475,1610612759,San Antonio,Spurs,SAS,spurs,240:00,565.0,113.0,550.0,110.0,15.0,3.0,0.674,2.38,20.7,0.339,0.754,0.549,13.0,13.0,0.53,0.54,1.0,0.975,20.0,100.0,83.33,100.0,0.498,W,1,2024-25
22400451,1610612759,San Antonio,Spurs,SAS,spurs,240:00,616.2,123.2,438.8,87.8,177.4,35.5,0.771,4.11,24.2,0.365,0.776,0.582,9.091,9.1,0.536,0.574,1.0,0.991,19.7,98.5,82.08,99.0,0.715,W,1,2024-25
22400441,1610612759,San Antonio,Spurs,SAS,spurs,240:00,567.0,113.4,577.3,115.5,-10.3,-2.1,0.658,2.5,18.7,0.222,0.593,0.416,10.309,10.3,0.5,0.554,1.0,0.972,19.4,97.0,80.83,97.0,0.509,L,0,2024-25
22400421,1610612759,San Antonio,Spurs,SAS,spurs,240:00,505.3,101.1,467.7,93.5,37.5,7.5,0.813,1.73,19.4,0.271,0.661,0.481,15.789,15.8,0.487,0.534,1.0,0.954,18.8,94.0,78.33,95.0,0.612,W,1,2024-25
22400405,1610612759,San Antonio,Spurs,SAS,spurs,240:00,593.8,118.8,603.1,120.6,-9.3,-1.9,0.786,2.2,23.7,0.238,0.684,0.495,15.625,15.6,0.602,0.63,1.0,0.991,19.3,96.5,80.42,96.0,0.519,L,0,2024-25
22400394,1610612759,San Antonio,Spurs,SAS,spurs,240:00,524.8,105.0,549.5,109.9,-24.8,-5.0,0.649,1.33,18.5,0.114,0.746,0.476,17.822,17.8,0.549,0.596,1.0,0.981,20.2,101.0,84.17,101.0,0.495,L,0,2024-25
22400386,1610612759,San Antonio,Spurs,SAS,spurs,240:00,581.6,116.3,479.6,95.9,102.0,20.4,0.75,2.75,22.4,0.327,0.717,0.541,12.245,12.2,0.527,0.565,1.0,0.982,19.6,98.0,81.67,98.0,0.635,W,1,2024-25
22400370,1610612759,San Antonio,Spurs,SAS,spurs,265:00,568.4,113.7,547.8,109.6,20.5,4.1,0.653,1.88,19.8,0.224,0.736,0.468,14.53,14.5,0.579,0.598,1.0,0.969,21.01,105.06,87.55,117.0,0.516,W,1,2024-25
22401218,1610612759,San Antonio,Spurs,SAS,spurs,240:00,464.6,92.9,530.0,106.0,-65.4,-13.1,0.919,1.79,22.8,0.296,0.656,0.487,19.192,19.2,0.467,0.484,1.0,0.983,19.9,99.5,82.92,99.0,0.46,L,0,2024-25
22401215,1610612759,San Antonio,Spurs,SAS,spurs,240:00,608.2,121.6,604.2,120.8,4.1,0.8,0.727,2.13,22.4,0.364,0.75,0.548,15.464,15.5,0.6,0.626,1.0,0.982,19.3,96.5,80.42,97.0,0.529,W,1,2024-25
22400354,1610612759,San Antonio,Spurs,SAS,spurs,240:00,587.4,117.5,574.3,114.9,13.1,2.6,0.643,2.08,18.0,0.396,0.741,0.577,12.621,12.6,0.516,0.567,1.0,0.976,20.4,102.0,85.0,103.0,0.538,W,1,2024-25
22400337,1610612759,San Antonio,Spurs,SAS,spurs,240:00,548.5,109.7,679.6,135.9,-131.1,-26.2,0.718,2.0,19.2,0.286,0.78,0.495,13.592,13.6,0.505,0.542,1.0,0.992,20.6,103.0,85.83,103.0,0.379,L,0,2024-25
