gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500245,1610612761,Toronto,Raptors,TOR,raptors,240:00,539.2,107.8,519.2,103.8,20.0,4.0,0.568,1.47,18.4,0.196,0.673,0.455,16.667,16.7,0.557,0.579,1.0,1.0,20.6,103.0,85.83,102.0,0.505,W,1,2025-26
22500230,1610612761,Toronto,Raptors,TOR,raptors,240:00,602.8,120.6,513.9,102.8,88.9,17.8,0.604,2.07,19.3,0.286,0.788,0.545,13.084,13.1,0.592,0.611,1.0,0.975,21.5,107.5,89.58,107.0,0.611,W,1,2025-26
22500225,1610612761,Toronto,Raptors,TOR,raptors,240:00,649.5,129.9,582.5,116.5,67.0,13.4,0.755,2.64,25.0,0.375,0.685,0.553,14.433,14.4,0.625,0.66,1.0,0.973,19.4,97.0,80.83,97.0,0.596,W,1,2025-26
22500207,1610612761,Toronto,Raptors,TOR,raptors,240:00,613.4,122.7,567.7,113.5,45.7,9.1,0.689,3.44,21.7,0.34,0.76,0.557,9.278,9.3,0.544,0.583,1.0,0.982,19.3,96.5,80.42,97.0,0.561,W,1,2025-26
22500184,1610612761,Toronto,Raptors,TOR,raptors,240:00,588.2,117.6,637.3,127.5,-49.0,-9.8,0.707,2.64,20.0,0.264,0.588,0.423,10.784,10.8,0.544,0.586,1.0,0.966,20.4,102.0,85.0,102.0,0.442,L,0,2025-26
22500030,1610612761,Toronto,Raptors,TOR,raptors,240:00,539.6,107.9,480.2,96.0,59.4,11.9,0.622,1.77,16.3,0.309,0.587,0.458,12.871,12.9,0.473,0.534,1.0,0.975,20.2,101.0,84.17,101.0,0.565,W,1,2025-26
22500165,1610612761,Toronto,Raptors,TOR,raptors,240:00,640.0,128.0,495.0,99.0,145.0,29.0,0.75,3.3,22.4,0.286,0.764,0.538,10.0,10.0,0.577,0.617,1.0,0.982,20.1,100.5,83.75,100.0,0.641,W,1,2025-26
22500152,1610612761,Toronto,Raptors,TOR,raptors,240:00,609.4,121.9,541.7,108.3,67.7,13.5,0.711,2.0,21.9,0.375,0.706,0.545,16.667,16.7,0.567,0.598,1.0,0.965,19.2,96.0,80.0,96.0,0.564,W,1,2025-26
22500022,1610612761,Toronto,Raptors,TOR,raptors,240:00,571.4,114.3,515.3,103.1,56.1,11.2,0.675,1.5,19.4,0.311,0.678,0.519,18.367,18.4,0.567,0.605,1.0,0.964,19.6,98.0,81.67,98.0,0.568,W,1,2025-26
22500131,1610612761,Toronto,Raptors,TOR,raptors,240:00,599.0,119.8,688.1,137.6,-89.1,-17.8,0.674,2.9,21.3,0.136,0.5,0.305,9.901,9.9,0.629,0.648,1.0,0.972,20.2,101.0,84.17,101.0,0.386,L,0,2025-26
22500118,1610612761,Toronto,Raptors,TOR,raptors,240:00,525.5,105.1,605.0,121.0,-79.5,-15.9,0.784,1.93,21.8,0.133,0.71,0.368,15.306,15.3,0.544,0.578,1.0,1.0,19.8,99.0,82.5,98.0,0.369,L,0,2025-26
22500111,1610612761,Toronto,Raptors,TOR,raptors,240:00,581.1,116.2,637.6,127.5,-56.5,-11.3,0.673,2.06,20.2,0.339,0.714,0.5,14.414,14.4,0.555,0.583,1.0,0.946,22.0,110.0,91.67,111.0,0.437,L,0,2025-26
22500092,1610612761,Toronto,Raptors,TOR,raptors,240:00,552.4,110.5,586.5,117.3,-34.2,-6.8,0.595,1.56,17.5,0.255,0.627,0.441,15.238,15.2,0.559,0.585,1.0,0.975,20.9,104.5,87.08,105.0,0.482,L,0,2025-26
22500082,1610612761,Toronto,Raptors,TOR,raptors,240:00,610.6,122.1,522.1,104.4,88.5,17.7,0.667,1.89,22.0,0.333,0.786,0.584,16.814,16.8,0.6,0.64,1.0,0.984,22.6,113.0,94.17,113.0,0.616,W,1,2025-26
