gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401197,1610612761,Toronto,Raptors,TOR,raptors,240:00,572.8,114.6,595.2,119.0,-22.4,-4.5,0.696,2.46,21.5,0.255,0.762,0.474,12.621,12.6,0.546,0.567,1.0,1.0,20.8,104.0,86.67,103.0,0.435,L,0,2024-25
22401178,1610612761,Toronto,Raptors,TOR,raptors,240:00,490.4,98.1,596.2,119.2,-105.8,-21.2,0.55,2.0,15.3,0.281,0.651,0.43,10.577,10.6,0.455,0.473,1.0,0.975,20.8,104.0,86.67,104.0,0.356,L,0,2024-25
22401158,1610612761,Toronto,Raptors,TOR,raptors,240:00,623.8,124.8,470.6,94.1,153.2,30.6,0.755,4.11,23.6,0.333,0.816,0.557,8.911,8.9,0.563,0.577,1.0,0.983,20.3,101.5,84.58,101.0,0.621,W,1,2024-25
22401134,1610612761,Toronto,Raptors,TOR,raptors,240:00,545.5,109.1,495.5,99.1,50.0,10.0,0.638,1.58,19.6,0.25,0.778,0.495,17.273,17.3,0.564,0.579,1.0,0.984,22.0,110.0,91.67,110.0,0.54,W,1,2024-25
22401121,1610612761,Toronto,Raptors,TOR,raptors,240:00,514.7,102.9,573.5,114.7,-58.8,-11.8,0.632,1.5,16.9,0.291,0.706,0.491,15.686,15.7,0.489,0.526,1.0,0.975,20.4,102.0,85.0,102.0,0.416,L,0,2024-25
22401116,1610612761,Toronto,Raptors,TOR,raptors,240:00,509.9,102.0,554.5,110.9,-44.6,-8.9,0.659,1.61,19.9,0.296,0.533,0.404,17.822,17.8,0.521,0.524,1.0,0.974,20.2,101.0,84.17,101.0,0.441,L,0,2024-25
22401099,1610612761,Toronto,Raptors,TOR,raptors,240:00,567.3,113.5,658.7,131.7,-91.3,-18.3,0.795,2.92,23.3,0.226,0.718,0.435,11.538,11.5,0.557,0.579,1.0,0.991,20.8,104.0,86.67,104.0,0.391,L,0,2024-25
22401087,1610612761,Toronto,Raptors,TOR,raptors,240:00,588.0,117.6,500.0,100.0,88.0,17.6,0.653,2.91,20.5,0.286,0.787,0.515,10.185,10.2,0.558,0.572,1.0,0.984,21.7,108.5,90.42,108.0,0.539,W,1,2024-25
22401069,1610612761,Toronto,Raptors,TOR,raptors,240:00,551.0,110.2,500.0,100.0,51.0,10.2,0.667,4.67,20.3,0.228,0.593,0.414,6.122,6.1,0.516,0.531,1.0,0.982,19.5,97.5,81.25,98.0,0.543,W,1,2024-25
22401054,1610612761,Toronto,Raptors,TOR,raptors,240:00,557.7,111.5,417.5,83.5,140.2,28.0,0.791,2.83,21.3,0.361,0.81,0.58,11.538,11.5,0.471,0.517,1.0,0.976,20.7,103.5,86.25,104.0,0.695,W,1,2024-25
22401039,1610612761,Toronto,Raptors,TOR,raptors,240:00,523.4,104.7,486.0,97.2,37.4,7.5,0.683,2.33,18.1,0.317,0.75,0.528,11.215,11.2,0.455,0.496,1.0,0.984,21.4,107.0,89.17,107.0,0.549,W,1,2024-25
22401033,1610612761,Toronto,Raptors,TOR,raptors,240:00,436.3,87.3,597.1,119.4,-160.8,-32.2,0.771,1.23,18.1,0.345,0.717,0.51,21.569,21.6,0.435,0.455,1.0,0.975,20.5,102.5,85.42,102.0,0.315,L,0,2024-25
22401005,1610612761,Toronto,Raptors,TOR,raptors,240:00,553.4,110.7,557.1,111.4,-3.7,-0.7,0.727,1.39,22.5,0.206,0.714,0.522,22.33,22.3,0.635,0.66,1.0,0.991,20.8,104.0,86.67,103.0,0.508,L,0,2024-25
22400991,1610612761,Toronto,Raptors,TOR,raptors,240:00,468.4,93.7,671.9,134.4,-203.5,-40.7,0.645,1.67,15.3,0.271,0.689,0.452,12.632,12.6,0.414,0.458,1.0,0.982,19.1,95.5,79.58,95.0,0.291,L,0,2024-25
22400980,1610612761,Toronto,Raptors,TOR,raptors,240:00,520.4,104.1,530.3,106.1,-9.9,-2.0,0.763,1.61,19.2,0.414,0.585,0.495,18.367,18.4,0.457,0.496,1.0,0.992,19.7,98.5,82.08,98.0,0.489,L,0,2024-25
22400966,1610612761,Toronto,Raptors,TOR,raptors,240:00,552.6,110.5,526.8,105.4,25.8,5.2,0.636,1.87,18.2,0.265,0.86,0.566,13.158,13.2,0.549,0.592,1.0,0.976,22.6,113.0,94.17,114.0,0.569,W,1,2024-25
22400947,1610612761,Toronto,Raptors,TOR,raptors,240:00,567.3,113.5,504.8,101.0,62.5,12.5,0.75,1.5,20.1,0.458,0.759,0.607,21.154,21.2,0.52,0.547,1.0,0.969,20.8,104.0,86.67,104.0,0.561,W,1,2024-25
