gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401195,1610612762,Utah,Jazz,UTA,jazz,240:00,535.7,107.1,597.9,119.6,-62.2,-12.4,0.6,1.71,17.9,0.235,0.63,0.438,14.286,14.3,0.539,0.559,1.0,0.964,19.5,97.5,81.25,98.0,0.454,L,0,2024-25
22401181,1610612762,Utah,Jazz,UTA,jazz,240:00,513.9,102.8,677.6,135.5,-163.7,-32.7,0.59,1.44,15.1,0.333,0.848,0.545,14.815,14.8,0.461,0.496,1.0,0.984,21.5,107.5,89.58,108.0,0.352,L,0,2024-25
22401162,1610612762,Utah,Jazz,UTA,jazz,265:00,568.4,113.7,538.5,107.7,29.9,6.0,0.54,1.13,16.8,0.354,0.705,0.55,20.513,20.5,0.587,0.618,1.0,0.985,21.19,105.96,88.3,117.0,0.551,W,1,2024-25
22401136,1610612762,Utah,Jazz,UTA,jazz,240:00,663.4,132.7,720.6,144.1,-57.2,-11.4,0.644,2.9,20.9,0.209,0.619,0.412,9.901,9.9,0.632,0.675,1.0,0.991,20.3,101.5,84.58,101.0,0.447,L,0,2024-25
22401119,1610612762,Utah,Jazz,UTA,jazz,240:00,543.7,108.7,686.3,137.3,-142.6,-28.5,0.538,1.62,14.0,0.394,0.745,0.54,12.621,12.6,0.452,0.495,1.0,0.961,20.5,102.5,85.42,103.0,0.314,L,0,2024-25
22401107,1610612762,Utah,Jazz,UTA,jazz,240:00,514.7,102.9,694.2,138.8,-179.5,-35.9,0.625,2.5,18.0,0.207,0.558,0.373,9.804,9.8,0.479,0.504,1.0,0.982,20.5,102.5,85.42,102.0,0.368,L,0,2024-25
22401089,1610612762,Utah,Jazz,UTA,jazz,240:00,557.9,111.6,578.9,115.8,-21.1,-4.2,0.641,2.5,18.2,0.333,0.732,0.5,10.526,10.5,0.479,0.517,1.0,1.0,19.0,95.0,79.17,95.0,0.452,L,0,2024-25
22401073,1610612762,Utah,Jazz,UTA,jazz,240:00,451.5,90.3,626.2,125.2,-174.8,-35.0,0.636,1.17,14.5,0.333,0.737,0.485,17.476,17.5,0.392,0.449,1.0,0.976,20.6,103.0,85.83,103.0,0.278,L,0,2024-25
22401065,1610612762,Utah,Jazz,UTA,jazz,240:00,567.0,113.4,617.3,123.5,-50.3,-10.1,0.674,1.81,22.0,0.154,0.586,0.412,16.495,16.5,0.614,0.636,1.0,0.99,19.5,97.5,81.25,97.0,0.467,L,0,2024-25
22401050,1610612762,Utah,Jazz,UTA,jazz,240:00,530.9,106.2,729.2,145.8,-198.2,-39.6,0.706,1.71,18.8,0.152,0.565,0.359,14.433,14.4,0.545,0.587,1.0,0.962,19.3,96.5,80.42,97.0,0.351,L,0,2024-25
