gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22500235,1610612764,Washington,Wizards,WAS,wizards,240:00,540.8,108.2,651.5,130.3,-110.7,-22.1,0.568,1.75,16.5,0.163,0.732,0.422,12.245,12.2,0.512,0.566,1.0,0.972,19.7,98.5,82.08,98.0,0.379,L,0,2025-26
22500218,1610612764,Washington,Wizards,WAS,wizards,240:00,560.0,112.0,681.8,136.4,-121.8,-24.4,0.595,2.08,18.2,0.264,0.592,0.422,12.0,12.0,0.538,0.558,1.0,0.991,19.9,99.5,82.92,100.0,0.382,L,0,2025-26
22500199,1610612764,Washington,Wizards,WAS,wizards,265:00,581.9,116.4,595.7,119.1,-13.8,-2.8,0.52,1.3,16.9,0.245,0.528,0.413,17.241,17.2,0.605,0.634,1.0,0.977,20.92,104.6,87.17,116.0,0.485,L,0,2025-26
22500183,1610612764,Washington,Wizards,WAS,wizards,240:00,509.7,101.9,538.8,107.8,-29.1,-5.8,0.459,0.94,12.6,0.302,0.655,0.481,17.476,17.5,0.478,0.53,1.0,0.992,20.6,103.0,85.83,103.0,0.415,L,0,2025-26
22500029,1610612764,Washington,Wizards,WAS,wizards,240:00,552.9,110.6,704.8,141.0,-151.9,-30.4,0.78,1.6,20.6,0.377,0.492,0.439,19.231,19.2,0.533,0.569,1.0,0.992,20.9,104.5,87.08,104.0,0.378,L,0,2025-26
22500174,1610612764,Washington,Wizards,WAS,wizards,240:00,535.0,107.0,693.9,138.8,-158.9,-31.8,0.641,1.32,17.9,0.319,0.705,0.505,19.0,19.0,0.544,0.582,1.0,0.948,19.8,99.0,82.5,100.0,0.388,L,0,2025-26
22500159,1610612764,Washington,Wizards,WAS,wizards,240:00,500.0,100.0,583.3,116.7,-83.3,-16.7,0.789,1.5,21.4,0.17,0.75,0.475,19.608,19.6,0.549,0.571,1.0,0.982,20.4,102.0,85.0,102.0,0.422,L,0,2025-26
22500145,1610612764,Washington,Wizards,WAS,wizards,240:00,435.2,87.0,584.1,116.8,-148.9,-29.8,0.487,1.12,13.1,0.277,0.717,0.459,15.741,15.7,0.444,0.449,1.0,0.968,21.5,107.5,89.58,108.0,0.267,L,0,2025-26
22500140,1610612764,Washington,Wizards,WAS,wizards,240:00,534.7,106.9,622.5,124.5,-87.9,-17.6,0.658,1.09,18.0,0.277,0.679,0.495,22.772,22.8,0.554,0.59,1.0,0.982,20.3,101.5,84.58,101.0,0.385,L,0,2025-26
22500123,1610612764,Washington,Wizards,WAS,wizards,265:00,598.2,119.6,626.1,125.2,-27.9,-5.6,0.647,2.06,19.8,0.355,0.644,0.496,14.286,14.3,0.556,0.576,1.0,0.97,20.2,100.98,84.15,112.0,0.472,L,0,2025-26
22500109,1610612764,Washington,Wizards,WAS,wizards,240:00,523.1,104.6,637.6,127.5,-114.5,-22.9,0.61,1.67,17.6,0.189,0.708,0.436,13.889,13.9,0.505,0.554,1.0,1.0,21.7,108.5,90.42,108.0,0.362,L,0,2025-26
22500096,1610612764,Washington,Wizards,WAS,wizards,240:00,536.7,107.3,495.4,99.1,41.3,8.3,0.659,1.59,18.2,0.226,0.774,0.5,15.596,15.6,0.539,0.569,1.0,0.959,21.7,108.5,90.42,109.0,0.531,W,1,2025-26
22500086,1610612764,Washington,Wizards,WAS,wizards,240:00,560.7,112.1,621.5,124.3,-60.7,-12.1,0.5,1.77,16.0,0.276,0.846,0.545,12.15,12.1,0.556,0.564,1.0,0.983,21.4,107.0,89.17,107.0,0.441,L,0,2025-26
