gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401190,1610612764,Washington,Wizards,WAS,wizards,240:00,583.3,116.7,572.8,114.6,10.5,2.1,0.717,3.0,23.1,0.174,0.776,0.484,10.784,10.8,0.6,0.61,1.0,0.982,20.5,102.5,85.42,102.0,0.49,W,1,2024-25
22401176,1610612764,Washington,Wizards,WAS,wizards,240:00,432.0,86.4,583.3,116.7,-151.3,-30.3,0.743,1.44,18.2,0.25,0.706,0.467,17.476,17.5,0.44,0.462,1.0,0.957,20.5,102.5,85.42,103.0,0.342,L,0,2024-25
22401157,1610612764,Washington,Wizards,WAS,wizards,240:00,495.2,99.0,586.5,117.3,-91.3,-18.3,0.647,1.29,15.6,0.268,0.603,0.439,16.346,16.3,0.448,0.514,1.0,0.975,20.8,104.0,86.67,104.0,0.423,L,0,2024-25
22401148,1610612764,Washington,Wizards,WAS,wizards,240:00,510.4,102.1,541.7,108.3,-31.3,-6.3,0.474,1.29,13.7,0.315,0.69,0.509,14.583,14.6,0.478,0.502,1.0,0.956,19.2,96.0,80.0,96.0,0.429,L,0,2024-25
22401137,1610612764,Washington,Wizards,WAS,wizards,240:00,500.0,100.0,688.9,137.8,-188.9,-37.8,0.6,2.1,16.9,0.25,0.46,0.353,11.111,11.1,0.477,0.498,1.0,0.981,18.0,90.0,75.0,90.0,0.336,L,0,2024-25
22401112,1610612764,Washington,Wizards,WAS,wizards,240:00,544.9,109.0,605.6,121.1,-60.6,-12.1,0.421,1.23,13.6,0.277,0.638,0.457,14.607,14.6,0.518,0.54,1.0,0.99,17.9,89.5,74.58,89.0,0.377,L,0,2024-25
22401105,1610612764,Washington,Wizards,WAS,wizards,240:00,585.9,117.2,555.0,111.0,30.9,6.2,0.558,1.71,18.3,0.186,0.638,0.446,14.141,14.1,0.613,0.631,1.0,0.991,19.9,99.5,82.92,99.0,0.515,W,1,2024-25
22401092,1610612764,Washington,Wizards,WAS,wizards,240:00,443.4,88.7,566.0,113.2,-122.6,-24.5,0.647,1.22,16.3,0.127,0.667,0.387,16.981,17.0,0.471,0.5,1.0,0.982,21.2,106.0,88.33,106.0,0.364,L,0,2024-25
22401075,1610612764,Washington,Wizards,WAS,wizards,240:00,571.4,114.3,592.8,118.6,-21.4,-4.3,0.568,3.5,16.2,0.224,0.7,0.465,6.122,6.1,0.488,0.563,1.0,0.972,19.5,97.5,81.25,98.0,0.512,L,0,2024-25
22401061,1610612764,Washington,Wizards,WAS,wizards,240:00,524.0,104.8,794.1,158.8,-270.1,-54.0,0.5,1.27,14.1,0.245,0.588,0.386,14.423,14.4,0.512,0.565,1.0,0.966,20.6,103.0,85.83,104.0,0.298,L,0,2024-25
22401053,1610612764,Washington,Wizards,WAS,wizards,240:00,613.4,122.7,581.6,116.3,31.8,6.4,0.625,2.73,21.1,0.294,0.707,0.514,11.34,11.3,0.6,0.593,1.0,0.982,19.5,97.5,81.25,97.0,0.532,W,1,2024-25
22401039,1610612764,Washington,Wizards,WAS,wizards,240:00,486.0,97.2,523.4,104.7,-37.4,-7.5,0.686,1.41,16.4,0.25,0.683,0.472,15.888,15.9,0.466,0.51,1.0,0.975,21.4,107.0,89.17,107.0,0.451,L,0,2024-25
22401026,1610612764,Washington,Wizards,WAS,wizards,240:00,490.5,98.1,581.0,116.2,-90.5,-18.1,0.538,1.05,15.0,0.264,0.673,0.461,19.048,19.0,0.506,0.534,1.0,0.983,21.0,105.0,87.5,105.0,0.38,L,0,2024-25
22401014,1610612764,Washington,Wizards,WAS,wizards,240:00,525.0,105.0,600.0,120.0,-75.0,-15.0,0.622,1.53,17.2,0.222,0.686,0.448,15.0,15.0,0.523,0.551,1.0,0.982,20.0,100.0,83.33,100.0,0.44,L,0,2024-25
22400627,1610612764,Washington,Wizards,WAS,wizards,240:00,554.5,110.9,640.0,128.0,-85.5,-17.1,0.698,2.14,20.4,0.327,0.659,0.473,13.861,13.9,0.527,0.555,1.0,0.974,20.1,100.5,83.75,101.0,0.46,L,0,2024-25
22400995,1610612764,Washington,Wizards,WAS,wizards,240:00,485.0,97.0,565.7,113.1,-80.7,-16.1,0.711,1.69,19.0,0.296,0.683,0.5,16.0,16.0,0.478,0.499,1.0,0.983,19.9,99.5,82.92,100.0,0.435,L,0,2024-25
22400975,1610612764,Washington,Wizards,WAS,wizards,240:00,605.8,121.2,580.2,116.0,25.6,5.1,0.739,2.0,22.1,0.32,0.673,0.495,16.346,16.3,0.584,0.615,1.0,1.0,21.0,105.0,87.5,104.0,0.493,W,1,2024-25
22400954,1610612764,Washington,Wizards,WAS,wizards,240:00,591.7,118.3,578.7,115.7,13.0,2.6,0.698,1.88,19.9,0.245,0.78,0.515,14.679,14.7,0.589,0.633,1.0,0.959,21.7,108.5,90.42,109.0,0.52,W,1,2024-25
22400941,1610612764,Washington,Wizards,WAS,wizards,240:00,500.0,100.0,597.1,119.4,-97.1,-19.4,0.541,1.54,14.6,0.241,0.661,0.447,12.621,12.6,0.473,0.511,1.0,0.974,20.6,103.0,85.83,103.0,0.402,L,0,2024-25
22400932,1610612764,Washington,Wizards,WAS,wizards,240:00,520.0,104.0,601.0,120.2,-81.0,-16.2,0.658,3.13,17.1,0.304,0.541,0.427,8.0,8.0,0.438,0.466,1.0,0.975,19.9,99.5,82.92,100.0,0.461,L,0,2024-25
22400915,1610612764,Washington,Wizards,WAS,wizards,240:00,584.2,116.8,573.5,114.7,10.6,2.1,0.659,1.81,18.5,0.458,0.561,0.509,15.842,15.8,0.505,0.536,1.0,0.984,20.3,101.5,84.58,101.0,0.506,W,1,2024-25
22400894,1610612764,Washington,Wizards,WAS,wizards,240:00,595.2,119.0,586.5,117.3,8.7,1.7,0.762,3.56,21.2,0.246,0.644,0.448,8.571,8.6,0.532,0.58,1.0,0.975,20.9,104.5,87.08,105.0,0.547,W,1,2024-25
22400877,1610612764,Washington,Wizards,WAS,wizards,240:00,459.2,91.8,540.8,108.2,-81.6,-16.3,0.71,1.69,17.1,0.167,0.86,0.474,13.265,13.3,0.429,0.48,1.0,0.981,19.6,98.0,81.67,98.0,0.382,L,0,2024-25
22400860,1610612764,Washington,Wizards,WAS,wizards,240:00,565.0,113.0,500.0,100.0,65.0,13.0,0.825,2.2,22.6,0.265,0.736,0.51,15.0,15.0,0.551,0.592,1.0,0.982,20.0,100.0,83.33,100.0,0.584,W,1,2024-25
22400839,1610612764,Washington,Wizards,WAS,wizards,240:00,555.0,111.0,602.8,120.6,-47.8,-9.6,0.581,1.32,17.4,0.227,0.597,0.443,17.431,17.4,0.59,0.62,1.0,0.966,21.6,108.0,90.0,109.0,0.51,L,0,2024-25
22400824,1610612764,Washington,Wizards,WAS,wizards,240:00,563.2,112.6,515.6,103.1,47.5,9.5,0.743,1.08,19.7,0.314,0.566,0.466,25.263,25.3,0.593,0.66,1.0,0.972,19.1,95.5,79.58,95.0,0.563,W,1,2024-25
22400815,1610612764,Washington,Wizards,WAS,wizards,240:00,463.9,92.8,567.0,113.4,-103.1,-20.6,0.688,1.1,17.1,0.229,0.615,0.43,20.619,20.6,0.474,0.513,1.0,0.991,19.4,97.0,80.83,97.0,0.38,L,0,2024-25
22400799,1610612764,Washington,Wizards,WAS,wizards,240:00,495.1,99.0,514.9,103.0,-19.8,-4.0,0.714,1.79,17.7,0.259,0.796,0.515,13.725,13.7,0.471,0.511,1.0,0.974,20.3,101.5,84.58,102.0,0.473,L,0,2024-25
22400771,1610612764,Washington,Wizards,WAS,wizards,265:00,585.6,117.1,609.1,121.8,-23.5,-4.7,0.617,1.61,19.0,0.275,0.724,0.514,16.216,16.2,0.603,0.625,1.0,0.968,20.02,100.08,83.4,111.0,0.471,L,0,2024-25
22400757,1610612764,Washington,Wizards,WAS,wizards,240:00,587.4,117.5,648.5,129.7,-61.1,-12.2,0.578,1.86,17.9,0.327,0.727,0.516,13.592,13.6,0.559,0.597,1.0,0.966,20.4,102.0,85.0,103.0,0.439,L,0,2024-25
22400744,1610612764,Washington,Wizards,WAS,wizards,240:00,518.7,103.7,589.6,117.9,-70.9,-14.2,0.634,1.44,17.3,0.321,0.788,0.552,16.822,16.8,0.489,0.543,1.0,0.968,21.3,106.5,88.75,107.0,0.452,L,0,2024-25
22400735,1610612764,Washington,Wizards,WAS,wizards,240:00,613.9,122.8,663.4,132.7,-49.5,-9.9,0.543,1.67,17.1,0.377,0.617,0.49,14.851,14.9,0.574,0.59,1.0,0.967,20.2,101.0,84.17,101.0,0.432,L,0,2024-25
22400720,1610612764,Washington,Wizards,WAS,wizards,240:00,639.8,128.0,548.4,109.7,91.4,18.3,0.909,2.67,28.0,0.263,0.735,0.529,16.129,16.1,0.667,0.683,1.0,0.971,18.6,93.0,77.5,93.0,0.6,W,1,2024-25
22400700,1610612764,Washington,Wizards,WAS,wizards,240:00,601.9,120.4,564.4,112.9,37.6,7.5,0.659,2.64,19.3,0.322,0.76,0.523,10.68,10.7,0.53,0.568,1.0,0.975,20.4,102.0,85.0,103.0,0.524,W,1,2024-25
22400690,1610612764,Washington,Wizards,WAS,wizards,240:00,525.0,105.0,515.0,103.0,10.0,2.0,0.684,1.53,19.3,0.191,0.702,0.471,17.0,17.0,0.548,0.58,1.0,0.972,20.0,100.0,83.33,100.0,0.501,W,1,2024-25
22400674,1610612764,Washington,Wizards,WAS,wizards,240:00,466.0,93.2,663.4,132.7,-197.3,-39.5,0.621,1.2,12.7,0.333,0.78,0.51,14.563,14.6,0.374,0.453,1.0,0.952,20.4,102.0,85.0,103.0,0.266,L,0,2024-25
22400665,1610612764,Washington,Wizards,WAS,wizards,240:00,427.1,85.4,540.8,108.2,-113.7,-22.7,0.607,0.63,13.0,0.375,0.729,0.552,28.125,28.1,0.424,0.484,1.0,0.974,19.4,97.0,80.83,96.0,0.331,L,0,2024-25
22400657,1610612764,Washington,Wizards,WAS,wizards,240:00,545.5,109.1,663.3,132.7,-117.8,-23.6,0.548,2.09,16.0,0.355,0.689,0.495,11.111,11.1,0.47,0.498,1.0,0.975,19.7,98.5,82.08,99.0,0.379,L,0,2024-25
22400645,1610612764,Washington,Wizards,WAS,wizards,240:00,550.5,110.1,601.0,120.2,-50.5,-10.1,0.667,3.5,21.1,0.122,0.68,0.404,8.081,8.1,0.567,0.58,1.0,0.971,19.8,99.0,82.5,99.0,0.469,L,0,2024-25
22400983,1610612764,Washington,Wizards,WAS,wizards,240:00,447.1,89.4,528.8,105.8,-81.7,-16.3,0.75,1.5,16.6,0.27,0.735,0.473,15.385,15.4,0.399,0.45,1.0,0.975,20.8,104.0,86.67,104.0,0.381,L,0,2024-25
22400610,1610612764,Washington,Wizards,WAS,wizards,240:00,435.6,87.1,560.6,112.1,-125.0,-25.0,0.735,1.92,17.6,0.254,0.813,0.495,12.871,12.9,0.416,0.437,1.0,0.949,20.0,100.0,83.33,101.0,0.36,L,0,2024-25
22400598,1610612764,Washington,Wizards,WAS,wizards,240:00,463.0,92.6,569.4,113.9,-106.5,-21.3,0.594,1.12,13.5,0.254,0.76,0.486,15.741,15.7,0.416,0.485,1.0,0.984,21.6,108.0,90.0,108.0,0.361,L,0,2024-25
22400589,1610612764,Washington,Wizards,WAS,wizards,240:00,587.6,117.5,616.2,123.2,-28.5,-5.7,0.632,1.71,17.9,0.255,0.614,0.444,14.433,14.4,0.57,0.593,1.0,0.991,19.6,98.0,81.67,97.0,0.442,L,0,2024-25
22400573,1610612764,Washington,Wizards,WAS,wizards,240:00,580.2,116.0,619.0,123.8,-38.9,-7.8,0.609,2.15,18.9,0.264,0.75,0.485,12.264,12.3,0.571,0.592,1.0,0.975,21.1,105.5,87.92,106.0,0.466,L,0,2024-25
22400548,1610612764,Washington,Wizards,WAS,wizards,240:00,530.0,106.0,594.1,118.8,-64.1,-12.8,0.675,2.45,19.7,0.185,0.591,0.367,11.0,11.0,0.533,0.543,1.0,0.991,20.1,100.5,83.75,100.0,0.445,L,0,2024-25
22400545,1610612764,Washington,Wizards,WAS,wizards,240:00,448.1,89.6,641.5,128.3,-193.4,-38.7,0.714,1.11,14.5,0.211,0.615,0.404,16.981,17.0,0.392,0.487,1.0,0.966,21.2,106.0,88.33,106.0,0.305,L,0,2024-25
22400530,1610612764,Washington,Wizards,WAS,wizards,240:00,500.0,100.0,657.1,131.4,-157.1,-31.4,0.667,1.63,17.7,0.254,0.711,0.444,15.238,15.2,0.49,0.506,1.0,0.975,21.0,105.0,87.5,105.0,0.333,L,0,2024-25
22400512,1610612764,Washington,Wizards,WAS,wizards,240:00,559.8,112.0,592.4,118.5,-32.6,-6.5,0.619,1.44,18.2,0.463,0.706,0.581,19.565,19.6,0.516,0.526,1.0,0.966,18.4,92.0,76.67,92.0,0.466,L,0,2024-25
22400503,1610612764,Washington,Wizards,WAS,wizards,240:00,565.7,113.1,675.0,135.0,-109.3,-21.9,0.512,1.17,15.2,0.353,0.563,0.455,18.182,18.2,0.545,0.573,1.0,0.991,19.9,99.5,82.92,99.0,0.373,L,0,2024-25
22400489,1610612764,Washington,Wizards,WAS,wizards,240:00,494.9,99.0,561.2,112.2,-66.3,-13.3,0.658,1.56,18.1,0.264,0.717,0.491,16.162,16.2,0.489,0.515,1.0,0.965,19.7,98.5,82.08,99.0,0.433,L,0,2024-25
22400472,1610612764,Washington,Wizards,WAS,wizards,240:00,594.1,118.8,640.8,128.2,-46.7,-9.3,0.622,1.33,19.3,0.381,0.714,0.56,20.792,20.8,0.589,0.626,1.0,1.0,20.4,102.0,85.0,101.0,0.45,L,0,2024-25
22400456,1610612764,Washington,Wizards,WAS,wizards,240:00,573.4,114.7,500.0,100.0,73.4,14.7,0.735,2.12,22.5,0.288,0.788,0.538,15.596,15.6,0.581,0.599,1.0,0.952,21.6,108.0,90.0,109.0,0.559,W,1,2024-25
22400443,1610612764,Washington,Wizards,WAS,wizards,240:00,530.0,106.0,617.6,123.5,-87.6,-17.5,0.641,1.92,17.9,0.268,0.661,0.464,13.0,13.0,0.489,0.521,1.0,1.0,20.2,101.0,84.17,100.0,0.394,L,0,2024-25
22400429,1610612764,Washington,Wizards,WAS,wizards,265:00,589.3,117.9,601.8,120.4,-12.5,-2.5,0.627,1.88,20.4,0.26,0.75,0.5,15.179,15.2,0.601,0.625,1.0,0.968,20.38,101.89,84.91,112.0,0.482,L,0,2024-25
22400412,1610612764,Washington,Wizards,WAS,wizards,240:00,533.0,106.6,523.8,104.8,9.2,1.8,0.641,2.27,17.6,0.218,0.727,0.473,10.377,10.4,0.505,0.547,1.0,0.983,21.1,105.5,87.92,106.0,0.513,W,1,2024-25
22400400,1610612764,Washington,Wizards,WAS,wizards,240:00,495.3,99.1,580.2,116.0,-84.9,-17.0,0.694,1.32,17.1,0.268,0.656,0.47,17.925,17.9,0.484,0.526,1.0,0.983,21.2,106.0,88.33,106.0,0.425,L,0,2024-25
22400382,1610612764,Washington,Wizards,WAS,wizards,240:00,500.0,100.0,554.5,110.9,-54.5,-10.9,0.556,1.05,15.5,0.178,0.764,0.5,18.812,18.8,0.556,0.574,1.0,0.982,20.2,101.0,84.17,101.0,0.445,L,0,2024-25
22400362,1610612764,Washington,Wizards,WAS,wizards,240:00,608.9,121.8,564.4,112.9,44.6,8.9,0.805,1.83,22.1,0.326,0.603,0.491,17.822,17.8,0.596,0.636,1.0,0.983,20.2,101.0,84.17,101.0,0.56,W,1,2024-25
22401217,1610612764,Washington,Wizards,WAS,wizards,240:00,471.2,94.2,549.0,109.8,-77.9,-15.6,0.55,1.38,15.3,0.295,0.649,0.466,15.385,15.4,0.47,0.478,1.0,0.967,20.6,103.0,85.83,104.0,0.414,L,0,2024-25
22401208,1610612764,Washington,Wizards,WAS,wizards,240:00,535.7,107.1,575.0,115.0,-39.3,-7.9,0.585,1.33,18.0,0.239,0.645,0.472,18.367,18.4,0.558,0.578,1.0,0.991,19.8,99.0,82.5,98.0,0.456,L,0,2024-25
22400353,1610612764,Washington,Wizards,WAS,wizards,240:00,518.5,103.7,642.2,128.4,-123.7,-24.7,0.465,0.95,13.2,0.404,0.64,0.514,19.444,19.4,0.46,0.511,1.0,0.992,21.7,108.5,90.42,108.0,0.368,L,0,2024-25
22400341,1610612764,Washington,Wizards,WAS,wizards,240:00,586.5,117.3,538.1,107.6,48.4,9.7,0.689,1.82,20.5,0.314,0.615,0.466,16.346,16.3,0.57,0.594,1.0,0.992,20.9,104.5,87.08,104.0,0.526,W,1,2024-25
22400326,1610612764,Washington,Wizards,WAS,wizards,240:00,481.0,96.2,652.4,130.5,-171.4,-34.3,0.641,2.08,17.1,0.25,0.667,0.422,11.429,11.4,0.46,0.478,1.0,0.975,21.0,105.0,87.5,105.0,0.331,L,0,2024-25
22400051,1610612764,Washington,Wizards,WAS,wizards,240:00,418.3,83.7,572.8,114.6,-154.5,-30.9,0.563,0.86,13.3,0.264,0.824,0.538,20.192,20.2,0.41,0.463,1.0,0.974,20.7,103.5,86.25,104.0,0.336,L,0,2024-25
22400302,1610612764,Washington,Wizards,WAS,wizards,240:00,558.8,111.8,607.8,121.6,-49.0,-9.8,0.585,2.0,17.6,0.213,0.795,0.495,11.765,11.8,0.523,0.584,1.0,0.982,20.4,102.0,85.0,102.0,0.45,L,0,2024-25
22400291,1610612764,Washington,Wizards,WAS,wizards,240:00,466.0,93.2,593.1,118.6,-127.1,-25.4,0.6,1.05,15.1,0.3,0.681,0.485,19.417,19.4,0.459,0.507,1.0,0.975,20.5,102.5,85.42,103.0,0.363,L,0,2024-25
22400035,1610612764,Washington,Wizards,WAS,wizards,240:00,500.0,100.0,593.5,118.7,-93.5,-18.7,0.692,1.93,18.2,0.228,0.837,0.509,12.963,13.0,0.484,0.516,1.0,0.959,21.5,107.5,89.58,108.0,0.412,L,0,2024-25
22400272,1610612764,Washington,Wizards,WAS,wizards,240:00,515.0,103.0,575.0,115.0,-60.0,-12.0,0.667,1.41,18.0,0.217,0.729,0.479,17.0,17.0,0.525,0.572,1.0,0.982,20.0,100.0,83.33,100.0,0.444,L,0,2024-25
22400028,1610612764,Washington,Wizards,WAS,wizards,240:00,466.0,93.2,519.2,103.8,-53.2,-10.6,0.487,0.95,14.0,0.269,0.796,0.538,19.417,19.4,0.472,0.495,1.0,0.983,20.7,103.5,86.25,103.0,0.39,L,0,2024-25
22400246,1610612764,Washington,Wizards,WAS,wizards,240:00,557.9,111.6,697.9,139.6,-140.0,-28.0,0.535,2.3,17.6,0.275,0.725,0.473,10.526,10.5,0.533,0.541,1.0,1.0,19.1,95.5,79.58,95.0,0.363,L,0,2024-25
22400237,1610612764,Washington,Wizards,WAS,wizards,240:00,514.9,103.0,613.9,122.8,-99.0,-19.8,0.538,1.24,16.2,0.191,0.731,0.475,16.832,16.8,0.542,0.566,1.0,0.991,20.2,101.0,84.17,101.0,0.407,L,0,2024-25
22400012,1610612764,Washington,Wizards,WAS,wizards,240:00,517.7,103.5,570.8,114.2,-53.1,-10.6,0.651,1.75,17.3,0.323,0.709,0.5,14.159,14.2,0.476,0.508,1.0,0.97,22.6,113.0,94.17,113.0,0.428,L,0,2024-25
22400224,1610612764,Washington,Wizards,WAS,wizards,240:00,613.2,122.6,643.5,128.7,-30.3,-6.1,0.551,1.5,18.4,0.298,0.733,0.511,16.981,17.0,0.611,0.637,1.0,1.0,21.4,107.0,89.17,106.0,0.429,L,0,2024-25
22400213,1610612764,Washington,Wizards,WAS,wizards,240:00,451.0,90.2,524.5,104.9,-73.5,-14.7,0.583,1.11,15.4,0.241,0.583,0.402,18.627,18.6,0.472,0.491,1.0,0.974,20.4,102.0,85.0,102.0,0.407,L,0,2024-25
